geneInfo,gene,Chr,Start,Stop,pvalsDup,FoldChange,Mouse.EntrezGene.ID,Human.Chr,Human.EntrezGene.ID,Human.Symbol
Aldoart1/chr4:72850582-72852634,Aldoart1,chr4,72850582,72852634,0.000214711,3.407807591,NA,NA,NA,NA
E430025E21Rik/chr15:59331996-59374152,E430025E21Rik,chr15,59331996,59374152,0.00022872,0.899851341,223593,8q24.13,9897,KIAA0196
Slx1b/chr7:126688926-126695783,Slx1b,chr7,126688926,126695783,0.000258428,1.289925485,75764,16p11.2,79008,SLX1B
Gdpd3/chr7:126766413-126775645,Gdpd3,chr7,126766413,126775645,0.000293427,8.566736812,68616,16p11.2,79153,GDPD3
Npat/chr9:53537046-53575627,Npat,chr9,53537046,53575627,0.000298759,0.894014243,244879,11q22-q23,4863,NPAT
Btg2/chr1:134074864-134079155,Btg2,chr1,134074864,134079155,0.000314009,0.376283458,12227,1q32,7832,BTG2
Nek1/chr8:60993219-61130234,Nek1,chr8,60993219,61130234,0.000341876,0.857742145,18004,4q33,4750,NEK1
Polr3gl/chr3:96577873-96594158,Polr3gl,chr3,96577873,96594158,0.000343836,1.20970794,69870,1q21.1,84265,POLR3GL
Gm12504/chr4:44121892-44124123,Gm12504,chr4,44121892,44124123,0.000352769,1.468607111,NA,NA,NA,NA
Herc1/chr9:66350449-66508775,Herc1,chr9,66350449,66508775,0.00036446,0.908589672,235439,15q22,8925,HERC1
Cyr61/chr3:145646970-145649985,Cyr61,chr3,145646970,145649985,0.000387939,0.282087065,16007,1p22.3,3491,CYR61
Srsf9/chr5:115327176-115333080,Srsf9,chr5,115327176,115333080,0.000438933,1.122282624,108014,12q24.31,8683,SRSF9
Tcte1/chr17:45523433-45542677,Tcte1,chr17,45523433,45542677,0.000467715,1.42681803,21645,6p21.1,202500,TCTE1
H1fx/chr6:87980420-87981482,H1fx,chr6,87980420,87981482,0.000475547,1.998181629,243529,3q21.3,8971,H1FX
Pde4d/chr13:108654176-109955969,Pde4d,chr13,108654176,109955969,0.000476081,0.873381504,238871,5q12,5144,PDE4D
Gm5151/chr4:155734803-155740564,Gm5151,chr4,155734803,155740564,0.000480324,1.258298472,NA,NA,NA,NA
Dbil5/chr11:76217612-76218665,Dbil5,chr11,76217612,76218665,0.000535597,1.839574789,13168,17p13.3,100131454,DBIL5P
Acap3/chr4:155891874-155907251,Acap3,chr4,155891874,155907251,0.000557449,1.163449993,140500,1p36,116983,ACAP3
Ccdc18/chr5:108132913-108232949,Ccdc18,chr5,108132913,108232949,0.000557695,0.78868057,73254,1p22.1,343099,CCDC18
Esrra/chr19:6910976-6921808,Esrra,chr19,6910976,6921808,0.000567918,1.201901332,26379,11q13,2101,ESRRA
Igfbp7/chr5:77349239-77408045,Igfbp7,chr5,77349239,77408045,0.000570322,1.311631843,29817,4q12,3490,IGFBP7
Neurod2/chr11:98325416-98329645,Neurod2,chr11,98325416,98329645,0.000572812,1.195197439,18013,17q12,4761,NEUROD2
Gpr162/chr6:124858444-124863917,Gpr162,chr6,124858444,124863917,0.000585091,1.175684773,14788,12p13,27239,GPR162
Slc24a4/chr12:102129418-102266749,Slc24a4,chr12,102129418,102266749,0.000665812,0.845524139,238384,14q32.12,123041,SLC24A4
Acaa1b/chr9:119148042-119157093,Acaa1b,chr9,119148042,119157093,0.000670146,1.182917709,NA,NA,NA,NA
Lass6/chr2:68861556-69111290,Lass6,chr2,68861556,69111290,0.000700379,0.825281239,NA,NA,NA,NA
Tyw3/chr3:154576519-154597098,Tyw3,chr3,154576519,154597098,0.000709758,0.895205526,209584,1p31.1,127253,TYW3
Cyth1/chr11:118164165-118248592,Cyth1,chr11,118164165,118248592,0.000738692,1.159061026,19157,17q25,9267,CYTH1
Plekhf1/chr7:38220653-38227994,Plekhf1,chr7,38220653,38227994,0.00073933,1.46564977,72287,19q12,79156,PLEKHF1
5830418K08Rik/chr9:15316913-15357788,5830418K08Rik,chr9,15316913,15357788,0.000758882,0.859324906,319675,11q21,85459,KIAA1731
Tctex1d1/chr4:102986378-103005594,Tctex1d1,chr4,102986378,103005594,0.000781542,0.419040087,67344,1p31.3,200132,TCTEX1D1
Wdr75/chr1:45795500-45823613,Wdr75,chr1,45795500,45823613,0.000815401,0.900956201,73674,2q32.2,84128,WDR75
Rps6ka3/chrX:159256119-159363485,Rps6ka3,chrX,159256119,159363485,0.000818071,0.85139738,110651,Xp22.2-p22.1,6197,RPS6KA3
Zfp146/chr7:30161267-30169727,Zfp146,chr7,30161267,30169727,0.000856378,0.880820018,26465,19q13.1,7705,ZNF146
Gm6222/chrX:103762916-103763545,Gm6222,chrX,103762916,103763545,0.000877522,1.331156447,NA,NA,NA,NA
Setd2/chr9:110532596-110618633,Setd2,chr9,110532596,110618633,0.000937447,0.86936433,235626,3p21.31,29072,SETD2
Lrp1b/chr2:40596772-42653598,Lrp1b,chr2,40596772,42653598,0.000948574,0.824949484,94217,2q21.2,53353,LRP1B
Nol3/chr8:105276446-105281939,Nol3,chr8,105276446,105281939,0.000971723,0.909550647,78688,16q22.1,8996,NOL3
Apold1/chr6:134982000-134986836,Apold1,chr6,134982000,134986836,0.000987293,0.52794447,381823,12p13.1,81575,APOLD1
Ubap1/chr4:41348995-41389766,Ubap1,chr4,41348995,41389766,0.001066075,0.91198212,67123,9p13.3,51271,UBAP1
Fuk/chr8:110882462-110902459,Fuk,chr8,110882462,110902459,0.001086285,1.15832425,234730,16q22.1,197258,FUK
2700081O15Rik/chr19:7417624-7425904,2700081O15Rik,chr19,7417624,7425904,0.001096953,1.147161212,108899,11q13,65998,C11orf95
Tbl1x/chrX:77511226-77660265,Tbl1x,chrX,77511226,77660265,0.001105568,0.847297798,21372,Xp22.3,6907,TBL1X
2510002D24Rik/chr16:18836579-18840113,2510002D24Rik,chr16,18836579,18840113,0.001168467,1.180715356,72307,22q11.21,128977,C22orf39
Csrnp1/chr9:119971165-119984658,Csrnp1,chr9,119971165,119984658,0.001171857,0.773450461,215418,3p22,64651,CSRNP1
Fus/chr7:127967478-127982031,Fus,chr7,127967478,127982031,0.001198189,1.070418011,233908,16p11.2,2521,FUS
Samd11/chr4:156246965-156255338,Samd11,chr4,156246965,156255338,0.001246244,2.9709992,231004,1p36.33,148398,SAMD11
Vps37d/chr5:135072899-135078266,Vps37d,chr5,135072899,135078266,0.001357273,1.263558818,194309,7q11.23,155382,VPS37D
D730040F13Rik/chr4:56876012-56947429,D730040F13Rik,chr4,56876012,56947429,0.001363762,0.716763015,NA,NA,NA,NA
Cldn23/chr8:35824708-35826559,Cldn23,chr8,35824708,35826559,0.001369064,1.765807248,71908,8p23.1,137075,CLDN23
Cd82/chr2:93419111-93462946,Cd82,chr2,93419111,93462946,0.001369192,1.170646597,12521,11p11.2,3732,CD82
Trpm6/chr19:18749982-18892511,Trpm6,chr19,18749982,18892511,0.001378785,1.217827013,225997,9q21.13,140803,TRPM6
Spnb4/chr7:27356382-27446589,Spnb4,chr7,27356382,27446589,0.001387799,1.175513339,NA,NA,NA,NA
Satb1/chr17:51736186-51833290,Satb1,chr17,51736186,51833290,0.001445923,0.924385382,20230,3p23,6304,SATB1
Cnot1/chr8:95719450-95807462,Cnot1,chr8,95719450,95807462,0.001483304,0.940722296,234594,16q21,23019,CNOT1
Myo16/chr8:10153922-10633950,Myo16,chr8,10153922,10633950,0.001493644,0.792349418,244281,13q33.3,23026,MYO16
Usp34/chr11:23306894-23490560,Usp34,chr11,23306894,23490560,0.001565538,0.906657114,17847,2p15,9736,USP34
Dennd1b/chr1:138963708-139176042,Dennd1b,chr1,138963708,139176042,0.001599735,0.901828166,329260,1q31.3,163486,DENND1B
Ptprm/chr17:66666847-67354459,Ptprm,chr17,66666847,67354459,0.001619186,0.912817838,19274,18p11.2,5797,PTPRM
Gnb1/chr4:155491360-155559269,Gnb1,chr4,155491360,155559269,0.001624504,1.095007374,14688,1p36.33,2782,GNB1
Nedd4/chr9:72662346-72749848,Nedd4,chr9,72662346,72749848,0.001660357,0.922834197,17999,15q,4734,NEDD4
Ier2/chr8:84661330-84662852,Ier2,chr8,84661330,84662852,0.001672927,0.470164458,15936,19p13.2,9592,IER2
4922501L14Rik/chr3:154711132-154749012,4922501L14Rik,chr3,154711132,154749012,0.0016787,0.808094956,209601,1p31.1,127254,C1orf173
Zfp804b/chr5:6769029-7344378,Zfp804b,chr5,6769029,7344378,0.001681189,0.529459034,207618,7q21.13,219578,ZNF804B
Trib1/chr15:59648653-59657099,Trib1,chr15,59648653,59657099,0.001692747,0.614231998,211770,8q24.13,10221,TRIB1
4930455C21Rik/chr16:38497842-38522663,4930455C21Rik,chr16,38497842,38522663,0.001728468,1.120279405,NA,NA,NA,NA
Ccdc85b/chr19:5453162-5457563,Ccdc85b,chr19,5453162,5457563,0.001789498,1.184065422,240514,11q12.1,11007,CCDC85B
Mvp/chr7:126986859-127014594,Mvp,chr7,126986859,127014594,0.0018408,1.614782086,78388,16p11.2,9961,MVP
Stk19/chr17:34823992-34836903,Stk19,chr17,34823992,34836903,0.001865449,1.115833553,54402,6p21.3,8859,STK19
Tcf3/chr10:80409164-80433653,Tcf3,chr10,80409164,80433653,0.001935767,1.175981503,21423,19p13.3,6929,TCF3
Zscan12/chr13:21362819-21372302,Zscan12,chr13,21362819,21372302,0.00194925,0.785762629,22758,6p21,9753,ZSCAN12
Lrmp/chr6:145121738-145174928,Lrmp,chr6,145121738,145174928,0.001961766,0.612532687,16970,12p12.1,4033,LRMP
E130012A19Rik/chr11:97627386-97629716,E130012A19Rik,chr11,97627386,97629716,0.001998985,1.201391803,103551,17q12,100170841,C17orf96
Astn1/chr1:158362303-158691786,Astn1,chr1,158362303,158691786,0.002023075,0.929366465,11899,1q25.2,460,ASTN1
9930021J03Rik/chr19:29714401-29806009,9930021J03Rik,chr19,29714401,29806009,0.002039365,0.901487281,240613,9p24.1,158358,KIAA2026
Ap3b1/chr13:94358959-94566316,Ap3b1,chr13,94358959,94566316,0.002042773,0.92578388,11774,5q14.1,8546,AP3B1
A630007B06Rik/chr19:56790962-56813683,A630007B06Rik,chr19,56790962,56813683,0.0021067,0.85282637,213993,10q25.3,55088,C10orf118
Zdhhc5/chr2:84687919-84715164,Zdhhc5,chr2,84687919,84715164,0.002125897,0.932283021,228136,11q12.1,25921,ZDHHC5
Rad50/chr11:53649518-53707319,Rad50,chr11,53649518,53707319,0.002156706,0.875779913,19360,5q31,10111,RAD50
Fam171a2/chr11:102436980-102447663,Fam171a2,chr11,102436980,102447663,0.002175095,1.322303493,217219,17q21.31,284069,FAM171A2
Sgcd/chr11:46978782-47379302,Sgcd,chr11,46978782,47379302,0.00218173,0.623398942,24052,5q33-q34,6444,SGCD
Acot1/chr12:84009501-84017669,Acot1,chr12,84009501,84017669,0.002196428,1.189771444,NA,NA,NA,NA
Dusp1/chr17:26505590-26508472,Dusp1,chr17,26505590,26508472,0.002226907,0.485332494,19252,5q34,1843,DUSP1
Gm6548/chr17:78850504-78852544,Gm6548,chr17,78850504,78852544,0.002243494,1.559555326,NA,NA,NA,NA
Marcks/chr10:37133242-37138926,Marcks,chr10,37133242,37138926,0.00225452,1.221733094,17118,6q22.2,4082,MARCKS
Grhl3/chr4:135541887-135573620,Grhl3,chr4,135541887,135573620,0.002300064,1.625397024,230824,1p36.11,57822,GRHL3
Zfp518b/chr5:38668483-38684826,Zfp518b,chr5,38668483,38684826,0.002307207,0.887196358,100515,4p16.1,85460,ZNF518B
Sox12/chr2:152393611-152398046,Sox12,chr2,152393611,152398046,0.002319958,1.149282538,20667,20p13,6666,SOX12
AA465934/chr11:83291698-83294637,AA465934,chr11,83291698,83294637,0.002324379,5.164362003,NA,NA,NA,NA
Lemd2/chr17:27189599-27204438,Lemd2,chr17,27189599,27204438,0.002351088,1.128666936,224640,6p21.31,221496,LEMD2
Fosb/chr7:19302695-19310045,Fosb,chr7,19302695,19310045,0.002369119,0.65949311,14282,19q13.32,2354,FOSB
Kctd21/chr7:97332322-97350216,Kctd21,chr7,97332322,97350216,0.00243713,0.802820505,622320,11q14.1,283219,KCTD21
Lyrm1/chr7:119896291-119916750,Lyrm1,chr7,119896291,119916750,0.002460751,0.827443045,73919,16p11.2,57149,LYRM1
Calb2/chr8:110142537-110168206,Calb2,chr8,110142537,110168206,0.002466378,0.692204468,12308,16q22.2,794,CALB2
Golga5/chr12:102469133-102497907,Golga5,chr12,102469133,102497907,0.002477041,0.912754463,27277,14q32.12,9950,GOLGA5
Nr4a1/chr15:101266845-101274794,Nr4a1,chr15,101266845,101274794,0.00249392,0.54721939,15370,12q13,3164,NR4A1
4932443I19Rik/chr8:13705888-13743066,4932443I19Rik,chr8,13705888,13743066,0.002519112,1.917854747,NA,NA,NA,NA
4932438A13Rik/chr3:36863105-37053033,4932438A13Rik,chr3,36863105,37053033,0.002558833,0.826511592,229227,4q27,84162,KIAA1109
Bicc1/chr10:70925095-71159634,Bicc1,chr10,70925095,71159634,0.002607983,0.842724198,83675,10q21.1,80114,BICC1
Hexim2/chr11:103133338-103139908,Hexim2,chr11,103133338,103139908,0.002621957,1.226167851,71059,17q21.31,124790,HEXIM2
Bod1l/chr5:41787539-41844315,Bod1l,chr5,41787539,41844315,0.00263819,0.899047072,665775,4p16.1,259282,BOD1L1
Erbb4/chr1:68039965-69108059,Erbb4,chr1,68039965,69108059,0.002663123,0.776999475,13869,2q33.3-q34,2066,ERBB4
Tnpo3/chr6:29540826-29609607,Tnpo3,chr6,29540826,29609607,0.00266398,0.937582781,320938,7q32.1,23534,TNPO3
Nucb2/chr7:116504373-116540588,Nucb2,chr7,116504373,116540588,0.00269948,0.83782609,53322,11p15.1,4925,NUCB2
Akap9/chr5:3928185-4080204,Akap9,chr5,3928185,4080204,0.002706337,0.900905518,100986,7q21-q22,10142,AKAP9
Mas1/chr17:12841004-12868143,Mas1,chr17,12841004,12868143,0.002775485,0.81407038,17171,6q25.3-q26,4142,MAS1
Basp1/chr15:25363276-25413764,Basp1,chr15,25363276,25413764,0.00277847,1.187058598,70350,5p15.1,10409,BASP1
Kbtbd12/chr6:88613750-88627445,Kbtbd12,chr6,88613750,88627445,0.00280408,0.388982162,74589,3q21.3,166348,KBTBD12
Dym/chr18:75018771-75286966,Dym,chr18,75018771,75286966,0.002875411,0.897625827,69190,18q21.1,54808,DYM
Mpdz/chr4:81278499-81442805,Mpdz,chr4,81278499,81442805,0.002939806,0.80547781,17475,9p23,8777,MPDZ
Adcy2/chr13:68620042-68999541,Adcy2,chr13,68620042,68999541,0.003004335,0.918812573,210044,5p15.3,108,ADCY2
ORF61/chr10:79977119-79984330,ORF61,chr10,79977119,79984330,0.003071233,1.11841722,NA,NA,NA,NA
Rps4y2/chr6:148354655-148355596,Rps4y2,chr6,148354655,148355596,0.003119487,1.335253162,NA,NA,NA,NA
Ctnna2/chr6:76881636-77979667,Ctnna2,chr6,76881636,77979667,0.003121405,0.923842897,12386,2p12-p11.1,1496,CTNNA2
Mto1/chr9:78448209-78474152,Mto1,chr9,78448209,78474152,0.003130261,0.826353761,68291,6q13,25821,MTO1
Ttc17/chr2:94300765-94406689,Ttc17,chr2,94300765,94406689,0.00321762,0.89862541,74569,11p11.2,55761,TTC17
Leprel4/chr11:100408749-100414819,Leprel4,chr11,100408749,100414819,0.003242887,1.199215983,66180,17q21.2,10609,LEPREL4
Klraq1/chr17:88530123-88588367,Klraq1,chr17,88530123,88588367,0.003248105,0.925809867,NA,NA,NA,NA
Dazap1/chr10:80264990-80288413,Dazap1,chr10,80264990,80288413,0.003255272,1.108347195,70248,19p13.3,26528,DAZAP1
Spns2/chr11:72451637-72489904,Spns2,chr11,72451637,72489904,0.003270877,1.194078802,216892,17p13.2,124976,SPNS2
Tmem170/chr8:111864897-111876675,Tmem170,chr8,111864897,111876675,0.003275581,0.74172371,66817,16q23.1,124491,TMEM170A
Utp23/chr15:51877440-51884622,Utp23,chr15,51877440,51884622,0.003313117,1.081528899,78581,8q24.11,84294,UTP23
Nsun3/chr16:62734851-62786716,Nsun3,chr16,62734851,62786716,0.003314265,0.826120626,106338,3q11.1,63899,NSUN3
C1qtnf4/chr2:90885785-90890526,C1qtnf4,chr2,90885785,90890526,0.003314478,1.227200877,67445,11q11,114900,C1QTNF4
Ovol2/chr2:144305175-144332080,Ovol2,chr2,144305175,144332080,0.003339107,1.347658287,107586,20pter-q11.23,58495,OVOL2
Cd81/chr7:143052749-143067930,Cd81,chr7,143052749,143067930,0.003362636,1.149976023,12520,11p15.5,975,CD81
Tiparp/chr3:65528446-65555518,Tiparp,chr3,65528446,65555518,0.003365321,0.68623053,99929,3q25.31,25976,TIPARP
Efhd1/chr1:87264363-87310791,Efhd1,chr1,87264363,87310791,0.003372387,1.108012833,98363,2q37.1,80303,EFHD1
Trim44/chr2:102300118-102400900,Trim44,chr2,102300118,102400900,0.003387232,0.943276897,80985,11p13,54765,TRIM44
Vps13d/chr4:144975136-145190592,Vps13d,chr4,144975136,145190592,0.003417427,0.85695127,230895,1p36.22,55187,VPS13D
Pbx4/chr8:69832703-69872292,Pbx4,chr8,69832703,69872292,0.003429121,1.14499127,80720,19p12,80714,PBX4
Acot2/chr12:83987860-83993875,Acot2,chr12,83987860,83993875,0.003438171,1.209375005,171210,14q24.3,10965,ACOT2
Pds5a/chr5:65615259-65697856,Pds5a,chr5,65615259,65697856,0.003469888,0.86493413,71521,4p14,23244,PDS5A
Gm6981/chr9:52002060-52048705,Gm6981,chr9,52002060,52048705,0.003470079,1.20069073,NA,NA,NA,NA
Tank/chr2:61578585-61654169,Tank,chr2,61578585,61654169,0.003477731,0.873809769,21353,2q24-q31,10010,TANK
Mycbp2/chr14:103113410-103346800,Mycbp2,chr14,103113410,103346800,0.003500615,0.892918388,105689,13q22,23077,MYCBP2
Top1/chr2:160645896-160722763,Top1,chr2,160645896,160722763,0.003512847,0.903210912,21969,20q12-q13.1,7150,TOP1
Kin/chr2:10080611-10092701,Kin,chr2,10080611,10092701,0.003516554,0.841375464,16588,10p15-p14,22944,KIN
Osbpl2/chr2:180119365-180162680,Osbpl2,chr2,180119365,180162680,0.003572749,0.934193382,228983,20q13.3,9885,OSBPL2
Rxrb/chr17:34031811-34038403,Rxrb,chr17,34031811,34038403,0.003591431,1.108879894,20182,6p21.3,6257,RXRB
Chadl/chr15:81686166-81697287,Chadl,chr15,81686166,81697287,0.00361961,1.274823298,214685,22q13.2,150356,CHADL
Plekha2/chr8:25039143-25101811,Plekha2,chr8,25039143,25101811,0.003668271,1.087344697,83436,8p11.22,59339,PLEKHA2
Usp1/chr4:98923809-98935533,Usp1,chr4,98923809,98935533,0.003688511,0.862510252,230484,1p31.3,7398,USP1
Pitrm1/chr13:6548156-6580149,Pitrm1,chr13,6548156,6580149,0.003722693,0.90966112,69617,10p15.2,10531,PITRM1
Ubxn2b/chr4:6191104-6219788,Ubxn2b,chr4,6191104,6219788,0.003734428,0.906079969,68053,8q12.1,137886,UBXN2B
A730015I17/chr2:51241830-51295945,A730015I17,chr2,51241830,51295945,0.003769567,0.576940964,NA,NA,NA,NA
Aqr/chr2:114101171-114175339,Aqr,chr2,114101171,114175339,0.003814079,0.890840207,11834,15q14,9716,AQR
1810055G02Rik/chr19:3708332-3717881,1810055G02Rik,chr19,3708332,3717881,0.003935401,0.884458009,72056,11q13,53838,C11orf24
Pirt/chr11:66911990-66928700,Pirt,chr11,66911990,66928700,0.003937563,0.697110601,193003,17p12,644139,PIRT
Akr7a5/chr4:139310743-139318786,Akr7a5,chr4,139310743,139318786,0.003962259,1.100073936,110198,1p36.13,8574,AKR7A2
Lgi1/chr19:38264781-38308939,Lgi1,chr19,38264781,38308939,0.003982754,0.87668018,56839,10q24,9211,LGI1
Vldlr/chr19:27217019-27254231,Vldlr,chr19,27217019,27254231,0.004004787,0.875761866,22359,9p24,7436,VLDLR
Golgb1/chr16:36885010-36933085,Golgb1,chr16,36885010,36933085,0.004067565,0.935566173,224139,3q13,2804,GOLGB1
Dsg3/chr18:20510303-20541310,Dsg3,chr18,20510303,20541310,0.004104154,0.566091442,13512,18q12.1,1830,DSG3
D19Bwg1357e/chr19:27388701-27429820,D19Bwg1357e,chr19,27388701,27429820,0.004123225,0.907258962,52874,9p24.2,9933,KIAA0020
AI314180/chr4:58800030-58912725,AI314180,chr4,58800030,58912725,0.0041502,0.90995834,230249,9q31.3,23392,KIAA0368
Ring1/chr17:34020791-34024680,Ring1,chr17,34020791,34024680,0.004170043,1.170560247,19763,6p21.3,6015,RING1
Pigc/chr1:161969187-161973435,Pigc,chr1,161969187,161973435,0.004175203,1.123940684,67292,1q23-q25,5279,PIGC
Nrf1/chr6:30047987-30153458,Nrf1,chr6,30047987,30153458,0.004289361,1.095482444,18181,7q32,4899,NRF1
Sh3rf3/chr10:58813358-59138916,Sh3rf3,chr10,58813358,59138916,0.004315988,0.86383824,237353,2q13,344558,SH3RF3
Hcn2/chr10:79716633-79736108,Hcn2,chr10,79716633,79736108,0.004330943,1.301091256,15166,19p13.3,610,HCN2
Phf17/chr3:41555733-41616864,Phf17,chr3,41555733,41616864,0.004367648,0.871703748,269424,4q26-q27,79960,PHF17
Xpo5/chr17:46202854-46242299,Xpo5,chr17,46202854,46242299,0.004402457,0.917331993,72322,6p21.1,57510,XPO5
D3Ertd254e/chr3:36151079-36170341,D3Ertd254e,chr3,36151079,36170341,0.004453223,0.891352874,NA,NA,NA,NA
4732471D19Rik/chr13:54503804-54551290,4732471D19Rik,chr13,54503804,54551290,0.004457649,0.886652601,NA,NA,NA,NA
Ntf5/chr7:45413694-45417179,Ntf5,chr7,45413694,45417179,0.004490553,1.366349336,78405,19q13.3,4909,NTF4
Egr2/chr10:67537868-67542188,Egr2,chr10,67537868,67542188,0.004498051,0.462673339,13654,10q21.1,1959,EGR2
Zfp707/chr15:75969184-75975865,Zfp707,chr15,75969184,75975865,0.004501069,1.129403082,69020,8q24.3,286075,ZNF707
Tnfrsf22/chr7:143636724-143649638,Tnfrsf22,chr7,143636724,143649638,0.004555593,0.827263014,NA,NA,NA,NA
Rnf4/chr5:34336389-34353430,Rnf4,chr5,34336389,34353430,0.004573982,0.924226549,19822,4p16.3,6047,RNF4
Cecr5/chr6:120509493-120531299,Cecr5,chr6,120509493,120531299,0.004582352,1.133133575,214932,22q11.2,27440,CECR5
Nsun7/chr5:66260124-66298016,Nsun7,chr5,66260124,66298016,0.004633816,1.345189227,70918,4p14,79730,NSUN7
Ints4/chr7:97480955-97541398,Ints4,chr7,97480955,97541398,0.004667011,0.945513939,101861,11q14.1,92105,INTS4
Shisa4/chr1:135371455-135375063,Shisa4,chr1,135371455,135375063,0.004671457,1.11570274,77552,1q32.1,149345,SHISA4
Ccdc9/chr7:16274041-16286795,Ccdc9,chr7,16274041,16286795,0.00467843,1.128233063,243846,19q13.32,26093,CCDC9
Ado/chr10:67544510-67548955,Ado,chr10,67544510,67548955,0.004678634,1.075829039,211488,10q21.3,84890,ADO
Ccnt1/chr15:98543210-98567636,Ccnt1,chr15,98543210,98567636,0.004715689,0.836667657,12455,12q13.11,904,CCNT1
Cntrob/chr11:69299495-69323873,Cntrob,chr11,69299495,69323873,0.004721926,1.147167134,216846,17p13.1,116840,CNTROB
