geneInfo,gene,Chr,Start,Stop,pvalsDel,FoldChange,Mouse.EntrezGene.ID,Human.Chr,Human.EntrezGene.ID,Human.Symbol
Slc7a14/chr3:31202855-31310319,Slc7a14,chr3,31202855,31310319,0.000121702,1.115450595,241919,3q26.2,57709,SLC7A14
Nr2c2/chr6:92091417-92173058,Nr2c2,chr6,92091417,92173058,0.000126188,1.099593816,22026,3p25,7182,NR2C2
Smarca5-ps/chr4:145464209-145467961,Smarca5-ps,chr4,145464209,145467961,0.000126965,1.294403814,NA,NA,NA,NA
Mal/chr2:127633225-127656695,Mal,chr2,127633225,127656695,0.000129395,0.826344719,17153,2q11.1,4118,MAL
Csrnp1/chr9:119971165-119984658,Csrnp1,chr9,119971165,119984658,0.000129581,0.655823489,215418,3p22,64651,CSRNP1
Usp32/chr11:84984487-85139955,Usp32,chr11,84984487,85139955,0.000132532,1.129535502,237898,17q23.3,84669,USP32
Plek/chr11:16971205-17008718,Plek,chr11,16971205,17008718,0.000135802,1.369476882,56193,2p13.3,5341,PLEK
Gas1/chr13:60174404-60177535,Gas1,chr13,60174404,60177535,0.000142815,1.372629451,14451,9q21.3-q22,2619,GAS1
Rps6kl1/chr12:85135595-85151264,Rps6kl1,chr12,85135595,85151264,0.00014382,0.855786776,238323,14q24.3,83694,RPS6KL1
Ptchd1/chrX:155569735-155623327,Ptchd1,chrX,155569735,155623327,0.000154855,1.301904887,211612,Xp22.11,139411,PTCHD1
Plekhf1/chr7:38220653-38227994,Plekhf1,chr7,38220653,38227994,0.000156573,0.621593207,72287,19q12,79156,PLEKHF1
Gm6981/chr9:52002060-52048705,Gm6981,chr9,52002060,52048705,0.000162642,1.352523481,NA,NA,NA,NA
Naa50/chr16:44139808-44163364,Naa50,chr16,44139808,44163364,0.000166288,1.248574087,72117,3q13.2,80218,NAA50
Gca/chr2:62664326-62694109,Gca,chr2,62664326,62694109,0.000168678,1.198298918,227960,2q24.2,25801,GCA
Shf/chr2:122348891-122368918,Shf,chr2,122348891,122368918,0.000169409,0.86129191,435684,15q21.1,90525,SHF
AI504432/chr3:107039503-107054322,AI504432,chr3,107039503,107054322,0.0001741,1.356769039,NA,NA,NA,NA
Ncoa7/chr10:30645581-30803107,Ncoa7,chr10,30645581,30803107,0.000175844,1.194858467,211329,6q22.32,135112,NCOA7
Gm17066/chr14:105106727-105114676,Gm17066,chr14,105106727,105114676,0.000182845,1.19704525,NA,NA,NA,NA
Zfp606/chr7:12478304-12496235,Zfp606,chr7,12478304,12496235,0.000190886,1.170865679,67370,19q13.4,80095,ZNF606
Rap2c/chrX:51003913-51018018,Rap2c,chrX,51003913,51018018,0.000191239,1.212351774,72065,Xq25,57826,RAP2C
Opalin/chr19:41063419-41077113,Opalin,chr19,41063419,41077113,0.000202043,0.814233612,226115,10q23-q24,93377,OPALIN
9930021J03Rik/chr19:29714401-29806009,9930021J03Rik,chr19,29714401,29806009,0.000203012,1.163736953,240613,9p24.1,158358,KIAA2026
Ptp4a2/chr4:129820478-129850003,Ptp4a2,chr4,129820478,129850003,0.000226984,1.150742582,19244,1p35,8073,PTP4A2
Ppm1h/chr10:122678761-122945793,Ppm1h,chr10,122678761,122945793,0.000239131,1.322762653,319468,12q14.1,57460,PPM1H
Hmgb1-rs17/chr8:33484310-33485757,Hmgb1-rs17,chr8,33484310,33485757,0.00024169,1.778055031,NA,NA,NA,NA
Hectd3/chr4:116995347-117005277,Hectd3,chr4,116995347,117005277,0.000249337,0.912963167,76608,1p34.1,79654,HECTD3
Pde7b/chr10:20398003-20725068,Pde7b,chr10,20398003,20725068,0.0002503,1.395141501,29863,6q23-q24,27115,PDE7B
Ythdc2/chr18:44828664-44889720,Ythdc2,chr18,44828664,44889720,0.000253084,1.15949654,240255,5q22.2,64848,YTHDC2
Cdc27/chr11:104502525-104550620,Cdc27,chr11,104502525,104550620,0.000253089,1.168077715,217232,17q21.32,996,CDC27
Csl/chr10:99757704-99759658,Csl,chr10,99757704,99759658,0.000255072,2.894947645,NA,NA,NA,NA
Chst11/chr10:82985496-83195891,Chst11,chr10,82985496,83195891,0.000264079,1.246632135,58250,12q,50515,CHST11
2410042D21Rik/chr2:112379210-112414237,2410042D21Rik,chr2,112379210,112414237,0.000268892,1.181641662,NA,NA,NA,NA
Lrrc48/chr11:60353379-60394333,Lrrc48,chr11,60353379,60394333,0.000272529,0.805338476,74665,17p11.2,83450,LRRC48
Ccdc18/chr5:108132913-108232949,Ccdc18,chr5,108132913,108232949,0.00027475,1.345268775,73254,1p22.1,343099,CCDC18
Cpeb2/chr5:43233462-43289724,Cpeb2,chr5,43233462,43289724,0.00029191,1.207116298,231207,4p15.33,132864,CPEB2
Rgs17/chr10:5825663-5922400,Rgs17,chr10,5825663,5922400,0.000292814,1.236404352,56533,6q25.3,26575,RGS17
Ulk2/chr11:61775597-61855092,Ulk2,chr11,61775597,61855092,0.000293653,1.127897956,29869,17p11.2,9706,ULK2
Utp6/chr11:79933955-79962387,Utp6,chr11,79933955,79962387,0.000302082,1.103331979,216987,17q11.2,55813,UTP6
Secisbp2l/chr2:125736985-125782870,Secisbp2l,chr2,125736985,125782870,0.0003037,1.144681911,70354,15q21.1,9728,SECISBP2L
Gm12504/chr4:44121892-44124123,Gm12504,chr4,44121892,44124123,0.000306791,1.474810817,NA,NA,NA,NA
Cdh15/chr8:122848373-122867397,Cdh15,chr8,122848373,122867397,0.000306934,0.164340789,12555,16q24.3,1013,CDH15
Zfp91/chr19:12766938-12796123,Zfp91,chr19,12766938,12796123,0.000314236,1.13264343,109910,11q12,80829,ZFP91
Per1/chr11:69098955-69109957,Per1,chr11,69098955,69109957,0.000316903,0.537439266,18626,17p13.1,5187,PER1
Cblb/chr16:52031548-52208046,Cblb,chr16,52031548,52208046,0.000331546,1.165308911,208650,3q13.11,868,CBLB
Mog/chr17:37010739-37023398,Mog,chr17,37010739,37023398,0.000334369,0.877584287,17441,6p22.1,4340,MOG
Ddx39/chr8:83715176-83723351,Ddx39,chr8,83715176,83723351,0.000335664,0.861237209,68278,19p13.12,10212,DDX39A
Bdh1/chr16:31422296-31458901,Bdh1,chr16,31422296,31458901,0.000345144,0.887655651,71911,3q29,622,BDH1
Cyhr1/chr15:76645766-76660108,Cyhr1,chr15,76645766,76660108,0.000347077,0.929353598,54151,8q24.3,50626,CYHR1
Inpp5f/chr7:128611364-128696436,Inpp5f,chr7,128611364,128696436,0.000355191,1.180787351,101490,10q26.11,22876,INPP5F
Mvp/chr7:126986859-127014594,Mvp,chr7,126986859,127014594,0.000355883,0.489396546,78388,16p11.2,9961,MVP
Wdr26/chr1:181173225-181211978,Wdr26,chr1,181173225,181211978,0.000365658,1.121394483,226757,1q42.13,80232,WDR26
Ankrd13c/chr3:157947465-158006837,Ankrd13c,chr3,157947465,158006837,0.000372712,1.198269177,433667,1p32.3-p31.3,81573,ANKRD13C
Tmem47/chrX:81070643-81097875,Tmem47,chrX,81070643,81097875,0.000378399,1.254105529,192216,Xp11.4,83604,TMEM47
Kcnj2/chr11:111066163-111076825,Kcnj2,chr11,111066163,111076825,0.000402688,1.787792175,16518,17q24.3,3759,KCNJ2
Purb/chr11:6467598-6476076,Purb,chr11,6467598,6476076,0.000411918,1.191121398,19291,7p13,5814,PURB
Stag2/chrX:42149411-42277175,Stag2,chrX,42149411,42277175,0.000413084,1.140391267,20843,Xq25,10735,STAG2
Pafah1b2/chr9:45965310-45984871,Pafah1b2,chr9,45965310,45984871,0.000416255,1.124945179,18475,11q23,5049,PAFAH1B2
Ado/chr10:67544510-67548955,Ado,chr10,67544510,67548955,0.000423224,1.116237037,211488,10q21.3,84890,ADO
Pitpnc1/chr11:107207891-107470720,Pitpnc1,chr11,107207891,107470720,0.000424911,1.181307848,71795,17q24.2,26207,PITPNC1
Wars/chr12:108860029-108894174,Wars,chr12,108860029,108894174,0.000427636,0.925772838,22375,14q32.31,7453,WARS
Neto2/chr8:85636587-85691009,Neto2,chr8,85636587,85691009,0.000431546,1.273505088,74513,16q11,81831,NETO2
2410002F23Rik/chr7:44246721-44252319,2410002F23Rik,chr7,44246721,44252319,0.00043181,0.862601329,668661,19q13.33,84798,C19orf48
Pten/chr19:32757576-32826160,Pten,chr19,32757576,32826160,0.000435686,1.173335193,19211,10q23.3,5728,PTEN
Ankib1/chr5:3689999-3803109,Ankib1,chr5,3689999,3803109,0.000438514,1.142585695,70797,7q21.2,54467,ANKIB1
Imp4/chr1:34439828-34445747,Imp4,chr1,34439828,34445747,0.000439381,0.845516392,27993,2q21.1,92856,IMP4
Elovl2/chr13:41182381-41220403,Elovl2,chr13,41182381,41220403,0.000439418,1.334483976,54326,6p24.2,54898,ELOVL2
Nfatc3/chr8:106059602-106130537,Nfatc3,chr8,106059602,106130537,0.000445698,1.27657435,18021,16q22.2,4775,NFATC3
Gng2/chr14:19872558-19977249,Gng2,chr14,19872558,19977249,0.000446249,1.099801552,14702,14q21,54331,GNG2
Gata2/chr6:88198663-88207032,Gata2,chr6,88198663,88207032,0.000448911,0.79808216,14461,3q21.3,2624,GATA2
Fsd1/chr17:55986510-55996881,Fsd1,chr17,55986510,55996881,0.000464077,0.860359504,240121,19p13.3,79187,FSD1
Wasl/chr6:24613809-24664995,Wasl,chr6,24613809,24664995,0.000478491,1.1105314,73178,7q31.3,8976,WASL
Ppp2r5c/chr12:110447178-110583061,Ppp2r5c,chr12,110447178,110583061,0.000483519,1.099543439,26931,14q32.31,5527,PPP2R5C
2700089E24Rik/chr6:133105238-133107746,2700089E24Rik,chr6,133105238,133107746,0.000491931,1.204687133,381820,12p13.2,100129361,LOC100129361
2210408I21Rik/chr13:77135535-77613679,2210408I21Rik,chr13,77135535,77613679,0.00049451,0.821293545,72371,5q15,285600,KIAA0825
Ipo8/chr6:148770683-148831467,Ipo8,chr6,148770683,148831467,0.000505305,1.129383173,320727,12p11.21,10526,IPO8
Nus1/chr10:52417546-52440192,Nus1,chr10,52417546,52440192,0.000518036,1.188042125,52014,6q22.1,116150,NUS1
Cdk7/chr13:100697024-100730942,Cdk7,chr13,100697024,100730942,0.000522177,1.088557812,12572,5q12.1,1022,CDK7
Suz12/chr11:79993105-80034123,Suz12,chr11,79993105,80034123,0.000541427,1.183757951,52615,17q11.2,23512,SUZ12
Itgav/chr2:83724396-83806916,Itgav,chr2,83724396,83806916,0.000544228,1.246725112,16410,2q31-q32,3685,ITGAV
Taok1/chr11:77529161-77607815,Taok1,chr11,77529161,77607815,0.000546209,1.267823135,216965,17q11.2,57551,TAOK1
Gnaq/chr19:16132830-16387453,Gnaq,chr19,16132830,16387453,0.000548373,1.12572758,14682,9q21,2776,GNAQ
2010106G01Rik/chr2:126890394-126933235,2010106G01Rik,chr2,126890394,126933235,0.000555481,1.166629535,NA,NA,NA,NA
Gm11517/chr11:96795331-96798156,Gm11517,chr11,96795331,96798156,0.000567153,2.465349678,NA,NA,NA,NA
Vkorc1/chr7:127893062-127895617,Vkorc1,chr7,127893062,127895617,0.000592574,0.842934494,27973,16p11.2,79001,VKORC1
Top1/chr2:160645896-160722763,Top1,chr2,160645896,160722763,0.000595339,1.148786422,21969,20q12-q13.1,7150,TOP1
Zfp148/chr16:33380774-33503903,Zfp148,chr16,33380774,33503903,0.000596861,1.135465882,22661,3q21,7707,ZNF148
Cd82/chr2:93419111-93462946,Cd82,chr2,93419111,93462946,0.000602186,0.830964406,12521,11p11.2,3732,CD82
Arl4d/chr11:101665540-101667832,Arl4d,chr11,101665540,101667832,0.000611675,0.565640933,80981,17q21.31,379,ARL4D
Tubb2a-ps2/chr12:11882195-11882899,Tubb2a-ps2,chr12,11882195,11882899,0.00061309,2.961805847,NA,NA,NA,NA
Zdhhc2/chr8:40423814-40484842,Zdhhc2,chr8,40423814,40484842,0.000623539,1.311902667,70546,8p22,51201,ZDHHC2
Gm20300/chr10:30603194-30606634,Gm20300,chr10,30603194,30606634,0.000628252,1.235921097,NA,NA,NA,NA
Gpm6b/chrX:166238942-166389033,Gpm6b,chrX,166238942,166389033,0.000628537,1.15961016,14758,Xp22.2,2824,GPM6B
Gm6654/chr6:146647176-146647802,Gm6654,chr6,146647176,146647802,0.000630201,1.741602096,NA,NA,NA,NA
Rabggta/chr14:55715876-55722176,Rabggta,chr14,55715876,55722176,0.000631455,0.888098573,56187,14q11.2,5875,RABGGTA
Pcnx/chr12:81860029-82000924,Pcnx,chr12,81860029,82000924,0.000635632,1.083393898,54604,14q24.2,22990,PCNX
Mtif2/chr11:29526456-29545255,Mtif2,chr11,29526456,29545255,0.000642189,1.067120426,76784,2p16.1,4528,MTIF2
Rassf10/chr7:112953961-112957458,Rassf10,chr7,112953961,112957458,0.000642959,1.288674706,78748,11p15.2,644943,RASSF10
Stt3b/chr9:115242581-115310421,Stt3b,chr9,115242581,115310421,0.000648631,1.144583559,68292,3p23,201595,STT3B
Vasn/chr16:4639944-4651166,Vasn,chr16,4639944,4651166,0.000648913,0.731413159,246154,16p13.3,114990,VASN
Ccdc88a/chr11:29373774-29510811,Ccdc88a,chr11,29373774,29510811,0.000659213,1.201422939,108686,2p16.1,55704,CCDC88A
Rhoa/chr9:108306204-108337939,Rhoa,chr9,108306204,108337939,0.000663532,1.092744201,11848,3p21.3,387,RHOA
Sh3bgrl/chrX:109095406-109162467,Sh3bgrl,chrX,109095406,109162467,0.000668727,1.234768992,56726,Xq13.3,6451,SH3BGRL
Vav3/chr3:109340682-109685694,Vav3,chr3,109340682,109685694,0.000692621,1.41141702,57257,1p13.3,10451,VAV3
Tpbg/chr9:85842379-85847055,Tpbg,chr9,85842379,85847055,0.000695422,1.273661415,21983,6q14-q15,7162,TPBG
Cflar/chr1:58713285-58758882,Cflar,chr1,58713285,58758882,0.000695896,1.278123284,12633,2q33-q34,8837,CFLAR
Gm6548/chr17:78850504-78852544,Gm6548,chr17,78850504,78852544,0.000703136,1.695829966,NA,NA,NA,NA
3000002C10Rik/chr9:109830153-109831431,3000002C10Rik,chr9,109830153,109831431,0.000716987,1.26867152,NA,NA,NA,NA
Ovol2/chr2:144305175-144332080,Ovol2,chr2,144305175,144332080,0.000718664,0.67105711,107586,20pter-q11.23,58495,OVOL2
Pbrm1/chr14:31019137-31121592,Pbrm1,chr14,31019137,31121592,0.000745939,1.150197337,66923,3p21,55193,PBRM1
Mzt2/chr16:15848440-15863322,Mzt2,chr16,15848440,15863322,0.000750958,0.814392345,72083,2q21.1,80097,MZT2B
Braf/chr6:39603236-39725463,Braf,chr6,39603236,39725463,0.000754619,1.098605891,109880,7q34,673,BRAF
Cxcl15/chr5:90794533-90803067,Cxcl15,chr5,90794533,90803067,0.000761881,0.669736202,NA,NA,NA,NA
AI467606/chr7:127091435-127094049,AI467606,chr7,127091435,127094049,0.000773473,0.450421545,101602,16p11.2,283897,C16orf54
Plekha2/chr8:25039143-25101811,Plekha2,chr8,25039143,25101811,0.000781716,1.118321015,83436,8p11.22,59339,PLEKHA2
Megf10/chr18:57133089-57297467,Megf10,chr18,57133089,57297467,0.000783958,1.2132857,70417,5q33,84466,MEGF10
Rps15a-ps6/chr11:6172507-6173331,Rps15a-ps6,chr11,6172507,6173331,0.000799811,1.92936037,NA,NA,NA,NA
Sox6/chr7:115471343-116038744,Sox6,chr7,115471343,116038744,0.000801711,1.152489696,20679,11p15.3,55553,SOX6
C130039O16Rik/chr12:84149173-84218881,C130039O16Rik,chr12,84149173,84218881,0.000809173,0.743701459,NA,NA,NA,NA
Nedd4/chr9:72662346-72749848,Nedd4,chr9,72662346,72749848,0.000821979,1.094802906,17999,15q,4734,NEDD4
Nlk/chr11:78567167-78697425,Nlk,chr11,78567167,78697425,0.000846867,1.185334157,18099,17q11.2,51701,NLK
Kcnd3/chr3:105452329-105674002,Kcnd3,chr3,105452329,105674002,0.00086958,1.18430034,56543,1p13.3,3752,KCND3
Spata2/chr2:167481135-167492874,Spata2,chr2,167481135,167492874,0.000871561,0.897635331,263876,20q13.13,9825,SPATA2
Phf6/chrX:52912265-52956943,Phf6,chrX,52912265,52956943,0.000880519,1.172601894,70998,Xq26.3,84295,PHF6
Synj2bp/chr12:81492193-81532907,Synj2bp,chr12,81492193,81532907,0.00089093,1.158460872,24071,14q24.2,55333,SYNJ2BP
Rccd1/chr7:80316615-80324454,Rccd1,chr7,80316615,80324454,0.000900714,0.797913892,269955,15q26.1,91433,RCCD1
Gm3604/chr13:62367715-62383174,Gm3604,chr13,62367715,62383174,0.000902479,1.712063411,NA,NA,NA,NA
Zfp26/chr9:20428317-20460160,Zfp26,chr9,20428317,20460160,0.000914098,1.33491302,22688,17p11.2,57547,ZNF624
Aldh5a1/chr13:24907578-24937661,Aldh5a1,chr13,24907578,24937661,0.000916124,1.12500894,214579,6p22,7915,ALDH5A1
Xab2/chr8:3610089-3621296,Xab2,chr8,3610089,3621296,0.000922308,0.856117695,67439,19p13.2,56949,XAB2
Chic1/chrX:103356475-103396118,Chic1,chrX,103356475,103396118,0.000940224,1.142083314,12212,Xq13.2,53344,CHIC1
Mboat4/chr8:34115029-34125185,Mboat4,chr8,34115029,34125185,0.000962998,2.330894354,234155,8p12,619373,MBOAT4
Gm13498/chr2:50909683-50911846,Gm13498,chr2,50909683,50911846,0.000963156,2.248349636,NA,NA,NA,NA
Tlr4/chr4:66827810-66842796,Tlr4,chr4,66827810,66842796,0.000970416,1.469168139,21898,9q33.1,7099,TLR4
Plk1/chr7:122159436-122169875,Plk1,chr7,122159436,122169875,0.000981285,1.581741307,18817,16p12.2,5347,PLK1
Zfp71-rs1/chr13:67705305-67729173,Zfp71-rs1,chr13,67705305,67729173,0.000982828,1.385041855,235907,19p13.11,440515,ZNF506
Pdcd4/chr19:53892230-53929861,Pdcd4,chr19,53892230,53929861,0.000995057,1.121196184,18569,10q24,27250,PDCD4
Pphln1/chr15:93398349-93491912,Pphln1,chr15,93398349,93491912,0.001001559,1.194060022,223828,12q12,51535,PPHLN1
Tmx4/chr2:134594501-134644121,Tmx4,chr2,134594501,134644121,0.001004075,1.222796168,52837,20p12,56255,TMX4
Crhr1/chr11:104132881-104175518,Crhr1,chr11,104132881,104175518,0.001019073,0.854342796,12921,17q12-q22,1394,CRHR1
Spns2/chr11:72451637-72489904,Spns2,chr11,72451637,72489904,0.001019822,0.807809667,216892,17p13.2,124976,SPNS2
E130006D01Rik/chr5:111734283-111761728,E130006D01Rik,chr5,111734283,111761728,0.001022854,0.519184273,NA,NA,NA,NA
Rnf168/chr16:32277460-32301439,Rnf168,chr16,32277460,32301439,0.001025382,1.150129105,70238,3q29,165918,RNF168
Marcks/chr10:37133242-37138926,Marcks,chr10,37133242,37138926,0.001027544,1.257054627,17118,6q22.2,4082,MARCKS
Tbx6/chr7:126781482-126785548,Tbx6,chr7,126781482,126785548,0.001052183,0.303971346,21389,16p11.2,6911,TBX6
Cnr1/chr4:33924631-33948831,Cnr1,chr4,33924631,33948831,0.001056127,1.343751827,12801,6q14-q15,1268,CNR1
Gm5141/chr13:62772199-62785808,Gm5141,chr13,62772199,62785808,0.001056281,1.264254821,NA,NA,NA,NA
Trpm6/chr19:18749982-18892511,Trpm6,chr19,18749982,18892511,0.001067024,1.226458943,225997,9q21.13,140803,TRPM6
Atl3/chr19:7494039-7538609,Atl3,chr19,7494039,7538609,0.001080445,1.203462693,109168,11q13.1,25923,ATL3
Mrps18b/chr17:35910384-35916369,Mrps18b,chr17,35910384,35916369,0.00108514,0.868227306,66973,6p21.3,28973,MRPS18B
Setd7/chr3:51515317-51560823,Setd7,chr3,51515317,51560823,0.001094892,1.164706761,73251,4q28,80854,SETD7
Fam194a/chr3:58616299-58637207,Fam194a,chr3,58616299,58637207,0.001095115,1.343118402,545527,3q25.1,131831,FAM194A
Fas/chr19:34290658-34327770,Fas,chr19,34290658,34327770,0.001097299,0.545182958,14102,10q24.1,355,FAS
Ankle2/chr5:110231003-110256651,Ankle2,chr5,110231003,110256651,0.001114189,1.134023606,71782,12q24.33,23141,ANKLE2
Zfp36l2/chr17:84183927-84187947,Zfp36l2,chr17,84183927,84187947,0.00111496,1.368601553,12193,2p22.3-p21,678,ZFP36L2
Slc12a6/chr2:112266313-112363163,Slc12a6,chr2,112266313,112363163,0.001121248,1.142565823,107723,15q13,9990,SLC12A6
2810468N07Rik/chr17:25570810-25575043,2810468N07Rik,chr17,25570810,25575043,0.001146172,0.860333042,NA,NA,NA,NA
Inpp4a/chr1:37299892-37410735,Inpp4a,chr1,37299892,37410735,0.001148189,1.148654254,269180,2q11.2,3631,INPP4A
Mcmbp/chr7:128696458-128740429,Mcmbp,chr7,128696458,128740429,0.001153387,1.097361111,210711,10q26.11,79892,MCMBP
Syt6/chr3:103575280-103635179,Syt6,chr3,103575280,103635179,0.001153769,1.381962928,54524,1p13.2,148281,SYT6
2810407C02Rik/chr3:58576657-58593546,2810407C02Rik,chr3,58576657,58593546,0.001167614,1.188566541,69227,3q25.1,51714,SELT
Celf2/chr2:6539698-7396198,Celf2,chr2,6539698,7396198,0.0011753,1.174252861,14007,10p13,10659,CELF2
Hipk1/chr3:103739814-103791275,Hipk1,chr3,103739814,103791275,0.001184797,1.208981904,15257,1p13.2,204851,HIPK1
Utp23/chr15:51877440-51884622,Utp23,chr15,51877440,51884622,0.001196758,1.099313707,78581,8q24.11,84294,UTP23
Slc25a25/chr2:32414486-32451470,Slc25a25,chr2,32414486,32451470,0.001202178,0.879537183,227731,9q34.11,114789,SLC25A25
Peg10/chr6:4747305-4760516,Peg10,chr6,4747305,4760516,0.001224207,1.22430179,170676,7q21,23089,PEG10
Ptges3/chr10:128058981-128077254,Ptges3,chr10,128058981,128077254,0.001230761,1.167128497,56351,12q13.3,10728,PTGES3
Gm19757/chr6:105481265-105492668,Gm19757,chr6,105481265,105492668,0.001234925,0.906542918,NA,NA,NA,NA
Oscp1/chr4:126058564-126089334,Oscp1,chr4,126058564,126089334,0.001246917,0.856360813,230751,1p34.3,127700,OSCP1
Naa15/chr3:51416015-51475985,Naa15,chr3,51416015,51475985,0.001253581,1.143785832,74838,4q31.1,80155,NAA15
Rsbn1/chr3:103914119-103966620,Rsbn1,chr3,103914119,103966620,0.00126038,1.164548058,229675,1p13.2,54665,RSBN1
Cul5/chr9:53614581-53667507,Cul5,chr9,53614581,53667507,0.001261516,1.137572044,75717,11q22.3,8065,CUL5
