geneInfo,gene,Chr,Start,Stop,pvalsReciprocal,naturalLogBeta_Reciprocal,Mouse.EntrezGene.ID,Human.Chr,Human.EntrezGene.ID,Human.Symbol
Ino80e/chr7:126852432-126861463,Ino80e,chr7,126852432,126861463,1.02E-06,0.556897194,233875,16p11.2,283899,INO80E
Tmem219/chr7:126886218-126898278,Tmem219,chr7,126886218,126898278,1.13E-06,0.575427071,68742,16p11.2,124446,TMEM219
Mylpf/chr7:127211607-127214287,Mylpf,chr7,127211607,127214287,1.51E-06,0.690195774,17907,16p11.2,29895,MYLPF
Aldoa/chr7:126795233-126800447,Aldoa,chr7,126795233,126800447,1.52E-06,0.565291104,11674,16p11.2,226,ALDOA
Mvp/chr7:126986859-127014594,Mvp,chr7,126986859,127014594,5.63E-06,0.571428838,78388,16p11.2,9961,MVP
Kcnd3/chr3:105452329-105674002,Kcnd3,chr3,105452329,105674002,1.15E-05,-0.172840128,56543,1p13.3,3752,KCND3
Coro1a/chr7:126699773-126704754,Coro1a,chr7,126699773,126704754,1.36E-05,0.507290424,12721,16p11.2,11151,CORO1A
Kif22/chr7:127027730-127042420,Kif22,chr7,127027730,127042420,1.57E-05,0.581098824,110033,16p11.2,3835,KIF22
Slc7a14/chr3:31202855-31310319,Slc7a14,chr3,31202855,31310319,4.69E-05,-0.099294475,241919,3q26.2,57709,SLC7A14
Slx1b/chr7:126688926-126695783,Slx1b,chr7,126688926,126695783,6.56E-05,0.3552704,75764,16p11.2,79008,SLX1B
Dip2c/chr13:9276524-9668926,Dip2c,chr13,9276524,9668926,0.000114344,-0.11949036,208440,10p15.3,22982,DIP2C
D430041D05Rik/chr2:104143074-104410334,D430041D05Rik,chr2,104143074,104410334,0.000140297,-0.104211549,241589,11p13,25758,KIAA1549L
Mas1/chr17:12841004-12868143,Mas1,chr17,12841004,12868143,0.000179873,-0.210480386,17171,6q25.3-q26,4142,MAS1
Kctd21/chr7:97332322-97350216,Kctd21,chr7,97332322,97350216,0.000195954,-0.200434551,622320,11q14.1,283219,KCTD21
Mapk3/chr7:126759625-126765816,Mapk3,chr7,126759625,126765816,0.000223272,0.391493565,26417,16p11.2,5595,MAPK3
Ubash3b/chr9:41013640-41157494,Ubash3b,chr9,41013640,41157494,0.000237661,-0.139133764,72828,11q24.1,84959,UBASH3B
Plcl2/chr17:50509546-50688494,Plcl2,chr17,50509546,50688494,0.000293346,-0.131785054,224860,3p24.3,23228,PLCL2
Bola2/chr7:126695999-126696693,Bola2,chr7,126695999,126696693,0.000306249,0.421183364,66162,16p11.2,552900,BOLA2
Cartpt/chr13:99898483-99900683,Cartpt,chr13,99898483,99900683,0.000378917,-0.268750765,27220,5q13.2,9607,CARTPT
Trpm4/chr7:45303154-45333780,Trpm4,chr7,45303154,45333780,0.00042169,0.107307171,68667,19q13.33,54795,TRPM4
Ppp1r14c/chr10:3366149-3464975,Ppp1r14c,chr10,3366149,3464975,0.000429055,-0.086690949,76142,6q24.3-q25.3,81706,PPP1R14C
1700028E10Rik/chr5:151368674-151414083,1700028E10Rik,chr5,151368674,151414083,0.000479743,-0.409463377,NA,NA,NA,NA
4930451C15Rik/chr16:17544464-17561247,4930451C15Rik,chr16,17544464,17561247,0.00051824,0.246271081,74685,22q11.21,400891,LOC400891
Chst11/chr10:82985496-83195891,Chst11,chr10,82985496,83195891,0.000527779,-0.142871134,58250,12q,50515,CHST11
Rnf17/chr14:56402696-56525031,Rnf17,chr14,56402696,56525031,0.000551253,0.716224812,30054,13q12.12,56163,RNF17
Nol3/chr8:105276446-105281939,Nol3,chr8,105276446,105281939,0.00055439,-0.094920333,78688,16q22.1,8996,NOL3
Sept1/chr7:127214441-127218445,1-Sep,chr7,127214441,127218445,0.000600637,0.615462185,54204,16p11.1,1731,1-Sep
Itgbl1/chr14:123660139-123974079,Itgbl1,chr14,123660139,123974079,0.000643016,-0.519128324,223272,13q33,9358,ITGBL1
C1qtnf1/chr11:118428456-118451782,C1qtnf1,chr11,118428456,118451782,0.000643671,-0.159894458,56745,17q25.3,114897,C1QTNF1
Zdhhc14/chr17:5492599-5753891,Zdhhc14,chr17,5492599,5753891,0.000684694,-0.176349536,224454,6q25.3,79683,ZDHHC14
Dok5/chr2:170731806-170879775,Dok5,chr2,170731806,170879775,0.000707842,-0.080809699,76829,20q13.2,55816,DOK5
Dis3l/chr9:64306755-64341257,Dis3l,chr9,64306755,64341257,0.000731989,-0.064557945,213550,15q22.31,115752,DIS3L
C030019I05Rik/chr11:46235556-46239871,C030019I05Rik,chr11,46235556,46239871,0.000743939,-0.415230294,NA,NA,NA,NA
Kalrn/chr16:33969072-34514027,Kalrn,chr16,33969072,34514027,0.000745325,0.100718103,545156,3q21.2,8997,KALRN
Slc27a5/chr7:12988345-12998192,Slc27a5,chr7,12988345,12998192,0.000749152,0.473450473,26459,19q13.43,10998,SLC27A5
Arhgef25/chr10:127182520-127190054,Arhgef25,chr10,127182520,127190054,0.000787885,0.112194689,52666,12q13.3,115557,ARHGEF25
Atp8b2/chr3:89939480-89963508,Atp8b2,chr3,89939480,89963508,0.000798105,0.093958495,54667,1q21.3,57198,ATP8B2
Aqp6/chr15:99601399-99605477,Aqp6,chr15,99601399,99605477,0.000835692,0.48515908,11831,12q13,363,AQP6
Serpinb6c/chr13:33879815-33905708,Serpinb6c,chr13,33879815,33905708,0.000843957,-0.301468081,NA,NA,NA,NA
Rtkn2/chr10:67979597-68043864,Rtkn2,chr10,67979597,68043864,0.000869165,0.338010636,170799,10q21.2,219790,RTKN2
Dvl2/chr11:70000625-70010109,Dvl2,chr11,70000625,70010109,0.000886673,0.123689141,13543,17p13.1,1856,DVL2
Arhgef4/chr1:34801721-34812754,Arhgef4,chr1,34801721,34812754,0.000892077,0.072420317,226970,2q22,50649,ARHGEF4
9330179D12Rik/chr6:127149388-127212419,9330179D12Rik,chr6,127149388,127212419,0.000905559,0.142209548,NA,NA,NA,NA
Slco4a1/chr2:180460977-180474853,Slco4a1,chr2,180460977,180474853,0.000906468,0.209671164,108115,20q13.33,28231,SLCO4A1
Cebpd/chr16:15887285-15889545,Cebpd,chr16,15887285,15889545,0.00091226,0.301739215,12609,8p11.2-p11.1,1052,CEBPD
Zfp791/chr8:85109166-85123095,Zfp791,chr8,85109166,85123095,0.00091652,-0.128751984,244556,19p13.2,163049,ZNF791
Olfr78/chr7:102740720-102759471,Olfr78,chr7,102740720,102759471,0.001000388,0.329959227,170639,11p15,81285,OR51E2
Zfp192/chr13:21513220-21531114,Zfp192,chr13,21513220,21531114,0.001009773,-0.099293051,NA,NA,NA,NA
Tmem44/chr16:30511854-30550578,Tmem44,chr16,30511854,30550578,0.001078987,0.160884299,224090,3q29,93109,TMEM44
Tbx6/chr7:126781482-126785548,Tbx6,chr7,126781482,126785548,0.001120501,0.692026293,21389,16p11.2,6911,TBX6
Tyw3/chr3:154576519-154597098,Tyw3,chr3,154576519,154597098,0.001343822,-0.08879449,209584,1p31.1,127253,TYW3
2010321M09Rik/chr9:64960831-64986974,2010321M09Rik,chr9,64960831,64986974,0.001375561,-0.060244508,NA,NA,NA,NA
Trip13/chr13:73912461-73937767,Trip13,chr13,73912461,73937767,0.001429074,0.545722624,69716,5p15.33,9319,TRIP13
Qprt/chr7:127107769-127122029,Qprt,chr7,127107769,127122029,0.001473114,0.596054532,67375,16p11.2,23475,QPRT
Pnmt/chr11:98386631-98388097,Pnmt,chr11,98386631,98388097,0.001491027,0.655277898,18948,17q,5409,PNMT
Dner/chr1:84369838-84696221,Dner,chr1,84369838,84696221,0.001566643,-0.097124404,227325,2q36.3,92737,DNER
Glb1l2/chr9:26763043-26806417,Glb1l2,chr9,26763043,26806417,0.001578294,0.461211581,244757,11q25,89944,GLB1L2
Ntrk3/chr7:78192113-78577838,Ntrk3,chr7,78192113,78577838,0.001614334,-0.112117332,18213,15q25,4916,NTRK3
2210416O15Rik/chr11:88098057-88100107,2210416O15Rik,chr11,88098057,88100107,0.001628442,0.519489251,NA,NA,NA,NA
Nedd4l/chr18:64887755-65217826,Nedd4l,chr18,64887755,65217826,0.001662219,-0.106775242,83814,18q21,23327,NEDD4L
Gdpd3/chr7:126766413-126775645,Gdpd3,chr7,126766413,126775645,0.001909955,2.293133977,68616,16p11.2,79153,GDPD3
S1pr5/chr9:21242916-21248443,S1pr5,chr9,21242916,21248443,0.001960475,0.1040638,94226,19p13.2,53637,S1PR5
Klf6/chr13:5861488-5870393,Klf6,chr13,5861488,5870393,0.002011655,-0.127990322,23849,10p15,1316,KLF6
Zfp831/chr2:174643533-174710830,Zfp831,chr2,174643533,174710830,0.002091949,-0.088747061,100043757,20q13.32,128611,ZNF831
1810035I16Rik/chr4:141844320-141846990,1810035I16Rik,chr4,141844320,141846990,0.002099178,0.171309539,NA,NA,NA,NA
Tcap/chr11:98383810-98384953,Tcap,chr11,98383810,98384953,0.002133579,0.278515026,21393,17q12,8557,TCAP
Fbln2/chr6:91212763-91272540,Fbln2,chr6,91212763,91272540,0.002225118,-0.223738252,14115,3p25.1,2199,FBLN2
Myoz3/chr18:60573716-60591716,Myoz3,chr18,60573716,60591716,0.002227062,0.153135834,170947,5q33.1,91977,MYOZ3
Map2k7/chr8:4238739-4247897,Map2k7,chr8,4238739,4247897,0.002340017,0.066176386,26400,19p13.3-p13.2,5609,MAP2K7
Nog/chr11:89300637-89302559,Nog,chr11,89300637,89302559,0.002370543,-0.126006044,18121,17q22,9241,NOG
Cd6/chr19:10789338-10830058,Cd6,chr19,10789338,10830058,0.002376244,0.277457342,12511,11q13,923,CD6
4933405D12Rik/chr3:122882591-122924116,4933405D12Rik,chr3,122882591,122924116,0.002419388,0.567745594,NA,NA,NA,NA
Ctnna2/chr6:76881636-77979667,Ctnna2,chr6,76881636,77979667,0.00244792,-0.057797844,12386,2p12-p11.1,1496,CTNNA2
Manf/chr9:106887414-106891938,Manf,chr9,106887414,106891938,0.002503698,-0.134291613,74840,3p21.1,7873,MANF
Bzrap1/chr11:87760540-87785928,Bzrap1,chr11,87760540,87785928,0.002533336,0.109436286,207777,17q22-q23,9256,BZRAP1
Gabrb3/chr7:57590533-57828801,Gabrb3,chr7,57590533,57828801,0.00254406,-0.07827105,14402,15q12,2562,GABRB3
Arhgef10l/chr4:140514484-140665905,Arhgef10l,chr4,140514484,140665905,0.002559332,0.117625547,72754,1p36.13,55160,ARHGEF10L
Ido2/chr8:24531891-24576333,Ido2,chr8,24531891,24576333,0.002565597,0.260805497,209176,8p11.21,169355,IDO2
Lrfn2/chr17:48932581-49097590,Lrfn2,chr17,48932581,49097590,0.002569807,-0.221823604,70530,6p21.2-p21.1,57497,LRFN2
Traf5/chr1:192054349-192092564,Traf5,chr1,192054349,192092564,0.002648711,0.386499806,22033,1q32,7188,TRAF5
Rccd1/chr7:80316615-80324454,Rccd1,chr7,80316615,80324454,0.002658466,0.140980528,269955,15q26.1,91433,RCCD1
Pcnx/chr12:81860029-82000924,Pcnx,chr12,81860029,82000924,0.002677682,-0.049503773,54604,14q24.2,22990,PCNX
Tnfrsf22/chr7:143636724-143649638,Tnfrsf22,chr7,143636724,143649638,0.002802085,-0.149577995,NA,NA,NA,NA
Lrrc32/chr7:98494221-98501830,Lrrc32,chr7,98494221,98501830,0.002874646,-0.242732409,434215,11q13.5-q14,2615,LRRC32
Frmd8/chr19:5850973-5875208,Frmd8,chr19,5850973,5875208,0.002876534,0.080055998,67457,11q13,83786,FRMD8
Maml3/chr3:51687612-52105006,Maml3,chr3,51687612,52105006,0.002922884,-0.312664832,433586,4q28,55534,MAML3
Btbd9/chr17:30215523-30576287,Btbd9,chr17,30215523,30576287,0.003031921,-0.129864085,224671,6p21,114781,BTBD9
Pex12/chr11:83294644-83298977,Pex12,chr11,83294644,83298977,0.003106243,-0.155058306,103737,17q12,5193,PEX12
Nedd9/chr13:41309915-41487320,Nedd9,chr13,41309915,41487320,0.00312148,0.208541867,18003,6p25-p24,4739,NEDD9
Arid3b/chr9:57790504-57834234,Arid3b,chr9,57790504,57834234,0.003138065,0.277175577,56380,15q24,10620,ARID3B
Per1/chr11:69098955-69109957,Per1,chr11,69098955,69109957,0.003141798,0.483846015,18626,17p13.1,5187,PER1
Gm7030/chr17:36127608-36129425,Gm7030,chr17,36127608,36129425,0.003159726,0.192298336,630294,6p21.3,3139,HLA-L
Cgn/chr3:94760069-94786515,Cgn,chr3,94760069,94786515,0.003170261,0.17629405,70737,1q21,57530,CGN
Vasn/chr16:4639944-4651166,Vasn,chr16,4639944,4651166,0.003216513,0.176132478,246154,16p13.3,114990,VASN
Shisa6/chr11:66211724-66526126,Shisa6,chr11,66211724,66526126,0.003226488,-0.196805945,380702,17p12,388336,SHISA6
Map3k6/chr4:133240817-133252928,Map3k6,chr4,133240817,133252928,0.00323317,0.560704675,53608,1p36.11,9064,MAP3K6
Aldh2/chr5:121567686-121593824,Aldh2,chr5,121567686,121593824,0.003245244,0.070763035,11669,12q24.2,217,ALDH2
Wwox/chr8:114439651-115352712,Wwox,chr8,114439651,115352712,0.003258952,-0.730564858,80707,16q23.3-q24.1,51741,WWOX
Clec3b/chr9:123150945-123157432,Clec3b,chr9,123150945,123157432,0.003290196,-0.684748421,21922,3p22-p21.3,7123,CLEC3B
Fas/chr19:34290658-34327770,Fas,chr19,34290658,34327770,0.00333639,0.516053956,14102,10q24.1,355,FAS
Hs3st1/chr5:39613934-39644631,Hs3st1,chr5,39613934,39644631,0.00334843,-0.217070879,15476,4p16,9957,HS3ST1
Ift57/chr16:49699293-49765126,Ift57,chr16,49699293,49765126,0.003363023,-0.158205775,73916,3q13.13,55081,IFT57
Arhgef15/chr11:68943153-68956858,Arhgef15,chr11,68943153,68956858,0.003376636,0.108707216,442801,17p13.1,22899,ARHGEF15
8430408G22Rik/chr6:116650683-116652847,8430408G22Rik,chr6,116650683,116652847,0.003394582,0.781976185,213393,10q11.21,11067,C10orf10
Tnpo3/chr6:29540826-29609607,Tnpo3,chr6,29540826,29609607,0.003424822,-0.050215781,320938,7q32.1,23534,TNPO3
Dtwd2/chr18:49696144-49755601,Dtwd2,chr18,49696144,49755601,0.003431479,-0.160449077,68857,5q23.1,285605,DTWD2
Frmd6/chr12:70825513-70902234,Frmd6,chr12,70825513,70902234,0.003510988,0.285156379,319710,14q22.1,122786,FRMD6
Zdhhc5/chr2:84687919-84715164,Zdhhc5,chr2,84687919,84715164,0.003511918,-0.064922302,228136,11q12.1,25921,ZDHHC5
Fblim1/chr4:141576061-141606052,Fblim1,chr4,141576061,141606052,0.003573283,-0.316635406,74202,1p36.21,54751,FBLIM1
Ankrd5/chr2:136532320-136555854,Ankrd5,chr2,136532320,136555854,0.003633363,0.444727305,NA,NA,NA,NA
Pkd1/chr17:24549949-24596514,Pkd1,chr17,24549949,24596514,0.003728746,0.132114903,18763,16p13.3,5310,PKD1
Podxl/chr6:31519492-31563937,Podxl,chr6,31519492,31563937,0.003755678,-0.188887584,27205,7q32-q33,5420,PODXL
Grik3/chr4:125490830-125714173,Grik3,chr4,125490830,125714173,0.003761817,-0.104149835,14807,1p34.3,2899,GRIK3
AF251705/chr11:114996768-115001880,AF251705,chr11,114996768,115001880,0.003804385,-0.213119786,NA,NA,NA,NA
Tgs1/chr4:3574878-3616623,Tgs1,chr4,3574878,3616623,0.00380997,-0.101734529,116940,8q11,96764,TGS1
Mmgt2/chr11:62648663-62666359,Mmgt2,chr11,62648663,62666359,0.003870133,-0.114290534,NA,NA,NA,NA
A530058N18Rik/chr2:114013564-114032292,A530058N18Rik,chr2,114013564,114032292,0.003894367,-0.175282133,NA,NA,NA,NA
Fmo2/chr1:162875046-162898712,Fmo2,chr1,162875046,162898712,0.003959994,0.432906237,55990,1q24.3,2327,FMO2
Atp2b4/chr1:133702673-133753747,Atp2b4,chr1,133702673,133753747,0.003991796,-0.10252966,381290,1q32.1,493,ATP2B4
Col6a2/chr10:76595755-76623404,Col6a2,chr10,76595755,76623404,0.004006062,-0.198143143,12834,21q22.3,1292,COL6A2
AI848285/chr15:82206951-82212815,AI848285,chr15,82206951,82212815,0.004056833,0.253337203,435145,22,191593,C22orf17
Cc2d2a/chr5:43662378-43740970,Cc2d2a,chr5,43662378,43740970,0.004160345,0.154720333,231214,4p15.32,57545,CC2D2A
Ankrd50/chr3:38449260-38484816,Ankrd50,chr3,38449260,38484816,0.004178735,-0.075399931,NA,NA,NA,NA
Npas2/chr1:39194271-39363240,Npas2,chr1,39194271,39363240,0.004195122,-0.1458675,18143,2q11.2,4862,NPAS2
Klf15/chr6:90462625-90475209,Klf15,chr6,90462625,90475209,0.004280374,0.234520554,66277,3q21.3,28999,KLF15
Tyw1/chr5:130255618-130341567,Tyw1,chr5,130255618,130341567,0.004292428,0.075269359,100929,7q11.21,55253,TYW1
Ccdc80/chr16:45094052-45127924,Ccdc80,chr16,45094052,45127924,0.004296696,-0.165336373,67896,3q13.2,151887,CCDC80
Stk40/chr4:126103956-126141029,Stk40,chr4,126103956,126141029,0.004336533,0.231022061,74178,1p34.3,83931,STK40
Cd79b/chr11:106311340-106314529,Cd79b,chr11,106311340,106314529,0.004357951,-0.604689323,15985,17q23,974,CD79B
Wdfy1/chr1:79702261-79761769,Wdfy1,chr1,79702261,79761769,0.004387165,-0.196073864,69368,2q36.1,57590,WDFY1
Zfp433/chr10:81704824-81881086,Zfp433,chr10,81704824,81881086,0.004545964,-0.232846776,NA,NA,NA,NA
Plekhh2/chr17:84511894-84622142,Plekhh2,chr17,84511894,84622142,0.004650104,-0.170618412,213556,2p21,130271,PLEKHH2
A730056A06Rik/chr7:73313805-73375774,A730056A06Rik,chr7,73313805,73375774,0.004669954,-0.132941233,NA,NA,NA,NA
Tanc1/chr2:59612043-59846149,Tanc1,chr2,59612043,59846149,0.004676432,-0.162739677,66860,2q24.2,85461,TANC1
Fndc1/chr17:7738567-7804974,Fndc1,chr17,7738567,7804974,0.004683799,-0.180503509,68655,6q25,84624,FNDC1
Pde6g/chr11:120447609-120453483,Pde6g,chr11,120447609,120453483,0.004686219,0.720542592,18588,17q25,5148,PDE6G
Cyb5b/chr8:107150660-107187470,Cyb5b,chr8,107150660,107187470,0.004820309,-0.061484324,66427,16q22.1,80777,CYB5B
Irgc1/chr7:24431925-24445682,Irgc1,chr7,24431925,24445682,0.004844378,0.964880945,210145,19q13.31,56269,IRGC
Gpr83/chr9:14860253-14869499,Gpr83,chr9,14860253,14869499,0.004867096,-0.116571398,14608,11q21,10888,GPR83
Uvrag/chr7:98886742-99141144,Uvrag,chr7,98886742,99141144,0.004973124,-0.090644908,78610,11q13.5,7405,UVRAG
Cyp4f16/chr17:32536628-32551797,Cyp4f16,chr17,32536628,32551797,0.004995258,0.116439205,NA,NA,NA,NA
Dysf/chr6:84008589-84211042,Dysf,chr6,84008589,84211042,0.005021033,0.197269399,26903,2p13.3,8291,DYSF
Fcgbp/chr7:28071235-28120864,Fcgbp,chr7,28071235,28120864,0.005058496,0.475621977,215384,19q13.1,8857,FCGBP
Stx3/chr19:11775117-11819403,Stx3,chr19,11775117,11819403,0.005068515,0.122500673,20908,11q12.1,6809,STX3
Zbtb49/chr5:38200043-38220428,Zbtb49,chr5,38200043,38220428,0.005083781,0.115438471,75079,4p16.3,166793,ZBTB49
Mfsd2a/chr4:122946850-122961188,Mfsd2a,chr4,122946850,122961188,0.005205654,0.225121722,76574,1p34.2,84879,MFSD2A
Tbl2/chr5:135149710-135162662,Tbl2,chr5,135149710,135162662,0.005206266,-0.060557433,27368,7q11.23,26608,TBL2
Syt9/chr7:107370789-107548655,Syt9,chr7,107370789,107548655,0.005208705,-0.125035089,60510,11p15.4,143425,SYT9
Vps37b/chr5:124004640-124032260,Vps37b,chr5,124004640,124032260,0.00521238,0.078344349,330192,12q24.31,79720,VPS37B
Cdh13/chr8:118283754-119323448,Cdh13,chr8,118283754,119323448,0.005215929,-0.168777345,12554,16q23.3,1012,CDH13
Gnaq/chr19:16132830-16387453,Gnaq,chr19,16132830,16387453,0.005227449,-0.068588948,14682,9q21,2776,GNAQ
6030405A18Rik/chr3:54897068-54915887,6030405A18Rik,chr3,54897068,54915887,0.005345307,-0.103328373,NA,NA,NA,NA
Ppef2/chr5:92226973-92253159,Ppef2,chr5,92226973,92253159,0.00535988,0.520360877,19023,4q21.1,5470,PPEF2
Vdr/chr15:97854426-97908296,Vdr,chr15,97854426,97908296,0.00544731,-0.356419477,22337,12q13.11,7421,VDR
Fam150b/chr12:30884323-30893854,Fam150b,chr12,30884323,30893854,0.005488878,-0.339319629,100294583,2p25.3,285016,FAM150B
Gsg1l/chr7:125878418-126082411,Gsg1l,chr7,125878418,126082411,0.005514702,-0.087936014,269994,16p12.1,146395,GSG1L
Pate2/chr9:35669638-35672889,Pate2,chr9,35669638,35672889,0.005516351,0.754611366,330921,11q24.2,399967,PATE2
Mnt/chr11:74830923-74845725,Mnt,chr11,74830923,74845725,0.005521987,0.12212425,17428,17p13.3,4335,MNT
Fen1/chr19:10199138-10203943,Fen1,chr19,10199138,10203943,0.005541007,0.08045354,14156,11q12,2237,FEN1
Elovl2/chr13:41182381-41220403,Elovl2,chr13,41182381,41220403,0.005561665,-0.163353006,54326,6p24.2,54898,ELOVL2
Hspa5/chr2:34772089-34776529,Hspa5,chr2,34772089,34776529,0.005615843,-0.161738638,14828,9q33.3,3309,HSPA5
Gimap6/chr6:48701582-48708244,Gimap6,chr6,48701582,48708244,0.005624027,0.262094545,231931,7q36.1,474344,GIMAP6
Wash/chr17:66111545-66120503,Wash,chr17,66111545,66120503,0.00567606,0.066564402,68767,2q13,375260,WASH2P
Pnma3/chrX:73064786-73068191,Pnma3,chrX,73064786,73068191,0.005735999,0.141265328,245468,Xq28,29944,PNMA3
Myh6/chr14:54941920-54966607,Myh6,chr14,54941920,54966607,0.005737874,0.213701053,17888,14q12,4624,MYH6
Ift140/chr17:25016085-25099497,Ift140,chr17,25016085,25099497,0.00576525,0.08131013,106633,16p13.3,9742,IFT140
Cpne4/chr9:104569787-105034544,Cpne4,chr9,104569787,105034544,0.005786009,-0.104289773,74020,3q22.1,131034,CPNE4
Nhedc2/chr3:135307699-135342767,Nhedc2,chr3,135307699,135342767,0.005809231,0.297157165,NA,NA,NA,NA
Gnas/chr2:174284319-174346742,Gnas,chr2,174284319,174346742,0.005850656,0.039680317,14683,20q13.3,2778,GNAS
Ovol2/chr2:144305175-144332080,Ovol2,chr2,144305175,144332080,0.005926809,0.248887643,107586,20pter-q11.23,58495,OVOL2
Cml1/chr6:85910153-85915677,Cml1,chr6,85910153,85915677,0.00595084,0.109088856,NA,NA,NA,NA
Tmem167b/chr3:108556424-108562466,Tmem167b,chr3,108556424,108562466,0.005982819,-0.052895167,67495,1p13.3,56900,TMEM167B
Hps4/chr5:112343094-112378424,Hps4,chr5,112343094,112378424,0.005987209,0.114766883,192232,22cen-q12.3,89781,HPS4
Cox7a1/chr7:30184170-30186030,Cox7a1,chr7,30184170,30186030,0.005989167,-0.347259093,12865,19q13.1,1346,COX7A1
St8sia3/chr18:64254358-64276144,St8sia3,chr18,64254358,64276144,0.006008986,-0.084910994,20451,18q21.31,51046,ST8SIA3
Syngr3/chr17:24685091-24689949,Syngr3,chr17,24685091,24689949,0.006016061,-0.07531441,20974,16p13,9143,SYNGR3
Nkx6-2/chr7:139579375-139582797,Nkx6-2,chr7,139579375,139582797,0.006027981,0.173434873,14912,10q26,84504,NKX6-2
Hmgcs2/chr3:98280430-98310738,Hmgcs2,chr3,98280430,98310738,0.006037303,0.196041462,15360,1p13-p12,3158,HMGCS2
Vegfa/chr17:46016992-46032377,Vegfa,chr17,46016992,46032377,0.006058464,0.127729767,22339,6p12,7422,VEGFA
Astn1/chr1:158362303-158691786,Astn1,chr1,158362303,158691786,0.006093768,-0.045686963,11899,1q25.2,460,ASTN1
Tnfaip8l3/chr9:54025605-54068411,Tnfaip8l3,chr9,54025605,54068411,0.006132706,-0.157035178,244882,15q21.2,388121,TNFAIP8L3
Gpd2/chr2:57237677-57370719,Gpd2,chr2,57237677,57370719,0.006136445,0.086947623,14571,2q24.1,2820,GPD2
2510002D24Rik/chr16:18836579-18840113,2510002D24Rik,chr16,18836579,18840113,0.006165723,0.10829319,72307,22q11.21,128977,C22orf39
Kcnf1/chr12:17172099-17176888,Kcnf1,chr12,17172099,17176888,0.006171928,-0.110281566,382571,2p25,3754,KCNF1
4930526I15Rik/chr9:124423255-124424856,4930526I15Rik,chr9,124423255,124424856,0.00624176,0.215169383,NA,NA,NA,NA
Specc1l/chr10:75212072-75312400,Specc1l,chr10,75212072,75312400,0.00624713,0.045197336,74392,22q11.23,23384,SPECC1L
Gfer/chr17:24693190-24696156,Gfer,chr17,24693190,24696156,0.006271242,0.121098199,11692,16p13.3-p13.12,2671,GFER
Dis3l2/chr1:86703803-87050097,Dis3l2,chr1,86703803,87050097,0.006283187,-0.075645004,208718,2q37.1,129563,DIS3L2
E330021D16Rik/chr6:136400318-136415569,E330021D16Rik,chr6,136400318,136415569,0.006283467,-0.277359912,NA,NA,NA,NA
Pcdhb19/chr18:37496997-37501711,Pcdhb19,chr18,37496997,37501711,0.006293991,-0.115509355,93890,5q31,56125,PCDHB11
Mylk/chr16:34784949-35002434,Mylk,chr16,34784949,35002434,0.006341229,-0.152781442,107589,3q21,4638,MYLK
Plk3/chr4:117128654-117133952,Plk3,chr4,117128654,117133952,0.006369202,0.269315427,12795,1p34.1,1263,PLK3
Hs3st3a1/chr11:64435331-64522835,Hs3st3a1,chr11,64435331,64522835,0.006424544,-0.233909307,15478,17p12,9955,HS3ST3A1
