GeneInfo,GeneID,Chr,Start,Stop,permutedPval_Reciprocal,NaturalLogBeta_Reciprocal
C9orf69/chr9:139006426-139010731,C9orf69,chr9,139006426,139010731,0.000679,0.147357607
HIST1H4C/chr6:26104175-26104565,HIST1H4C,chr6,26104175,26104565,0.00072,-0.355991422
LOC339166/chr17:5675553-5834016,LOC339166,chr17,5675553,5834016,0.00096,-0.516174304
UMODL1/chr21:43483067-43563105,UMODL1,chr21,43483067,43563105,0.00099,-0.842286489
C16orf54/chr16:29753785-29757340,C16orf54,chr16,29753785,29757340,0.00106,0.522712511
LOC440354/chr16:29538928-30317244,LOC440354,chr16,29538928,30317244,0.00122,0.13680184
FSCN2/chr17:79495416-79504156,FSCN2,chr17,79495416,79504156,0.0013,-0.267810206
PMFBP1/chr16:72152995-72206349,PMFBP1,chr16,72152995,72206349,0.00152,-0.400526443
LOC595101/chr16:30278913-30346695,LOC595101,chr16,30278913,30346695,0.00157,0.13153461
PCNX/chr14:71374121-71582099,PCNX,chr14,71374121,71582099,0.0016,0.157714559
C2orf76/chr2:120060019-120124258,C2orf76,chr2,120060019,120124258,0.00163,-0.123875027
TNNI2/chr11:1860232-1862910,TNNI2,chr11,1860232,1862910,0.00175,-0.436776292
SMURF2/chr17:62540734-62658386,SMURF2,chr17,62540734,62658386,0.00175,0.097522434
CYB5RL/chr1:54638026-54665746,CYB5RL,chr1,54638026,54665746,0.00185,0.185433796
CORIN/chr4:47596017-47840059,CORIN,chr4,47596017,47840059,0.00188,-0.509902067
MTSS1/chr8:125563027-125740730,MTSS1,chr8,125563027,125740730,0.0021,-0.640519864
EIF3CL/chr16:28390899-28747053,EIF3CL,chr16,28390899,28747053,0.00222,0.205843591
METRNL/chr17:81037566-81052591,METRNL,chr17,81037566,81052591,0.00225,-0.533993067
CCDC22/chrX:49091926-49106987,CCDC22,chrX,49091926,49106987,0.00229,0.05837444
HIST1H2AK/chr6:27805657-27806117,HIST1H2AK,chr6,27805657,27806117,0.00232,-0.307286907
CHIT1/chr1:203185206-203198860,CHIT1,chr1,203185206,203198860,0.00234,-0.49345898
EIF3C/chr16:28390902-28747050,EIF3C,chr16,28390902,28747050,0.00239,0.205687571
HIST1H3A/chr6:26020717-26021186,HIST1H3A,chr6,26020717,26021186,0.00245,-0.335125233
CDKN2B-AS1/chr9:21994789-22121093,CDKN2B-AS1,chr9,21994789,22121093,0.00254,-0.418499657
SAP30L/chr5:153825516-153840613,SAP30L,chr5,153825516,153840613,0.00256,0.099126828
TMEM110/chr3:52870771-52931597,TMEM110,chr3,52870771,52931597,0.00259,0.176119152
ACOXL/chr2:111490149-111875799,ACOXL,chr2,111490149,111875799,0.0027,-0.487419329
PTPN7/chr1:202116140-202130716,PTPN7,chr1,202116140,202130716,0.00278,0.119354208
RHBDL1/chr16:726074-728267,RHBDL1,chr16,726074,728267,0.00293,-0.361231202
SCARNA9/chr11:93454679-93455032,SCARNA9,chr11,93454679,93455032,0.003,-0.185245368
WDR41/chr5:76728068-76788332,WDR41,chr5,76728068,76788332,0.003,0.162022848
IKBKAP/chr9:111629799-111696608,IKBKAP,chr9,111629799,111696608,0.00305,0.11223034
ZNF575/chr19:44037339-44040284,ZNF575,chr19,44037339,44040284,0.00311,-0.248531929
PPP2R4/chr9:131873227-131911225,PPP2R4,chr9,131873227,131911225,0.00316,0.13944047
ABCA1/chr9:107543283-107690527,ABCA1,chr9,107543283,107690527,0.0033,-0.639035582
SLC25A15/chr13:41363546-41386596,SLC25A15,chr13,41363546,41386596,0.0039,0.198873093
RPL31P11/chr1:161653494-161655042,RPL31P11,chr1,161653494,161655042,0.0041,-0.324237135
TMEM80/chr11:695615-704129,TMEM80,chr11,695615,704129,0.0043,-0.187991924
RHOD/chr11:66824288-66839488,RHOD,chr11,66824288,66839488,0.0043,-0.895619258
LUZP1/chr1:23410515-23495351,LUZP1,chr1,23410515,23495351,0.005,0.200046515
FAM86A/chr16:5134300-5147789,FAM86A,chr16,5134300,5147789,0.0053,0.194769831
PTRF/chr17:40554466-40575338,PTRF,chr17,40554466,40575338,0.0053,-0.457844197
C1orf127/chr1:11006529-11042094,C1orf127,chr1,11006529,11042094,0.0056,-0.629510978
C10orf47/chr10:11865396-11914276,C10orf47,chr10,11865396,11914276,0.0057,-0.768036808
SHF/chr15:45459411-45493373,SHF,chr15,45459411,45493373,0.0057,-0.412038444
SLC20A2/chr8:42273992-42397068,SLC20A2,chr8,42273992,42397068,0.0057,0.125945217
CNKSR1/chr1:26503980-26516375,CNKSR1,chr1,26503980,26516375,0.0059,-0.521889659
LRG1/chr19:4537226-4540036,LRG1,chr19,4537226,4540036,0.0059,-0.553878474
SETBP1/chr18:42260137-42648475,SETBP1,chr18,42260137,42648475,0.006,-0.606244468
HCN2/chr19:589892-617159,HCN2,chr19,589892,617159,0.006,-0.475326418
MLL/chr11:118307204-118397539,MLL,chr11,118307204,118397539,0.0061,0.142356683
TRIB2/chr2:12856997-12882858,TRIB2,chr2,12856997,12882858,0.0062,-0.868677035
INTS10/chr8:19674917-19709586,INTS10,chr8,19674917,19709586,0.0062,0.103600099
PIK3R4/chr3:130397777-130465696,PIK3R4,chr3,130397777,130465696,0.0066,0.142806537
USP17/chr4:9217130-9366447,USP17,chr4,9217130,9366447,0.0066,-0.926997691
LOC728373/chr4:9326890-9366447,LOC728373,chr4,9326890,9366447,0.0066,-0.849389332
FRYL/chr4:48499379-48782316,FRYL,chr4,48499379,48782316,0.0067,0.110017725
SFN/chr1:27189632-27190947,SFN,chr1,27189632,27190947,0.0068,-0.658768566
CRABP2/chr1:156669399-156675608,CRABP2,chr1,156669399,156675608,0.0068,-0.41858969
MLEC/chr12:121124948-121139667,MLEC,chr12,121124948,121139667,0.0069,0.174439985
LOC728393/chr4:9326890-9366447,LOC728393,chr4,9326890,9366447,0.0069,-0.849389332
LOC728369/chr4:9326890-9366447,LOC728369,chr4,9326890,9366447,0.0069,-0.849389332
MYL9/chr20:35169886-35178226,MYL9,chr20,35169886,35178226,0.007,-0.559438245
LOC728405/chr4:9326890-9366447,LOC728405,chr4,9326890,9366447,0.007,-0.849389332
SCARNA9L/chrX:20154183-20154531,SCARNA9L,chrX,20154183,20154531,0.007,-0.297811078
CHD5/chr1:6161846-6240194,CHD5,chr1,6161846,6240194,0.0071,-0.282257407
RHOT1/chr17:30469472-30552746,RHOT1,chr17,30469472,30552746,0.0071,0.110886222
LOC728400/chr4:9326890-9366447,LOC728400,chr4,9326890,9366447,0.0072,-0.849389332
USP17L5/chr4:9326890-9366447,USP17L5,chr4,9326890,9366447,0.0073,-0.849389332
HNRNPUL2-BSCL2/chr11:62457733-62494856,HNRNPUL2-BSCL2,chr11,62457733,62494856,0.0074,0.088354869
MYO7B/chr2:128293377-128395303,MYO7B,chr2,128293377,128395303,0.0074,-0.610125632
BANP/chr16:87985037-88110924,BANP,chr16,87985037,88110924,0.0079,0.097716781
LOC728379/chr4:9326890-9366447,LOC728379,chr4,9326890,9366447,0.008,-0.849389332
SLX1B/chr16:29465821-30208887,SLX1B,chr16,29465821,30208887,0.0084,0.173499534
CDS2/chr20:5107406-5178533,CDS2,chr20,5107406,5178533,0.0084,0.093885633
XPO5/chr6:43490067-43543812,XPO5,chr6,43490067,43543812,0.0085,0.144455612
ERICH1/chr8:614199-681226,ERICH1,chr8,614199,681226,0.0085,-0.085651058
HDAC4/chr2:239969863-240322643,HDAC4,chr2,239969863,240322643,0.0086,0.159955124
ASCC3/chr6:100956607-101329224,ASCC3,chr6,100956607,101329224,0.0086,0.191638847
PDE1B/chr12:54943176-54973023,PDE1B,chr12,54943176,54973023,0.0087,-0.291801944
NT5C3L/chr17:39981333-39992523,NT5C3L,chr17,39981333,39992523,0.0087,-0.208380587
LOC284408/chr19:37288451-37319013,LOC284408,chr19,37288451,37319013,0.0087,-0.180450656
IFRD2/chr3:50325162-50330026,IFRD2,chr3,50325162,50330026,0.0088,0.136839448
HIST1H2AG/chr6:27100816-27101314,HIST1H2AG,chr6,27100816,27101314,0.0088,-0.261009201
C9orf103/chr9:86238032-86259045,C9orf103,chr9,86238032,86259045,0.0088,-0.13815406
RAB7L1/chr1:205737113-205744610,RAB7L1,chr1,205737113,205744610,0.0089,0.270310747
NAPSB/chr19:50837056-50848005,NAPSB,chr19,50837056,50848005,0.009,-0.527998011
FLJ43663/chr7:130628918-130793562,FLJ43663,chr7,130628918,130793562,0.009,-0.192856694
RAB39A/chr11:107799276-107834208,RAB39A,chr11,107799276,107834208,0.0091,0.448505261
GDPD3/chr16:30116130-30124878,GDPD3,chr16,30116130,30124878,0.0092,0.369108709
C21orf7/chr21:30452872-30548202,C21orf7,chr21,30452872,30548202,0.0093,-0.519569458
HIST1H3I/chr6:27839622-27840099,HIST1H3I,chr6,27839622,27840099,0.0093,-0.327127379
ATP1A3/chr19:42470733-42498428,ATP1A3,chr19,42470733,42498428,0.0094,-0.595039649
ZNF497/chr19:58865722-58874214,ZNF497,chr19,58865722,58874214,0.0096,0.229777061
HIST1H1E/chr6:26156558-26157343,HIST1H1E,chr6,26156558,26157343,0.0096,-0.358912135
UBQLN4/chr1:156005091-156023516,UBQLN4,chr1,156005091,156023516,0.0097,0.126493734
HERC2P7/chr15:23390721-23393943,HERC2P7,chr15,23390721,23393943,0.0098,-0.452073162
XPR1/chr1:180601145-180859415,XPR1,chr1,180601145,180859415,0.0099,0.126650501
SLX1A/chr16:29465821-30208887,SLX1A,chr16,29465821,30208887,0.01,0.173499534
IZUMO4/chr19:2096867-2099583,IZUMO4,chr19,2096867,2099583,0.0101,-0.223330145
SLC35D1/chr1:67465014-67520080,SLC35D1,chr1,67465014,67520080,0.0105,0.15367512
KL/chr13:33590570-33640282,KL,chr13,33590570,33640282,0.0105,0.553340936
ADAMTS17/chr15:100511642-100882183,ADAMTS17,chr15,100511642,100882183,0.0105,-0.363668905
C6orf228/chr6:11094265-11138969,C6orf228,chr6,11094265,11138969,0.0105,0.073527333
PRDM10/chr11:129769600-129872730,PRDM10,chr11,129769600,129872730,0.0106,0.133312124
TRIM47/chr17:73870244-73874656,TRIM47,chr17,73870244,73874656,0.0106,0.588217694
EFR3B/chr2:25264972-25382004,EFR3B,chr2,25264972,25382004,0.0106,-0.803616347
LOC100132273/chr22:42486936-42521354,LOC100132273,chr22,42486936,42521354,0.0106,0.100739841
NUP62/chr19:50410083-50432799,NUP62,chr19,50410083,50432799,0.0107,0.096308282
SPTBN4/chr19:40973125-41082365,SPTBN4,chr19,40973125,41082365,0.011,-0.346050549
APOL4/chr22:36585175-36600879,APOL4,chr22,36585175,36600879,0.011,-0.253015873
ALDH7A1/chr5:125877532-125931082,ALDH7A1,chr5,125877532,125931082,0.0112,-0.406268948
SPNS1/chr16:28986095-28995869,SPNS1,chr16,28986095,28995869,0.011546185,0.110591966
SLC12A2/chr5:127419482-127525380,SLC12A2,chr5,127419482,127525380,0.0117,0.234612415
GFRA1/chr10:117816441-118033126,GFRA1,chr10,117816441,118033126,0.0118,0.204455049
FAM48B1/chrX:24380877-24383541,FAM48B1,chrX,24380877,24383541,0.0118,-0.648842574
ZC3H10/chr12:56512029-56516278,ZC3H10,chr12,56512029,56516278,0.011957395,0.144745687
FBXL16/chr16:742499-755825,FBXL16,chr16,742499,755825,0.012,-0.43804649
BAIAP2/chr17:79008946-79091232,BAIAP2,chr17,79008946,79091232,0.012,-0.416486043
TMEM110-MUSTN1/chr3:52867130-52931597,TMEM110-MUSTN1,chr3,52867130,52931597,0.0121,0.175236454
MPHOSPH6/chr16:82181766-82203829,MPHOSPH6,chr16,82181766,82203829,0.012124248,-0.162056696
SLC37A1/chr21:43919741-44001550,SLC37A1,chr21,43919741,44001550,0.0122,-0.151010912
PDZD7/chr10:102767439-102790914,PDZD7,chr10,102767439,102790914,0.0123,-0.439814739
GCLC/chr6:53362139-53409927,GCLC,chr6,53362139,53409927,0.0123,0.135316731
RAI1/chr17:17584786-17714765,RAI1,chr17,17584786,17714765,0.012487412,0.136922893
PTPLA/chr10:17631957-17659373,PTPLA,chr10,17631957,17659373,0.0125,0.65368178
CBX4/chr17:77806954-77813213,CBX4,chr17,77806954,77813213,0.0125,-0.130352888
RNF20/chr9:104296132-104325626,RNF20,chr9,104296132,104325626,0.0125,0.115561381
IL18/chr11:112013973-112034840,IL18,chr11,112013973,112034840,0.01277666,-0.645891969
LRRC70/chr5:61874561-61877275,LRRC70,chr5,61874561,61877275,0.0128,-0.294613258
C22orf34/chr22:50013289-50051190,C22orf34,chr22,50013289,50051190,0.012903871,0.373605371
LINC00264/chr10:26878793-26883251,LINC00264,chr10,26878793,26883251,0.012938816,-0.465179014
SLC22A18/chr11:2920950-2946476,SLC22A18,chr11,2920950,2946476,0.013,-0.18187947
SIK2/chr11:111473169-111597632,SIK2,chr11,111473169,111597632,0.013060646,0.137613576
DCHS1/chr11:6642557-6677074,DCHS1,chr11,6642557,6677074,0.0131,-0.391537775
CXorf57/chrX:105855159-105922673,CXorf57,chrX,105855159,105922673,0.0131,0.428697778
EDA2R/chrX:65815481-65859140,EDA2R,chrX,65815481,65859140,0.013126253,0.196622091
PTPRB/chr12:70910631-71031220,PTPRB,chr12,70910631,71031220,0.0133,-0.22941433
KIAA1467/chr12:13197314-13236383,KIAA1467,chr12,13197314,13236383,0.0135,0.303465071
PPM1N/chr19:46001730-46005764,PPM1N,chr19,46001730,46005764,0.01352306,-0.354657435
OR4F16/chr1:367658-180795226,OR4F16,chr1,367658,180795226,0.0136,0.170296882
TBC1D4/chr13:75858808-76056250,TBC1D4,chr13,75858808,76056250,0.0137,0.420156653
SRSF5/chr14:70233828-70238722,SRSF5,chr14,70233828,70238722,0.0137,-0.075968554
HIST1H1D/chr6:26234439-26235216,HIST1H1D,chr6,26234439,26235216,0.0137,-0.409287671
C2CD3/chr11:73745479-73882064,C2CD3,chr11,73745479,73882064,0.013744315,0.182607679
MMP25/chr16:3096681-3110724,MMP25,chr16,3096681,3110724,0.0139,-0.391412123
ITGB3/chr17:45331207-45390077,ITGB3,chr17,45331207,45390077,0.013918094,0.464178216
NHLH1/chr1:160336860-160342638,NHLH1,chr1,160336860,160342638,0.014,-0.27644197
UCK2/chr1:165796731-165880855,UCK2,chr1,165796731,165880855,0.014,0.114613814
CTF1/chr16:30907927-30914881,CTF1,chr16,30907927,30914881,0.014,-0.289527731
MYLK3/chr16:46736193-46782221,MYLK3,chr16,46736193,46782221,0.014,-0.210726171
OR4F3/chr1:367658-180795226,OR4F3,chr1,367658,180795226,0.0142,0.170296882
SRRD/chr22:26879849-26887904,SRRD,chr22,26879849,26887904,0.014202256,0.08337589
PANK4/chr1:2439974-2458035,PANK4,chr1,2439974,2458035,0.014284277,0.090283418
YPEL3/chr16:30103634-30107537,YPEL3,chr16,30103634,30107537,0.01430469,0.321329034
HIST2H2AB/chr1:149859018-149859466,HIST2H2AB,chr1,149859018,149859466,0.0144,-0.336267674
CCDC93/chr2:118673053-118771739,CCDC93,chr2,118673053,118771739,0.0145,0.140127608
TAF1L/chr9:32629451-32635667,TAF1L,chr9,32629451,32635667,0.0145,0.203278029
DENND1A/chr9:126141932-126692417,DENND1A,chr9,126141932,126692417,0.0145,0.165664258
BAI1/chr8:143545376-143626368,BAI1,chr8,143545376,143626368,0.014511609,-0.363907357
PRRT2/chr16:29823408-29827202,PRRT2,chr16,29823408,29827202,0.014756073,0.514676146
LOC100506866/chr2:179387553-179484944,LOC100506866,chr2,179387553,179484944,0.014767932,-0.455578595
TTC7B/chr14:91006931-91282761,TTC7B,chr14,91006931,91282761,0.014929921,0.543950673
OR4F29/chr1:367658-180795226,OR4F29,chr1,367658,180795226,0.015,0.170296882
USP13/chr3:179370932-179507189,USP13,chr3,179370932,179507189,0.015,0.152426842
MARCH1/chr4:164445449-165304407,28-Feb,chr4,164445449,165304407,0.015,-0.555571463
APOM/chr6:2905765-31625987,APOM,chr6,2905765,31625987,0.015,-0.155969783
IMPDH1/chr7:128032330-128050036,IMPDH1,chr7,128032330,128050036,0.015,0.128698932
SEPT5/chr22:19701986-19710845,4-Sep,chr22,19701986,19710845,0.0153,-0.387132571
MAFA/chr8:144510229-144512602,MAFA,chr8,144510229,144512602,0.015386173,-0.493798237
MYH7B/chr20:33543703-33590240,MYH7B,chr20,33543703,33590240,0.0154,-0.27251511
C12orf61/chr12:62995530-62997214,C12orf61,chr12,62995530,62997214,0.0155,-0.275597502
MKL2/chr16:14165195-14360630,MKL2,chr16,14165195,14360630,0.015703644,0.129762153
ACACB/chr12:109577201-109706030,ACACB,chr12,109577201,109706030,0.01572516,-0.512512396
SEPT5-GP1BB/chr22:19704742-19712297,SEPT5-GP1BB,chr22,19704742,19712297,0.015804741,-0.398535087
SLC16A14/chr2:230899689-230933715,SLC16A14,chr2,230899689,230933715,0.015850291,-0.525750604
NEK5/chr13:52638899-52703214,NEK5,chr13,52638899,52703214,0.0159,-0.187976177
MBOAT7/chr19:54677105-54693733,MBOAT7,chr19,54677105,54693733,0.015982897,0.106865676
ATP5S/chr14:50779046-50792946,ATP5S,chr14,50779046,50792946,0.01599115,-0.08757742
MACF1/chr1:39547088-39952810,MACF1,chr1,39547088,39952810,0.016,0.118474304
GPR133/chr12:131438451-131626008,GPR133,chr12,131438451,131626008,0.016,-0.462152596
KIAA1244/chr6:138483052-138665800,KIAA1244,chr6,138483052,138665800,0.016,-0.28928495
BIK/chr22:43506753-43525718,BIK,chr22,43506753,43525718,0.016007341,-0.573464081
B3GALTL/chr13:31774111-31906411,B3GALTL,chr13,31774111,31906411,0.0161,0.428784372
DTX4/chr11:58939811-58976060,DTX4,chr11,58939811,58976060,0.016274675,0.442081315
GTDC1/chr2:144703580-145090083,GTDC1,chr2,144703580,145090083,0.016308923,-0.099068436
KHDC1/chr6:73951037-74019938,KHDC1,chr6,73951037,74019938,0.016435021,0.179313147
ELFN1/chr7:1748797-1787590,ELFN1,chr7,1748797,1787590,0.016530612,-0.756618305
GAS2L3/chr12:100967488-101018685,GAS2L3,chr12,100967488,101018685,0.016793121,0.271794094
MEGF8/chr19:42829760-42882921,MEGF8,chr19,42829760,42882921,0.016942356,0.097718675
NSMCE4A/chr10:123716602-123734743,NSMCE4A,chr10,123716602,123734743,0.01695781,0.083184198
LOC284009/chr17:2310274-2318730,LOC284009,chr17,2310274,2318730,0.017,-0.311505066
DPH3P1/chr20:61476475-61477543,DPH3P1,chr20,61476475,61477543,0.017,-0.208972722
GEMIN5/chr5:154266975-154317776,GEMIN5,chr5,154266975,154317776,0.017,0.149321626
HIST1H2AM/chr6:27860476-27860963,HIST1H2AM,chr6,27860476,27860963,0.017,-0.174283869
RCOR2/chr11:63678692-63684316,RCOR2,chr11,63678692,63684316,0.017032393,0.506112821
ATP8B2/chr1:154298035-154323780,ATP8B2,chr1,154298035,154323780,0.017114163,0.177130504
TRIP4/chr15:64680002-64747502,TRIP4,chr15,64680002,64747502,0.017133009,-0.09419519
MALAT1/chr11:65265232-65273939,MALAT1,chr11,65265232,65273939,0.017358258,-0.2217329
AKAP7/chr6:131456825-131604675,AKAP7,chr6,131456825,131604675,0.017398509,0.463944513
PTRHD1/chr2:25013135-25016251,PTRHD1,chr2,25013135,25016251,0.017457663,-0.085039044
ANAPC16/chr10:73975757-73995618,ANAPC16,chr10,73975757,73995618,0.017723314,-0.067788038
WDR65/chr1:43638000-43720029,WDR65,chr1,43638000,43720029,0.017744111,-0.430334064
SPTLC2/chr14:77972339-78083110,SPTLC2,chr14,77972339,78083110,0.017758726,0.139290107
C22orf32/chr22:42475694-42480288,C22orf32,chr22,42475694,42480288,0.017839043,-0.133143536
TSIX/chrX:73012039-73049066,TSIX,chrX,73012039,73049066,0.017871649,-0.227941166
SBF1/chr22:50883430-50913464,SBF1,chr22,50883430,50913464,0.017887997,0.080939664
MYCL1/chr1:40361095-40367687,MYCL1,chr1,40361095,40367687,0.018,-0.33391377
GPR52/chr1:174417211-174418683,GPR52,chr1,174417211,174418683,0.018,-0.333682651
FADS3/chr11:61640997-61659006,FADS3,chr11,61640997,61659006,0.018,-0.256780452
GIGYF2/chr2:233562014-233725289,GIGYF2,chr2,233562014,233725289,0.018,0.08385691
GPR63/chr6:97241997-97285353,GPR63,chr6,97241997,97285353,0.018,0.291161871
ZNF800/chr7:127010353-127032767,ZNF800,chr7,127010353,127032767,0.018,-0.072861422
CNKSR2/chrX:21392535-21672813,CNKSR2,chrX,21392535,21672813,0.018,0.761294925
LOC255512/chr11:1330937-1331937,LOC255512,chr11,1330937,1331937,0.018174265,-0.354745468
C20orf30/chr20:5080483-5093733,C20orf30,chr20,5080483,5093733,0.018187423,-0.068217981
TEKT5/chr16:10721360-10788802,TEKT5,chr16,10721360,10788802,0.018287699,-0.5232392
PPP5C/chr19:46850250-46894232,PPP5C,chr19,46850250,46894232,0.018310007,0.113756005
MBLAC1/chr7:99724319-99726121,MBLAC1,chr7,99724319,99726121,0.01843174,-0.192173137
ATP2A1/chr16:28889808-28915830,ATP2A1,chr16,28889808,28915830,0.019,-0.143946164
FOSB/chr19:45971252-45978437,FOSB,chr19,45971252,45978437,0.019,-0.341596286
HIST1H2AJ/chr6:27782079-27782518,HIST1H2AJ,chr6,27782079,27782518,0.019,-0.266127892
BLK/chr8:11351520-11422108,BLK,chr8,11351520,11422108,0.019,-0.389143391
KIAA1797/chr9:20658308-20995954,KIAA1797,chr9,20658308,20995954,0.019,0.168697898
CCT6B/chr17:33254877-33288528,CCT6B,chr17,33254877,33288528,0.019081633,-0.218105414
PIGU/chr20:33148345-33265089,PIGU,chr20,33148345,33265089,0.019555744,0.098937152
MATN1/chr1:31184123-31196432,MATN1,chr1,31184123,31196432,0.02,-0.211191806
ATPAF1/chr1:47100710-47134099,ATPAF1,chr1,47100710,47134099,0.02,0.081020845
GSTM3/chr1:110276553-110283660,GSTM3,chr1,110276553,110283660,0.02,-0.437808882
SART3/chr12:108915990-108955165,SART3,chr12,108915990,108955165,0.02,0.095240023
STRA6/chr15:74471807-74502046,STRA6,chr15,74471807,74502046,0.02,-0.508205192
CALCRL/chr2:188207848-188313021,CALCRL,chr2,188207848,188313021,0.02,0.242933683
KANSL1L/chr2:210885434-211036051,KANSL1L,chr2,210885434,211036051,0.021021021,0.222485147
ARHGAP24/chr4:86396283-86923823,ARHGAP24,chr4,86396283,86923823,0.02106319,0.738582085
CALD1/chr7:134464163-134655480,CALD1,chr7,134464163,134655480,0.021169355,0.741661934
C3orf70/chr3:184795837-184870802,C3orf70,chr3,184795837,184870802,0.021428571,-0.253273581
MDGA1/chr6:37600283-37665766,MDGA1,chr6,37600283,37665766,0.021428571,-1.240576553
POLA2/chr11:65029431-65065088,POLA2,chr11,65029431,65065088,0.02145046,0.146767275
NEDD9/chr6:11183530-11382581,NEDD9,chr6,11183530,11382581,0.021494371,0.264572644
PYROXD1/chr12:21590537-21624182,PYROXD1,chr12,21590537,21624182,0.021627188,-0.115486833
SERTAD2/chr2:64858754-64881046,SERTAD2,chr2,64858754,64881046,0.021649485,0.093773008
PION/chr7:76940067-77045717,PION,chr7,76940067,77045717,0.021649485,-0.282250066
MIER2/chr19:305574-344791,MIER2,chr19,305574,344791,0.021852237,-0.139335772
UBQLNL/chr11:5535622-5537956,UBQLNL,chr11,5535622,5537956,0.021875,-0.329256345
KLF12/chr13:74260148-74708066,KLF12,chr13,74260148,74708066,0.022198732,0.234412427
SERPINB6/chr6:2948392-2972399,SERPINB6,chr6,2948392,2972399,0.022198732,-0.459811758
ANP32A-IT1/chr15:69096159-69099440,ANP32A-IT1,chr15,69096159,69099440,0.022245763,-0.19904141
TMEM194B/chr2:191371618-191399468,TMEM194B,chr2,191371618,191399468,0.022292994,0.146183037
PARK2/chr6:161768589-163148834,PARK2,chr6,161768589,163148834,0.02238806,-0.240547303
EMP2/chr16:10622278-10674539,EMP2,chr16,10622278,10674539,0.022508039,-0.21055365
SFI1/chr22:31892260-32014534,SFI1,chr22,31892260,32014534,0.022653722,-0.178290777
CCDC110/chr4:186366337-186392913,CCDC110,chr4,186366337,186392913,0.022678186,-0.597012447
AHDC1/chr1:27860755-27930143,AHDC1,chr1,27860755,27930143,0.022702703,0.169835271
MED10/chr5:6372038-6378639,MED10,chr5,6372038,6378639,0.022702703,-0.085077115
SFMBT1/chr3:52937582-53080089,SFMBT1,chr3,52937582,53080089,0.022751896,0.169046562
SLC2A1/chr1:43391045-43424847,SLC2A1,chr1,43391045,43424847,0.022776573,0.167317198
LOC100287042/chr17:73267379-73269976,LOC100287042,chr17,73267379,73269976,0.022776573,0.11377896
SENP1/chr12:48436756-48499641,SENP1,chr12,48436756,48499641,0.022826087,0.139645777
ERAP2/chr5:96211643-96255406,ERAP2,chr5,96211643,96255406,0.022875817,0.450900825
HIST1H3J/chr6:27858092-27858570,HIST1H3J,chr6,27858092,27858570,0.023127753,-0.299078095
PTPRO/chr12:15475190-15751265,PTPRO,chr12,15475190,15751265,0.023178808,-0.368544291
LOC147646/chr19:51891542-51893828,LOC147646,chr19,51891542,51893828,0.023178808,-0.468277691
RALGAPB/chr20:37101485-37207504,RALGAPB,chr20,37101485,37207504,0.023359288,0.102000167
RAB1B/chr11:66036055-66044963,RAB1B,chr11,66036055,66044963,0.023489933,0.057460425
ULK4/chr3:41288089-42003660,ULK4,chr3,41288089,42003660,0.023648649,0.194614072
C21orf56/chr21:47581061-47604373,C21orf56,chr21,47581061,47604373,0.023755656,-0.461903677
UGT2B15/chr4:224913-69536494,UGT2B15,chr4,224913,69536494,0.023755656,0.641816315
