GeneInfo,GeneID,Chr,Start,Stop,permPval_Del,FoldChange
ZNF519/chr18:14075988-14132489,ZNF519,chr18,14075988,14132489,0.00284,0.724296426
AARS2/chr6:44266462-44281063,AARS2,chr6,44266462,44281063,0.00293,0.822677605
DPAGT1/chr11:118967212-118972785,DPAGT1,chr11,118967212,118972785,0.00301,0.733407918
HERC2P2/chr15:23282264-23378259,HERC2P2,chr15,23282264,23378259,0.00303,0.673381257
DAZAP1/chr19:1407583-1435682,DAZAP1,chr19,1407583,1435682,0.00303,0.832350375
ANAPC4/chr4:25378847-25420120,ANAPC4,chr4,25378847,25420120,0.00308,0.734727744
YTHDC2/chr5:112849390-112930984,YTHDC2,chr5,112849390,112930984,0.00316,0.794965487
TPP2/chr13:103249285-103331523,TPP2,chr13,103249285,103331523,0.00325,0.721407697
RGS10/chr10:121259338-121302222,RGS10,chr10,121259338,121302222,0.00329,1.431989476
IFT80/chr3:159974773-160117320,IFT80,chr3,159974773,160117320,0.00331,0.681746499
MVP/chr16:29831714-29859360,MVP,chr16,29831714,29859360,0.00336,0.640450058
FBXL15/chr10:104179570-104182893,FBXL15,chr10,104179570,104182893,0.003439,1.353567985
PRIM2/chr6:57182421-57513376,PRIM2,chr6,57182421,57513376,0.00363,0.763710735
ZNF638/chr2:71558884-71662191,ZNF638,chr2,71558884,71662191,0.00364,0.767672824
ASUN/chr12:27058111-27091254,ASUN,chr12,27058111,27091254,0.0037,0.768756947
KIF18B/chr17:43003447-43025082,KIF18B,chr17,43003447,43025082,0.00371,0.721217836
PTPN7/chr1:202116140-202130716,PTPN7,chr1,202116140,202130716,0.00372,0.792914847
TONSL/chr8:145654162-145669812,TONSL,chr8,145654162,145669812,0.00373,0.677880521
HMGN2P46/chr15:45803333-45848928,HMGN2P46,chr15,45803333,45848928,0.00376,0.584902371
HERC2/chr15:28356187-28567295,HERC2,chr15,28356187,28567295,0.00377,0.771586927
LOC606724/chr16:29460665-30200575,LOC606724,chr16,29460665,30200575,0.00378,0.617880418
FMR1/chrX:146993468-147032647,FMR1,chrX,146993468,147032647,0.0038,0.729928516
SKA3/chr13:21727733-21750741,SKA3,chr13,21727733,21750741,0.0039,0.660777129
LYRM7/chr5:130506640-130541119,LYRM7,chr5,130506640,130541119,0.00393,0.695123525
WNT4/chr1:22443797-22469519,WNT4,chr1,22443797,22469519,0.00407,3.145616104
HSPB11/chr1:54387233-54411288,HSPB11,chr1,54387233,54411288,0.0041,0.754032899
RBM26/chr13:79894099-79979923,RBM26,chr13,79894099,79979923,0.0041,0.788246561
CABLES2/chr20:60963685-60982339,CABLES2,chr20,60963685,60982339,0.0041,0.779356953
R3HDM1/chr2:136289082-136482839,R3HDM1,chr2,136289082,136482839,0.00417,0.782998666
POLE2/chr14:50110269-50155098,POLE2,chr14,50110269,50155098,0.0043,0.701184297
TAF15/chr17:34136487-34174238,TAF15,chr17,34136487,34174238,0.0043,0.833754032
C10orf137/chr10:127408083-127452712,C10orf137,chr10,127408083,127452712,0.00431,0.670879899
CHORDC1/chr11:89933596-89956532,CHORDC1,chr11,89933596,89956532,0.00432,0.63091975
LOC100288637/chr15:30938317-31065209,LOC100288637,chr15,30938317,31065209,0.00432,0.683974461
ZNHIT6/chr1:86115105-86174116,ZNHIT6,chr1,86115105,86174116,0.00437,0.810393957
CCDC66/chr3:56591183-56655848,CCDC66,chr3,56591183,56655848,0.0045,0.787919586
KIF20A/chr5:137514416-137523404,KIF20A,chr5,137514416,137523404,0.00453,0.706426949
FRYL/chr4:48499379-48782316,FRYL,chr4,48499379,48782316,0.004544,0.758396395
NCAPG/chr4:17812524-17846487,NCAPG,chr4,17812524,17846487,0.0046,0.711003233
NSL1/chr1:212899494-212965139,NSL1,chr1,212899494,212965139,0.0048,0.809310873
DIS3L/chr15:66585632-66626236,DIS3L,chr15,66585632,66626236,0.00484,0.773141346
SUGP2/chr19:19101696-19144380,SUGP2,chr19,19101696,19144380,0.00487,0.814047772
SLC25A26/chr3:66119284-66429351,SLC25A26,chr3,66119284,66429351,0.0049,1.187094349
SGK494/chr17:26934981-26941211,SGK494,chr17,26934981,26941211,0.00501,0.634872058
VMA21/chrX:150565656-150577836,VMA21,chrX,150565656,150577836,0.00502,0.830312003
PRPF3/chr1:150293927-150325704,PRPF3,chr1,150293927,150325704,0.0051,0.81353744
KIF20B/chr10:91461366-91534700,KIF20B,chr10,91461366,91534700,0.0051,0.712136465
KLRAP1/chr12:10741076-10752434,KLRAP1,chr12,10741076,10752434,0.0051,0.717698633
ABHD10/chr3:111697827-111712210,ABHD10,chr3,111697827,111712210,0.0051,0.810016424
MUTYH/chr1:45794913-45806142,MUTYH,chr1,45794913,45806142,0.00511,0.783823699
G2E3/chr14:31028328-31089046,G2E3,chr14,31028328,31089046,0.00519,0.745453659
TERF1/chr8:73921096-73959987,TERF1,chr8,73921096,73959987,0.0052,0.846020084
LIMS3/chr2:110656008-111230652,LIMS3,chr2,110656008,111230652,0.0054,0.748668869
RMI1/chr9:86595636-86618987,RMI1,chr9,86595636,86618987,0.0054,0.653541078
ANP32E/chr1:150190716-150208504,ANP32E,chr1,150190716,150208504,0.0055,0.787255298
NKTR/chr3:42642146-42690233,NKTR,chr3,42642146,42690233,0.00557,0.724956564
ZWINT/chr10:58117198-58121034,ZWINT,chr10,58117198,58121034,0.0056,0.64541176
HNRNPL/chr19:39327027-39342979,HNRNPL,chr19,39327027,39342979,0.0056,0.854995095
CEP72/chr5:612404-653666,CEP72,chr5,612404,653666,0.0056,0.777083956
ZMYND11/chr10:180404-300577,ZMYND11,chr10,180404,300577,0.0057,0.747094631
CYB5RL/chr1:54638026-54665746,CYB5RL,chr1,54638026,54665746,0.00575,0.698058735
FAM178A/chr10:102672325-102724891,FAM178A,chr10,102672325,102724891,0.00579,0.768873964
OMG/chr17:29621667-29624380,OMG,chr17,29621667,29624380,0.0058,0.362307368
PTBP1/chr19:797391-812327,PTBP1,chr19,797391,812327,0.0058,0.832323652
UMODL1/chr21:43483067-43563105,UMODL1,chr21,43483067,43563105,0.0058,4.709627387
C6orf147/chr6:73983861-74020088,C6orf147,chr6,73983861,74020088,0.0059,0.568150726
ZNF738/chr19:21541734-21571384,ZNF738,chr19,21541734,21571384,0.00592,0.802881935
AGPAT4/chr6:161551056-161695107,AGPAT4,chr6,161551056,161695107,0.00597,1.636475353
EXO1/chr1:242011492-242053241,EXO1,chr1,242011492,242053241,0.006,0.642434448
CCDC41/chr12:94702055-94853764,CCDC41,chr12,94702055,94853764,0.006,0.717462217
PPP5C/chr19:46850250-46894232,PPP5C,chr19,46850250,46894232,0.006,0.807505669
LIMS3L/chr2:110656008-111230652,LIMS3L,chr2,110656008,111230652,0.006,0.748668869
CENPE/chr4:104026962-104119566,CENPE,chr4,104026962,104119566,0.006,0.689844924
GPR113/chr2:26531040-26569685,GPR113,chr2,26531040,26569685,0.0062,0.648870262
ZSCAN21/chr7:99647416-99662663,ZSCAN21,chr7,99647416,99662663,0.0062,1.234127869
RAD52/chr12:1021254-1058863,RAD52,chr12,1021254,1058863,0.00624,0.578855978
KIAA0528/chr12:22601517-22697452,KIAA0528,chr12,22601517,22697452,0.0063,0.750572654
TTI1/chr20:36611422-36661833,TTI1,chr20,36611422,36661833,0.00643,0.794249153
QTRTD1/chr3:113775610-113807268,QTRTD1,chr3,113775610,113807268,0.0066,0.797611067
C5/chr9:123714613-123812554,C5,chr9,123714613,123812554,0.0067,0.579433399
MLEC/chr12:121124948-121139667,MLEC,chr12,121124948,121139667,0.00673,0.711913569
GPN2/chr1:27205872-27216869,GPN2,chr1,27205872,27216869,0.0068,1.156365244
ZNF138/chr7:64254770-64294025,ZNF138,chr7,64254770,64294025,0.0069,0.824759176
PTPN22/chr1:114356432-114414375,PTPN22,chr1,114356432,114414375,0.007,0.735656754
HNRNPU/chr1:245013601-245027827,HNRNPU,chr1,245013601,245027827,0.007,0.811813693
TMEM120A/chr7:75616154-75623992,TMEM120A,chr7,75616154,75623992,0.00709,1.859183613
BRIP1/chr17:59756546-59940920,BRIP1,chr17,59756546,59940920,0.0071,0.780340522
AKT1/chr14:105235686-105262080,AKT1,chr14,105235686,105262080,0.0072,0.875510211
HIST1H2AK/chr6:27805657-27806117,HIST1H2AK,chr6,27805657,27806117,0.0072,1.677598546
CASP8AP2/chr6:90539618-90584155,CASP8AP2,chr6,90539618,90584155,0.0072,0.692777401
SMPD4/chr2:130908964-130940323,SMPD4,chr2,130908964,130940323,0.00722,0.803101581
INTS10/chr8:19674917-19709586,INTS10,chr8,19674917,19709586,0.00728,0.826163207
ZNF684/chr1:40997232-41013841,ZNF684,chr1,40997232,41013841,0.0073,0.78941303
PILRB/chr7:99933687-99965454,PILRB,chr7,99933687,99965454,0.00735,0.687299313
SKA2/chr17:57187307-57232800,SKA2,chr17,57187307,57232800,0.0074,0.825362101
ESCO2/chr8:27632057-27662424,ESCO2,chr8,27632057,27662424,0.0074,0.612813524
DPY19L2P2/chr7:102815461-102920759,DPY19L2P2,chr7,102815461,102920759,0.00744,0.645632874
ZDHHC13/chr11:19138691-19197967,ZDHHC13,chr11,19138691,19197967,0.0075,0.844472116
U2AF2/chr19:56165415-56186082,U2AF2,chr19,56165415,56186082,0.0075,0.826281411
FIGNL1/chr7:50511831-50518088,FIGNL1,chr7,50511831,50518088,0.0075,0.708593466
CCDC76/chr1:100598705-100616054,CCDC76,chr1,100598705,100616054,0.0076,0.754450688
E2F8/chr11:19245609-19263202,E2F8,chr11,19245609,19263202,0.0077,0.62847519
TTC14/chr3:180319917-180328918,TTC14,chr3,180319917,180328918,0.0077,0.809441284
RAD54L/chr1:46713366-46744145,RAD54L,chr1,46713366,46744145,0.0078,0.731767091
DRP2/chrX:100474932-100519485,DRP2,chrX,100474932,100519485,0.0078,0.449902896
TOP2A/chr17:38544772-38574202,TOP2A,chr17,38544772,38574202,0.00786,0.719335905
EIF4G3/chr1:21132784-21503381,EIF4G3,chr1,21132784,21503381,0.0079,0.769797153
ZWILCH/chr15:66797430-66841822,ZWILCH,chr15,66797430,66841822,0.0079,0.686205125
OR6S1/chr14:21108854-21109850,OR6S1,chr14,21108854,21109850,0.008,0.296285808
PIGF/chr2:46808412-46844251,PIGF,chr2,46808412,46844251,0.008,0.742687401
KRCC1/chr2:88326723-88355248,KRCC1,chr2,88326723,88355248,0.008,0.704237526
CDK5RAP2/chr9:123151146-123342437,CDK5RAP2,chr9,123151146,123342437,0.00805,0.837133416
C20orf94/chr20:10415950-10604027,C20orf94,chr20,10415950,10604027,0.0081,0.722560654
TCERG1/chr5:145826872-145891069,TCERG1,chr5,145826872,145891069,0.0081,0.809333847
MDN1/chr6:90353230-90529442,MDN1,chr6,90353230,90529442,0.0082,0.764365672
ALDH16A1/chr19:49956472-49974305,ALDH16A1,chr19,49956472,49974305,0.0083,0.719744592
CCDC150/chr2:197504355-197597530,CCDC150,chr2,197504355,197597530,0.0083,0.629241323
TRAK2/chr2:202241929-202316319,TRAK2,chr2,202241929,202316319,0.0083,0.756566093
SGOL1/chr3:20202084-20227698,SGOL1,chr3,20202084,20227698,0.0083,0.752312291
NFS1/chr20:34256609-34287287,NFS1,chr20,34256609,34287287,0.00841,0.893801595
MDC1/chr6:1960515-30685458,MDC1,chr6,1960515,30685458,0.00847,0.787759986
GXYLT1/chr12:42475647-42538673,GXYLT1,chr12,42475647,42538673,0.0085,0.767487333
GPD2/chr2:157291964-157442915,GPD2,chr2,157291964,157442915,0.0086,0.664412558
CEP290/chr12:88442789-88535993,CEP290,chr12,88442789,88535993,0.0088,0.695327438
PIPOX/chr17:27369917-27384236,PIPOX,chr17,27369917,27384236,0.0088,2.460398609
HNRPDL/chr4:83343716-83351378,HNRPDL,chr4,83343716,83351378,0.0088,0.824330514
HNRNPA1L2/chr13:53191604-53217919,HNRNPA1L2,chr13,53191604,53217919,0.0089,0.819847744
SPC25/chr2:169727400-169746944,SPC25,chr2,169727400,169746944,0.0089,0.815234734
TACC3/chr4:1723216-1746905,TACC3,chr4,1723216,1746905,0.0089,0.800492349
GTPBP3/chr19:17445790-17453540,GTPBP3,chr19,17445790,17453540,0.00896,0.787556635
ASTN2/chr9:119187503-120177317,ASTN2,chr9,119187503,120177317,0.00909,0.788446553
HNRNPA3P1/chr10:44282859-44285865,HNRNPA3P1,chr10,44282859,44285865,0.0091,0.701960864
RHOT1/chr17:30469472-30552746,RHOT1,chr17,30469472,30552746,0.0091,0.784619918
ZNF546/chr19:40502942-40523514,ZNF546,chr19,40502942,40523514,0.0091,0.674473216
MYSM1/chr1:59120410-59165747,MYSM1,chr1,59120410,59165747,0.0092,0.790427364
C19orf52/chr19:11039423-11040916,C19orf52,chr19,11039423,11040916,0.0092,1.167998044
ORC4/chr2:148687965-148779173,ORC4,chr2,148687965,148779173,0.0092,0.824260962
SEMA7A/chr15:74701629-74726299,SEMA7A,chr15,74701629,74726299,0.0093,1.486197624
MBNL3/chrX:131503342-131623996,MBNL3,chrX,131503342,131623996,0.0093,0.596303802
ANKFY1/chr17:4066664-4167274,ANKFY1,chr17,4066664,4167274,0.009369,0.77342043
LOC400236/chr14:89883697-89886137,LOC400236,chr14,89883697,89886137,0.0094,0.673376755
TRAF4/chr17:27071022-27077976,TRAF4,chr17,27071022,27077976,0.0094,1.365644542
ZNF497/chr19:58865722-58874214,ZNF497,chr19,58865722,58874214,0.0094,0.571709374
NUP50/chr22:45559725-45583890,NUP50,chr22,45559725,45583890,0.0096,0.811901211
CEP19/chr3:196433147-196439123,CEP19,chr3,196433147,196439123,0.0096,0.6720901
ELF2/chr4:139978870-140060606,ELF2,chr4,139978870,140060606,0.0096,0.802587599
DDX55/chr12:124086671-124105482,DDX55,chr12,124086671,124105482,0.0097,0.80324872
DNMT1/chr19:10244021-10305755,DNMT1,chr19,10244021,10305755,0.0097,0.763262118
HMMR/chr5:162887516-162918953,HMMR,chr5,162887516,162918953,0.0097,0.628262956
TMEM219/chr16:29973350-29984373,TMEM219,chr16,29973350,29984373,0.0098,0.736125801
EME1/chr17:48450580-48458820,EME1,chr17,48450580,48458820,0.0098,0.729690622
FANCL/chr2:58386377-58468515,FANCL,chr2,58386377,58468515,0.01,0.750214638
ITGB1BP2/chrX:70521627-70525204,ITGB1BP2,chrX,70521627,70525204,0.01,0.655349294
GEMIN6/chr2:39005326-39009106,GEMIN6,chr2,39005326,39009106,0.0101,0.801696215
VPRBP/chr3:51433297-51534018,VPRBP,chr3,51433297,51534018,0.01014,0.830502015
ASF1B/chr19:14230320-14247440,ASF1B,chr19,14230320,14247440,0.0102,0.739366972
CCDC58/chr3:122078435-122102074,CCDC58,chr3,122078435,122102074,0.0102,0.743071708
NAA38/chr7:117824085-117844093,NAA38,chr7,117824085,117844093,0.0102,0.869483039
ERLIN2/chr8:37594096-37615319,ERLIN2,chr8,37594096,37615319,0.010280206,0.784409401
A1BG/chr19:58858171-58864865,A1BG,chr19,58858171,58864865,0.0104,1.695796991
DROSHA/chr5:31400601-31532282,DROSHA,chr5,31400601,31532282,0.0104,0.814500952
NFYC/chr1:41157241-41237275,NFYC,chr1,41157241,41237275,0.0105,0.859597813
THAP6/chr4:76439653-76455236,THAP6,chr4,76439653,76455236,0.0105,0.7700132
ODF2/chr9:131217433-131263571,ODF2,chr9,131217433,131263571,0.0105,0.852696952
STIL/chr1:47715810-47779819,STIL,chr1,47715810,47779819,0.0106,0.765795972
ASTL/chr2:96789588-96804175,ASTL,chr2,96789588,96804175,0.0107,2.866928217
ZNF431/chr19:21324839-21368805,ZNF431,chr19,21324839,21368805,0.0108,0.78542153
VPS13B/chr8:100025493-100889808,VPS13B,chr8,100025493,100889808,0.0108,0.810463317
TMED10P1/chr8:146220250-146224283,TMED10P1,chr8,146220250,146224283,0.0108,0.646923443
PDHA1/chrX:19362010-19379825,PDHA1,chrX,19362010,19379825,0.0109,0.869461256
C1orf131/chr1:231359508-231376924,C1orf131,chr1,231359508,231376924,0.011,0.858797589
INTS7/chr1:212113740-212209002,INTS7,chr1,212113740,212209002,0.0111,0.830388928
SKOR1/chr15:68117940-68126174,SKOR1,chr15,68117940,68126174,0.0111,1.783869704
NFATC2IP/chr16:28962317-28977767,NFATC2IP,chr16,28962317,28977767,0.0111,0.781949066
BMP2K/chr4:79697531-79833341,BMP2K,chr4,79697531,79833341,0.0111,0.567224053
TAF2/chr8:120743013-120845074,TAF2,chr8,120743013,120845074,0.0111,0.806149296
RECQL4/chr8:145736666-145743210,RECQL4,chr8,145736666,145743210,0.0111,0.687746714
ZNF507/chr19:32836513-32878573,ZNF507,chr19,32836513,32878573,0.0113,0.856694623
ZDHHC6/chr10:114190057-114206672,ZDHHC6,chr10,114190057,114206672,0.0114,0.838678166
LOC147804/chr19:53935226-53947925,LOC147804,chr19,53935226,53947925,0.0114,0.678315014
PMS1/chr2:190648810-190742355,PMS1,chr2,190648810,190742355,0.0115,0.734665624
TMEM130/chr7:98444110-98467673,TMEM130,chr7,98444110,98467673,0.011620918,1.638306744
GOLGA8C/chr15:20767673-20781026,GOLGA8C,chr15,20767673,20781026,0.0117,0.6297662
ZC3H18/chr16:88636788-88698372,ZC3H18,chr16,88636788,88698372,0.0117,0.858652289
ATF2/chr2:175936977-176032934,ATF2,chr2,175936977,176032934,0.0117,0.767415231
LOC100128361/chr9:95380331-95382817,LOC100128361,chr9,95380331,95382817,0.0117,0.486302633
GOLGA8DP/chr15:22702284-22715728,GOLGA8DP,chr15,22702284,22715728,0.0118,0.620282579
FBXO40/chr3:121312169-121349139,FBXO40,chr3,121312169,121349139,0.012,0.646158001
TPR/chr1:186280785-186344457,TPR,chr1,186280785,186344457,0.0123,0.791343074
KIAA1468/chr18:59854523-59974355,KIAA1468,chr18,59854523,59974355,0.0123,0.806011977
TBCK/chr4:106967232-107237861,TBCK,chr4,106967232,107237861,0.0123,0.694138917
METTL20/chr12:31800093-31822016,METTL20,chr12,31800093,31822016,0.0124,0.772245843
C15orf42/chr15:90118817-90171253,C15orf42,chr15,90118817,90171253,0.0124,0.688474551
TMCO6/chr5:140019011-140024989,TMCO6,chr5,140019011,140024989,0.0124,0.778570011
OTX2OS1/chr14:57279900-57397550,OTX2OS1,chr14,57279900,57397550,0.01243856,0.468098991
CHAF1A/chr19:4402659-4443394,CHAF1A,chr19,4402659,4443394,0.0125,0.78201186
CCDC14/chr3:123632273-123680255,CCDC14,chr3,123632273,123680255,0.0125,0.774689876
HERC2P9/chr15:28899587-28930410,HERC2P9,chr15,28899587,28930410,0.0126,0.713400506
FAM91A1/chr8:124780881-124827690,FAM91A1,chr8,124780881,124827690,0.0126,0.808927124
RBM17/chr10:6130948-6159422,RBM17,chr10,6130948,6159422,0.0127,0.87655546
PRDM10/chr11:129769600-129872730,PRDM10,chr11,129769600,129872730,0.0127,0.740980571
PRRT1/chr6:3377155-32119720,PRRT1,chr6,3377155,32119720,0.0127,1.930772831
NUP107/chr12:69080730-69136473,NUP107,chr12,69080730,69136473,0.012740142,0.797870169
LIN7C/chr11:27515964-27528326,LIN7C,chr11,27515964,27528326,0.0128,0.78330004
