GeneInfo,GeneID,Chr,Start,Stop,permPval_Dup,FoldChange
FLJ46446/chrX:70917045-70923256,FLJ46446,chrX,70917045,70923256,0.0039,0.436588957
PRKCE/chr2:45879042-46415129,PRKCE,chr2,45879042,46415129,0.00399,0.41140938
OR4F16/chr1:367658-180795226,OR4F16,chr1,367658,180795226,0.004,1.341668445
OR4F3/chr1:367658-180795226,OR4F3,chr1,367658,180795226,0.004,1.341668445
ADAP2/chr17:29248753-29286211,ADAP2,chr17,29248753,29286211,0.004,0.360674596
LRG1/chr19:4537226-4540036,LRG1,chr19,4537226,4540036,0.004,0.40618474
SOAT1/chr1:179262848-179327814,SOAT1,chr1,179262848,179327814,0.0041,1.558582377
DAK/chr11:61100653-61116231,DAK,chr11,61100653,61116231,0.00414,0.869291962
NUDT4P1/chr12:93771745-93796052,NUDT4P1,chr12,93771745,93796052,0.0042,0.748299888
ORC6/chr16:46723557-46732306,ORC6,chr16,46723557,46732306,0.0042,0.584003714
CACNA1A/chr19:13317255-13617274,CACNA1A,chr19,13317255,13617274,0.0042,0.398136329
LFNG/chr7:2552162-2568810,LFNG,chr7,2552162,2568810,0.0042,3.19087688
SLAMF1/chr1:160579890-160617081,SLAMF1,chr1,160579890,160617081,0.0043,1.409802705
NRN1/chr6:5998232-6007633,NRN1,chr6,5998232,6007633,0.0043,6.750256365
ARHGEF11/chr1:156904631-157015162,ARHGEF11,chr1,156904631,157015162,0.0044,1.862622073
PLXNB2/chr22:50713407-50746001,PLXNB2,chr22,50713407,50746001,0.0044,1.309778032
HIPK1/chr1:114471995-114520491,HIPK1,chr1,114471995,114520491,0.0045,1.267847213
HPS1/chr10:100175954-100206704,HPS1,chr10,100175954,100206704,0.0045,0.792499631
SCARNA9/chr11:93454679-93455032,SCARNA9,chr11,93454679,93455032,0.0045,0.737487899
C14orf49/chr14:95883830-95942173,C14orf49,chr14,95883830,95942173,0.0045,1.43497428
ZNF276/chr16:89787392-89807332,ZNF276,chr16,89787392,89807332,0.0045,0.794727442
HIST1H4C/chr6:26104175-26104565,HIST1H4C,chr6,26104175,26104565,0.0045,0.617005927
FBXO16/chr8:28285928-28347784,FBXO16,chr8,28285928,28347784,0.0045,0.50130138
OR4F29/chr1:367658-180795226,OR4F29,chr1,367658,180795226,0.0046,1.341668445
ACTA1/chr1:229566992-229569843,ACTA1,chr1,229566992,229569843,0.0046,0.669547968
C14orf109/chr14:93651295-93653431,C14orf109,chr14,93651295,93653431,0.0046,1.270715189
HIST1H3A/chr6:26020717-26021186,HIST1H3A,chr6,26020717,26021186,0.0046,0.582679906
GK3P/chr4:166198943-166201175,GK3P,chr4,166198943,166201175,0.0047,1.333312136
C17orf81/chr17:7155371-7163259,C17orf81,chr17,7155371,7163259,0.0048,1.129760357
AGAP3/chr7:150783825-150841523,AGAP3,chr7,150783825,150841523,0.0048,1.267899679
SIGLEC11/chr19:50452249-50464429,SIGLEC11,chr19,50452249,50464429,0.0049,0.641882439
DFNB59/chr2:179316162-179326110,DFNB59,chr2,179316162,179326110,0.0049,0.647038534
SFI1/chr22:31892260-32014534,SFI1,chr22,31892260,32014534,0.0049,0.691017778
STK31/chr7:23749837-23872127,STK31,chr7,23749837,23872127,0.0049,0.413275017
ZNF80/chr3:113953479-113956425,ZNF80,chr3,113953479,113956425,0.005,0.708064775
BRF2/chr8:37701397-37707431,BRF2,chr8,37701397,37707431,0.00502,1.21093026
ANKRD6/chr6:90142896-90343553,ANKRD6,chr6,90142896,90343553,0.00506,0.346263575
CD80/chr3:119243139-119278481,CD80,chr3,119243139,119278481,0.0051,1.66098269
LOC100630923/chr7:102004307-102067129,LOC100630923,chr7,102004307,102067129,0.0051,0.719742152
COMMD3/chr10:22605311-22609246,COMMD3,chr10,22605311,22609246,0.0052,0.82024189
RANBP10/chr16:67757004-67840555,RANBP10,chr16,67757004,67840555,0.0052,1.14158772
RAI1/chr17:17584786-17714765,RAI1,chr17,17584786,17714765,0.0052,1.291199658
MED26/chr19:16685717-16739015,MED26,chr19,16685717,16739015,0.0052,1.289240304
TSEN34/chr19:54694118-54698394,TSEN34,chr19,54694118,54698394,0.0052,1.16184963
CCDC109B/chr4:110481354-110608872,CCDC109B,chr4,110481354,110608872,0.0052,0.766346395
GPATCH3/chr1:27216978-27226962,GPATCH3,chr1,27216978,27226962,0.0053,1.150779692
CHURC1-FNTB/chr14:65381078-65529373,CHURC1-FNTB,chr14,65381078,65529373,0.0053,0.80565794
ASB3/chr2:53897116-54014146,ASB3,chr2,53897116,54014146,0.0053,0.85560143
OTX1/chr2:63277191-63284966,OTX1,chr2,63277191,63284966,0.0053,3.154506674
POTEE/chr2:131975923-132022416,POTEE,chr2,131975923,132022416,0.0053,0.734935615
SLC38A5/chrX:48316926-48328644,SLC38A5,chrX,48316926,48328644,0.0053,0.731242963
PGF/chr14:75408532-75422467,PGF,chr14,75408532,75422467,0.00532,1.975776915
CD1C/chr1:158259562-158264564,CD1C,chr1,158259562,158264564,0.0054,0.258289097
SIDT2/chr11:117049938-117068161,SIDT2,chr11,117049938,117068161,0.0054,1.497912028
BBS4/chr15:72978519-73030817,BBS4,chr15,72978519,73030817,0.0054,1.240052577
UBE2Z/chr17:46985730-47006422,UBE2Z,chr17,46985730,47006422,0.0054,1.232088896
KCP/chr7:128516918-128550773,KCP,chr7,128516918,128550773,0.0054,0.400936614
MAFA/chr8:144510229-144512602,MAFA,chr8,144510229,144512602,0.0054,0.401191003
PPAP2B/chr1:56960418-57045257,PPAP2B,chr1,56960418,57045257,0.0055,4.121288652
LPGAT1/chr1:211916798-212004114,LPGAT1,chr1,211916798,212004114,0.0055,1.566933828
PICK1/chr22:38453261-38471708,PICK1,chr22,38453261,38471708,0.0055,0.802462811
CBWD1/chr9:121037-179075,CBWD1,chr9,121037,179075,0.0055,0.788795504
LOC440896/chr9:69174213-69181041,LOC440896,chr9,69174213,69181041,0.0056,0.460437327
CHIT1/chr1:203185206-203198860,CHIT1,chr1,203185206,203198860,0.0057,0.426895402
SCARF1/chr17:1537151-1549041,SCARF1,chr17,1537151,1549041,0.0057,2.89040696
HIST1H2AG/chr6:27100816-27101314,HIST1H2AG,chr6,27100816,27101314,0.0057,0.661308717
SLC39A1/chr1:153931587-153940188,SLC39A1,chr1,153931587,153940188,0.0058,1.285658412
TSPAN4/chr11:842823-867116,TSPAN4,chr11,842823,867116,0.0059,2.060197854
SSTR2/chr17:71161159-71168062,SSTR2,chr17,71161159,71168062,0.0059,2.188959443
CRYGS/chr3:186256231-186262167,CRYGS,chr3,186256231,186262167,0.0059,0.649835333
MRPL1/chr4:78783804-78873944,MRPL1,chr4,78783804,78873944,0.0059,0.776447887
PTK7/chr6:43044028-43129457,PTK7,chr6,43044028,43129457,0.0059,6.42365595
VPS4A/chr16:69345286-69358946,VPS4A,chr16,69345286,69358946,0.006,1.133995624
TAF9/chr5:68647552-68665840,TAF9,chr5,68647552,68665840,0.006,0.844543563
VWA7/chr6:3018952-31745108,VWA7,chr6,3018952,31745108,0.006,0.605325968
H2AFB1/chrX:154113316-154689596,H2AFB1,chrX,154113316,154689596,0.006,0.30483631
SEPT9/chr17:75277491-75496678,8-Sep,chr17,75277491,75496678,0.0061,1.287561556
RELL2/chr5:141016516-141020631,RELL2,chr5,141016516,141020631,0.0061,0.657365902
SLC20A2/chr8:42273992-42397068,SLC20A2,chr8,42273992,42397068,0.0061,1.234348704
BCAR3/chr1:94027348-94147385,BCAR3,chr1,94027348,94147385,0.0062,0.346163824
SUPV3L1/chr10:70939992-70968849,SUPV3L1,chr10,70939992,70968849,0.0062,1.121489449
ARPC3/chr12:110872705-110888158,ARPC3,chr12,110872705,110888158,0.0062,0.857303201
LOC100506930/chr19:36803962-36822620,LOC100506930,chr19,36803962,36822620,0.0062,0.596894732
LOC256021/chr12:92378751-92536447,LOC256021,chr12,92378751,92536447,0.00627,2.834274753
CARS2/chr13:111293756-111358480,CARS2,chr13,111293756,111358480,0.0063,0.791353985
OBSL1/chr2:220415449-220436268,OBSL1,chr2,220415449,220436268,0.0063,2.652637782
LOC550643/chrX:56755717-56844004,LOC550643,chrX,56755717,56844004,0.0063,1.171536253
TRAF3/chr14:103243815-103377837,TRAF3,chr14,103243815,103377837,0.0064,1.268062477
SNX29/chr16:12070601-12668146,SNX29,chr16,12070601,12668146,0.0064,1.351694622
LOC100506779/chr17:56402810-56431088,LOC100506779,chr17,56402810,56431088,0.0064,0.768470946
METTL8/chr2:172173912-172291312,METTL8,chr2,172173912,172291312,0.0064,0.713024939
DLL1/chr6:170591293-170599697,DLL1,chr6,170591293,170599697,0.0064,2.855632088
MSTO2P/chr1:155715608-155721369,MSTO2P,chr1,155715608,155721369,0.0065,0.831196079
CEND1/chr11:787109-790126,CEND1,chr11,787109,790126,0.0065,0.353092918
C10orf128/chr10:50363890-50396407,C10orf128,chr10,50363890,50396407,0.0066,2.026133964
MATN1/chr1:31184123-31196432,MATN1,chr1,31184123,31196432,0.0067,0.628937745
EIF2C1/chr1:36348809-36389899,EIF2C1,chr1,36348809,36389899,0.0067,1.262883765
CXXC1/chr18:47808712-47814692,CXXC1,chr18,47808712,47814692,0.0067,0.653626468
SELO/chr22:50639407-50656045,SELO,chr22,50639407,50656045,0.0067,0.821896604
C3orf25/chr3:129120163-129147494,C3orf25,chr3,129120163,129147494,0.0067,0.441711711
IL12RB1/chr19:18170370-18197697,IL12RB1,chr19,18170370,18197697,0.0068,0.677988929
RNF145/chr5:158584416-158637061,RNF145,chr5,158584416,158637061,0.0068,1.188778389
TSPAN12/chr7:120427373-120498177,TSPAN12,chr7,120427373,120498177,0.0068,2.707358988
KATNAL1/chr13:30776766-30881584,KATNAL1,chr13,30776766,30881584,0.0069,1.449007785
SP100/chr2:231280870-231410317,SP100,chr2,231280870,231410317,0.0069,0.861001874
TRAPPC10/chr21:45432205-45526432,TRAPPC10,chr21,45432205,45526432,0.0069,1.247341546
ZNF587B/chr19:58341661-58357606,ZNF587B,chr19,58341661,58357606,0.007,0.797659822
WIBG/chr12:56295196-56321697,WIBG,chr12,56295196,56321697,0.0071,0.746725776
SRSF5/chr14:70233828-70238722,SRSF5,chr14,70233828,70238722,0.0071,0.861488617
OPRL1/chr20:62711470-62731996,OPRL1,chr20,62711470,62731996,0.0071,1.885258729
CYFIP2/chr5:156693090-156822606,CYFIP2,chr5,156693090,156822606,0.0071,1.23369271
USP45/chr6:99880183-99963252,USP45,chr6,99880183,99963252,0.0071,0.797665786
QPRT/chr16:29690440-29709314,QPRT,chr16,29690440,29709314,0.00715,1.623978818
PDZD8/chr10:119042605-119134937,PDZD8,chr10,119042605,119134937,0.0072,1.752727627
OAT/chr10:126085871-126107545,OAT,chr10,126085871,126107545,0.0072,0.385789629
NEK8/chr17:27055831-27069784,NEK8,chr17,27055831,27069784,0.0072,0.829550066
MAFG/chr17:79876144-79885587,MAFG,chr17,79876144,79885587,0.0072,1.236590217
ZNF789/chr7:99070514-99085217,ZNF789,chr7,99070514,99085217,0.0072,0.658379292
CRB2/chr9:126118447-126141032,CRB2,chr9,126118447,126141032,0.0072,0.584608721
PPP2R4/chr9:131873227-131911225,PPP2R4,chr9,131873227,131911225,0.0072,1.231643967
PABPC4/chr1:40026484-40042521,PABPC4,chr1,40026484,40042521,0.0073,0.77355004
PTPN22/chr1:114356432-114414375,PTPN22,chr1,114356432,114414375,0.0074,0.798228555
MAP3K14/chr17:43340487-43394414,MAP3K14,chr17,43340487,43394414,0.0074,1.213771252
ACTR8/chr3:53901093-53916229,ACTR8,chr3,53901093,53916229,0.0074,1.267271044
RHOBTB3/chr5:95066849-95132071,RHOBTB3,chr5,95066849,95132071,0.0074,2.26396103
CASC3/chr17:38296506-38328431,CASC3,chr17,38296506,38328431,0.0075,1.229758108
SLC28A3/chr9:86890764-86983413,SLC28A3,chr9,86890764,86983413,0.0075,0.378555539
CCDC73/chr11:32623625-32816187,CCDC73,chr11,32623625,32816187,0.0076,3.503894683
FAM192A/chr16:57186377-57219976,FAM192A,chr16,57186377,57219976,0.0076,0.877237768
DYNLT3/chrX:37698088-37706889,DYNLT3,chrX,37698088,37706889,0.0076,1.355101223
MT2A/chr16:56642477-56643409,MT2A,chr16,56642477,56643409,0.0077,2.289703231
SPTBN1/chr2:54683453-54898583,SPTBN1,chr2,54683453,54898583,0.0077,1.567547315
C13orf15/chr13:42031541-42045013,C13orf15,chr13,42031541,42045013,0.00775,0.353625338
RIMS3/chr1:41086351-41131324,RIMS3,chr1,41086351,41131324,0.0078,2.495985976
LOC440297/chr15:82753446-83145983,LOC440297,chr15,82753446,83145983,0.0078,1.721591255
MVP/chr16:29831714-29859360,MVP,chr16,29831714,29859360,0.0078,1.390159137
MYO7B/chr2:128293377-128395303,MYO7B,chr2,128293377,128395303,0.0078,0.34637751
ZMYND12/chr1:42896000-42921938,ZMYND12,chr1,42896000,42921938,0.0079,0.57752913
MGMT/chr10:131265453-131565783,MGMT,chr10,131265453,131565783,0.0079,0.539633284
SRPK2/chr7:104756822-105029341,SRPK2,chr7,104756822,105029341,0.0079,1.405495939
TRIM24/chr7:138145078-138270332,TRIM24,chr7,138145078,138270332,0.008,1.310253956
C16orf53/chr16:29827527-29833816,C16orf53,chr16,29827527,29833816,0.0081,1.313970722
MSI2/chr17:55333930-55757299,MSI2,chr17,55333930,55757299,0.0081,1.454834556
CCL25/chr19:8117645-8127547,CCL25,chr19,8117645,8127547,0.0081,0.470523893
MOBP/chr3:39509069-39567857,MOBP,chr3,39509069,39567857,0.0081,0.650974327
RABGAP1L/chr1:174128551-174964445,RABGAP1L,chr1,174128551,174964445,0.0083,0.647983577
ELFN1/chr7:1748797-1787590,ELFN1,chr7,1748797,1787590,0.0083,0.24522454
C9orf69/chr9:139006426-139010731,C9orf69,chr9,139006426,139010731,0.0083,1.220865898
CGN/chr1:151483861-151511167,CGN,chr1,151483861,151511167,0.0084,2.752670425
