geneID.day11,log2FC.day11,FDR.day11,geneID.day31,log2FC.day31,FDR.day31
AL138712.1,-2.24,1.22E-09,PTPRZ1,2.72,1.11E-13
DLX2,2.08,1.38E-09,SP6,-2.43,1.18E-13
LRRN4,-2.45,1.43E-09,C1orf186,4.21,1.45E-13
GRIA1,1.64,1.48E-09,GABRP,-3.47,1.55E-13
APLNR,-1.75,1.50E-09,CTC-547D20.1,2.55,1.68E-13
NOS2,1.57,1.87E-09,RAMP1,-2.68,3.73E-13
SHH,-2.65,2.34E-09,AP1M2,-3.23,4.24E-13
CNTN6,3.41,2.37E-09,CHRDL1,2.47,4.95E-13
GATA3,-1.87,2.60E-09,CEACAM7,-5.01,5.52E-13
HOXB3,-1.57,2.74E-09,NPNT,-2.18,7.13E-13
NKAIN3,1.50,3.38E-09,ESRP1,-2.43,7.95E-13
SERPINB9,-1.56,3.47E-09,HGD,-2.73,7.96E-13
AMBN,2.45,7.06E-09,CDH1,-2.55,8.00E-13
EPAS1,-1.39,7.39E-09,PRR15,-2.80,8.22E-13
FGG,-3.21,7.53E-09,F2RL1,-2.28,1.08E-12
AP1M2,-2.78,1.09E-08,REG4,-4.03,2.10E-12
NTS,-2.20,1.28E-08,RP11-217E22.5,4.26,2.21E-12
DLX6,2.84,1.37E-08,BCL11B,2.16,2.36E-12
S100A14,-3.35,1.37E-08,AC133637.1,2.10,2.52E-12
FGA,-3.17,1.44E-08,KLF5,-2.48,3.36E-12
IGF2,-1.90,1.45E-08,NCRNA00261,-3.58,3.60E-12
NPNT,-2.08,1.46E-08,C3,-2.37,3.83E-12
SULT1E1,-2.83,1.51E-08,SALL1,2.16,4.53E-12
CHRDL1,1.62,1.57E-08,CLDN4,-2.33,4.65E-12
NTRK3,1.41,1.58E-08,NR2E1,3.70,4.84E-12
RP11-115J16.1,-2.62,1.65E-08,GBP2,-2.92,6.15E-12
SOX21,1.41,1.65E-08,ADRA1A,2.41,6.16E-12
GSX2,3.57,1.65E-08,TINAGL1,-2.27,6.21E-12
AC107385.1,-3.13,1.78E-08,VTCN1,-3.04,7.02E-12
HOXA9,-2.95,1.85E-08,RP11-23D24.2,3.29,7.04E-12
SOX17,-3.29,2.19E-08,TFF1,-3.72,1.19E-11
STOM,-1.77,2.19E-08,SLC44A4,-2.64,1.55E-11
AC133637.1,1.53,2.43E-08,RP11-129K20.2,2.74,2.00E-11
PTPRZ1,1.55,2.52E-08,RP11-4N23.1,2.79,2.11E-11
ADAMTS19,-1.60,2.68E-08,ERBB3,-2.13,2.73E-11
FOXA2,-3.30,3.09E-08,GPRC5A,-2.35,3.50E-11
AL049777.1,2.96,3.38E-08,SLCO2A1,-2.38,3.77E-11
RP11-178A10.1,-2.92,5.02E-08,AMBN,3.41,4.05E-11
MPPED2,1.41,6.12E-08,CD55,-2.11,4.46E-11
PHYHIPL,1.53,7.62E-08,COL17A1,-2.23,4.88E-11
SOX3,1.32,7.62E-08,TM4SF1,-2.26,5.39E-11
CDH20,1.33,9.27E-08,ITGB6,-2.48,5.56E-11
GABRB2,2.71,9.89E-08,KRT18,-2.17,5.63E-11
FUT9,2.48,1.06E-07,MYT1L,2.24,6.22E-11
RP11-366M4.3,-2.65,1.26E-07,CFTR,-2.86,7.62E-11
GDF3,-3.45,1.55E-07,GAD2,3.69,8.36E-11
CD93,-2.77,1.55E-07,P2RY6,-2.89,8.61E-11
3-Sep,1.34,1.69E-07,AC009487.5,2.64,9.43E-11
FAT4,1.27,1.80E-07,GABRB2,3.24,1.04E-10
TFPI,-1.29,2.35E-07,LAD1,-2.97,1.46E-10
CREB5,1.31,2.35E-07,MPZL2,-2.02,1.49E-10
IFITM2,-1.28,2.48E-07,DMRTA2,2.04,1.69E-10
BAMBI,-1.32,2.48E-07,GALNT3,-2.25,2.84E-10
RFX6,-2.63,2.49E-07,RNF186,-4.46,2.92E-10
RASGRP1,1.40,2.71E-07,RP4-684O24.5,3.65,3.00E-10
ACPP,-2.75,2.71E-07,PDYN,3.65,3.12E-10
HPGD,-2.30,3.64E-07,LYZ,-3.54,3.19E-10
FEZF1,1.24,3.66E-07,GNRH2,-2.72,3.19E-10
AC091588.1,-2.66,3.98E-07,POF1B,-3.12,3.86E-10
CTC-467M3.1,1.29,4.81E-07,UGT2B15,-3.55,4.33E-10
CTSL2,-1.56,5.12E-07,SLCO2B1,-2.45,4.68E-10
IFITM1,-1.31,5.31E-07,SPINT1,-2.06,4.75E-10
AC018730.3,2.69,5.45E-07,FOS,-2.00,4.83E-10
RP11-3B12.3,-3.64,5.55E-07,CHRM1,3.61,4.85E-10
TBX4,-2.52,6.13E-07,S100P,-2.98,6.55E-10
APOA2,-3.33,6.31E-07,S100A14,-3.04,9.65E-10
HOXB9,-2.04,7.95E-07,FLT1,-2.15,9.65E-10
RP11-560I19.4,1.23,8.25E-07,TM4SF4,-3.85,1.07E-09
AC007319.1,-1.22,9.52E-07,KCNQ3,2.02,1.11E-09
PKP2,-1.43,1.00E-06,GRHL2,-2.14,1.13E-09
AFP,-2.15,1.16E-06,UBD,-3.66,1.16E-09
SCGN,2.15,1.25E-06,MTTP,-2.25,1.21E-09
HOXA13,-3.01,1.25E-06,RAB25,-2.49,1.39E-09
CTD-2353F22.1,1.28,1.29E-06,GATA3,-2.06,1.42E-09
RGS13,-2.94,1.33E-06,ZFP36,-1.89,1.64E-09
MYT1,1.24,1.33E-06,SCNN1A,-2.19,1.86E-09
RP11-308B16.1,-2.84,1.33E-06,MACC1,-2.55,1.94E-09
MIR9-1,2.37,1.45E-06,EPS8L3,-4.02,2.03E-09
ARHGAP29,-1.24,1.52E-06,PRSS22,-3.33,2.03E-09
SHISA2,1.41,1.58E-06,PRR15L,-3.01,2.14E-09
IFI16,-1.54,1.82E-06,SLC6A1,2.01,2.16E-09
AC009487.4,2.39,1.82E-06,ANXA3,-1.97,2.23E-09
NRXN3,1.18,1.84E-06,PVRL4,-2.98,2.69E-09
RP11-380D23.2,-2.49,1.84E-06,GBP3,-3.18,3.20E-09
LMO1,2.17,2.04E-06,MPZL3,-2.24,3.31E-09
ST14,-2.36,2.23E-06,C14orf64,3.34,3.83E-09
AC012531.1,-2.02,2.23E-06,HAND2,-1.89,4.16E-09
ATP6V0D2,-2.47,2.28E-06,TMBIM1,-1.83,4.33E-09
P2RY6,-2.92,2.45E-06,ST6GALNAC1,-3.34,5.63E-09
AC012354.1,2.38,2.45E-06,TJP2,-1.88,6.04E-09
DLX5,2.27,2.50E-06,SEZ6,2.02,6.31E-09
FZD10,2.59,2.78E-06,S100A9,-3.39,7.42E-09
CTC-575N7.1,-1.44,2.84E-06,GP2,-3.59,7.46E-09
WT1,-2.45,2.96E-06,MIR9-1,3.27,7.82E-09
HOXB6,-2.32,3.01E-06,TMEM30B,-3.07,7.82E-09
SOX1,1.17,3.39E-06,F2,-3.35,7.97E-09
ODAM,-2.95,3.65E-06,PLAUR,-1.85,8.79E-09
HOXC6,-2.06,3.80E-06,AC018730.3,3.02,8.79E-09
CRISPLD2,-1.28,3.80E-06,DHRS9,-2.99,8.90E-09
HOXA10,-2.85,3.85E-06,NRG3,1.96,9.42E-09
FAM13C,1.49,3.87E-06,H19,-2.42,9.91E-09
COL15A1,-1.60,4.04E-06,B3GAT1,1.91,1.04E-08
SOX5,1.13,4.31E-06,RP11-85O21.5,2.76,1.14E-08
FAM70A,1.46,4.31E-06,RP11-766F14.1,-2.29,1.27E-08
CDX2,-2.13,4.55E-06,AL049777.1,3.14,1.34E-08
TRDN,-2.46,4.75E-06,FUT9,2.71,1.49E-08
AC012354.5,2.32,5.02E-06,HAND1,-1.93,1.54E-08
PDGFRA,-1.16,5.16E-06,RP11-91K11.2,-3.75,1.69E-08
PRODH,-1.33,5.20E-06,LCP1,-2.27,1.92E-08
TFAP2A,-1.26,5.20E-06,WT1,-3.19,2.04E-08
LIN28A,-1.19,5.23E-06,AGTR1,-2.93,2.09E-08
RXRG,-2.05,5.34E-06,MT1H,-3.78,2.27E-08
CTC-349C3.1,-2.27,5.34E-06,S100A6,-2.17,2.69E-08
PNOC,2.08,5.38E-06,PTGES,-1.74,2.81E-08
AL049692.1,-2.15,5.52E-06,RP11-471J12.1,-1.81,2.82E-08
RP11-125O18.1,2.17,5.52E-06,IRF6,-1.78,3.12E-08
SIM1,2.14,5.89E-06,SLC39A5,-2.36,3.21E-08
AC004080.15,-2.79,5.94E-06,AC114877.3,3.15,3.60E-08
RP1-170O19.6,-2.79,6.02E-06,TMEM45B,-2.90,4.00E-08
CDH3,-1.22,6.02E-06,CTC-467M3.1,1.69,4.25E-08
OLFML3,-1.30,6.10E-06,DPP4,-1.89,4.81E-08
RP11-510N19.5,-2.41,6.61E-06,DSC2,-1.75,4.91E-08
IHH,-2.52,7.01E-06,IL4R,-1.75,5.18E-08
NEUROG2,2.11,7.12E-06,IL32,-3.19,5.38E-08
WNT5A,-1.15,7.42E-06,MOGAT3,-3.92,5.66E-08
WNT2,-2.76,7.54E-06,IL1RL1,-3.28,5.66E-08
RP11-98D18.1,1.17,7.61E-06,DUOXA2,-2.67,5.70E-08
TMPRSS2,-2.26,7.63E-06,MMP7,-3.26,5.86E-08
AL117190.2,1.95,8.02E-06,FOXA1,-2.58,5.86E-08
CORO2B,1.17,8.25E-06,NTRK3,1.76,5.92E-08
CACNA2D3,-1.31,8.41E-06,CDH4,1.71,6.90E-08
CELF3,1.17,8.81E-06,MIA2,-2.89,7.28E-08
SLC1A3,1.13,9.21E-06,AIM1L,-2.10,8.28E-08
CHCHD2,1.87,1.11E-05,AL049692.1,-2.91,8.28E-08
NCAN,1.18,1.16E-05,KRT8,-1.91,8.77E-08
TRIM71,-1.20,1.17E-05,UGT1A1,-3.76,9.28E-08
PKP3,-2.46,1.19E-05,ISLR2,1.82,9.90E-08
C21orf105,-1.59,1.20E-05,TRIM15,-3.47,1.11E-07
HOXB7,-1.41,1.21E-05,PRRG4,-2.67,1.12E-07
RBFOX1,-1.17,1.32E-05,SCN1A,2.05,1.17E-07
EPHA3,1.13,1.34E-05,TBX2,-1.72,1.23E-07
RP11-143E21.7,2.76,1.48E-05,CSMD2,1.76,1.24E-07
LRRC4C,1.60,1.56E-05,UGT1A3,-3.67,1.24E-07
KRT18,-1.27,1.56E-05,CD68,-1.79,1.30E-07
RGMA,1.07,1.58E-05,COBLL1,-1.67,1.30E-07
IGFN1,-2.14,1.61E-05,FAM83B,-2.92,1.30E-07
SLC7A2,-1.45,1.65E-05,IHH,-3.10,1.38E-07
F11R,-1.09,1.69E-05,ADCYAP1R1,1.79,1.39E-07
SLC5A7,-2.16,1.69E-05,UGT1A4,-3.63,1.41E-07
KISS1,-2.04,2.03E-05,TMPRSS2,-2.67,1.41E-07
HS6ST2,1.07,2.14E-05,TRIM40,-3.09,1.41E-07
SLC1A2,1.16,2.15E-05,SERPINA4,-3.93,1.47E-07
AC087073.1,-3.15,2.29E-05,LGALS3,-1.91,1.50E-07
RP11-867G2.8,-1.42,2.45E-05,TBX3,-1.68,1.53E-07
HAS2-AS1,-1.79,2.48E-05,CYP26A1,2.84,1.59E-07
TECRL,-2.79,2.50E-05,XXbac-BPG116M5.17,-1.64,1.59E-07
NRG3,1.39,2.67E-05,CFB,-1.64,1.61E-07
AC105227.1,-1.86,2.67E-05,GCNT3,-3.28,1.77E-07
AC007682.1,-2.23,2.73E-05,NCAN,1.91,1.77E-07
CARTPT,-2.25,2.88E-05,MYOF,-1.81,1.82E-07
PCSK2,1.36,3.07E-05,SLC19A3,-1.99,1.95E-07
GRM3,1.29,3.29E-05,MT1G,-3.09,2.08E-07
RP11-85O21.5,1.93,3.55E-05,ILDR1,-2.78,2.16E-07
GAL,-2.22,3.66E-05,STS,-1.77,2.25E-07
CTC-276P9.1,-2.06,3.75E-05,TMEM154,-2.22,2.29E-07
GRIK3,1.29,3.84E-05,CHL1,1.93,2.37E-07
MPPED1,1.57,4.50E-05,PITX1,-1.78,2.53E-07
CDK5R1,1.09,4.57E-05,RASGRF1,1.97,2.57E-07
TBX20,-2.37,4.85E-05,GPM6A,1.86,2.57E-07
ELAVL3,1.12,5.04E-05,UGT1A5,-3.48,2.58E-07
CTC-358I24.1,1.03,5.06E-05,KCNJ10,2.82,2.70E-07
IGFBP3,-1.13,5.08E-05,ITGB4,-1.70,3.06E-07
CDH5,-2.11,5.35E-05,HPCAL4,2.06,3.19E-07
SOAT2,-2.19,5.51E-05,PRKCB,1.69,3.19E-07
SP8,1.04,5.59E-05,DSP,-2.08,3.99E-07
AL035610.2,-2.20,5.59E-05,UGT1A6,-3.37,4.04E-07
SLC2A3,-1.18,5.61E-05,RBP4,-2.17,4.12E-07
RP4-751H13.6,1.03,5.90E-05,NPC1L1,-2.54,4.33E-07
GBP4,-2.20,6.00E-05,KIAA2022,1.80,4.37E-07
HNF4A,-2.20,6.27E-05,CAMKV,1.63,4.45E-07
DMRTA2,1.08,6.44E-05,CXCL5,-3.38,4.60E-07
BST2,-1.03,6.44E-05,CARD11,-2.56,4.65E-07
AC023469.2,-2.02,6.44E-05,C6orf222,-3.28,4.65E-07
NPAS3,1.24,6.84E-05,GUCY2C,-2.65,4.84E-07
DSC3,-1.27,6.85E-05,GRIK3,1.78,5.07E-07
CPLX2,1.24,6.94E-05,C2CD4A,-2.78,5.11E-07
AC103702.1,-2.00,7.83E-05,NDRG1,-1.97,5.64E-07
SAT1,-1.04,8.01E-05,F11R,-1.70,5.76E-07
ATP6V0E2,1.03,8.08E-05,SYT6,2.07,6.47E-07
RCAN2,1.20,9.12E-05,MIR559,-3.12,6.47E-07
MYT1L,1.59,9.26E-05,UGT1A7,-3.26,6.96E-07
COL6A3,-1.27,9.26E-05,TFPI2,-1.75,7.32E-07
ELF3,-2.05,9.29E-05,IL2RG,-3.44,7.41E-07
VWDE,-2.06,9.53E-05,UGT1A9,-3.24,7.44E-07
SLC28A2,-2.24,9.60E-05,SI,-2.63,7.63E-07
TMSB15A,1.11,9.60E-05,ABCC3,-2.50,7.74E-07
DCC,1.15,9.73E-05,UGT1A10,-3.21,7.80E-07
KRT19,-1.06,1.03E-04,RFX4,1.64,8.09E-07
POU3F2,1.10,1.04E-04,RAB17,-2.15,8.31E-07
IGFBP6,-1.90,1.07E-04,BX470102.3,-2.35,8.41E-07
DUOX2,-2.05,1.08E-04,SP8,1.94,8.42E-07
KCNC1,1.32,1.12E-04,CEBPD,-1.56,9.39E-07
RP11-587D21.5,-2.62,1.13E-04,SOX2,1.65,9.71E-07
PRRG4,-2.03,1.13E-04,BHLHE22,2.80,9.71E-07
HAPLN1,-1.12,1.15E-04,GRM3,1.83,9.72E-07
PTGDS,-1.25,1.23E-04,EMX2,1.61,1.04E-06
MMP1,-2.36,1.23E-04,SH3GL2,1.89,1.06E-06
GDF15,-1.46,1.23E-04,NR4A3,-1.81,1.07E-06
DGKB,1.00,1.29E-04,RP11-395D3.1,2.63,1.08E-06
RP11-85O21.2,2.11,1.31E-04,C1orf210,-3.20,1.08E-06
GNG4,0.97,1.32E-04,KRT15,-2.47,1.08E-06
BMP5,-1.08,1.36E-04,RNF128,-2.63,1.11E-06
RP11-426L16.8,-2.21,1.46E-04,EOMES,2.79,1.17E-06
SLCO2A1,-2.02,1.48E-04,CACNG5,2.46,1.18E-06
ATP12A,-2.30,1.52E-04,GPR126,-1.63,1.27E-06
AC009264.1,-2.02,1.53E-04,GPA33,-2.92,1.34E-06
DCX,1.17,1.65E-04,CDX1,-3.39,1.34E-06
CTC-458I2.2,-0.99,1.67E-04,JUNB,-1.50,1.35E-06
DPYSL5,1.07,1.79E-04,CELF4,1.58,1.42E-06
AL035610.1,-2.12,1.80E-04,UGT1A8,-3.09,1.44E-06
INA,1.04,1.82E-04,OPCML,1.54,1.52E-06
TOX,1.17,1.84E-04,GRM5,2.69,1.56E-06
MMP28,-2.10,1.90E-04,STOM,-1.49,1.59E-06
TBX5,-2.01,1.92E-04,S100A16,-1.73,1.60E-06
SH3RF1,0.98,1.93E-04,C7,-1.64,1.63E-06
SERINC5,-1.01,2.07E-04,GRIP2,1.57,1.69E-06
LHFPL2,-0.98,2.11E-04,LSR,-1.49,1.81E-06
AC104650.1,-1.97,2.18E-04,GPR12,2.58,1.81E-06
SPON1,-1.09,2.25E-04,FOXA2,-3.20,1.86E-06
FZD8,1.19,2.35E-04,PPM1E,1.53,1.88E-06
CASP10,-1.97,2.45E-04,SULT1B1,-3.43,2.07E-06
NID2,-0.99,2.51E-04,SCRT2,1.63,2.16E-06
AC012354.4,1.56,2.52E-04,PERP,-1.58,2.22E-06
FAM83B,-2.05,2.57E-04,AC009487.4,2.72,2.27E-06
DNER,0.99,2.86E-04,RP11-657K20.2,2.84,2.29E-06
NAV2,-0.97,3.01E-04,AL138712.1,-2.14,2.31E-06
CGNL1,-1.02,3.03E-04,AC087393.1,2.51,2.34E-06
NPY2R,1.93,3.05E-04,CORO2B,1.55,2.39E-06
PCSK1,1.34,3.19E-04,NTM,1.48,2.40E-06
HOXC8,-2.15,3.23E-04,POU3F2,1.71,2.40E-06
RP11-309L24.2,-0.94,3.24E-04,HCG22,2.43,2.43E-06
STMN4,1.00,3.28E-04,NRXN1,1.60,2.44E-06
CACNG4,0.96,3.37E-04,RP11-403C10.2,1.76,2.49E-06
ZNF536,1.15,3.37E-04,AC011333.1,1.87,2.54E-06
RP11-171A24.3,1.93,3.37E-04,CDCP1,-1.99,2.57E-06
HOXC5,-1.36,3.45E-04,CPLX2,1.57,2.57E-06
CFTR,-1.90,3.47E-04,SFN,-2.78,2.65E-06
RP11-235G24.1,-1.99,3.48E-04,PTCHD2,1.54,2.67E-06
FREM1,-1.00,3.55E-04,AC073840.1,-2.71,2.71E-06
ST3GAL1,-0.93,3.57E-04,SNAP91,1.52,2.75E-06
GPR78,-1.42,3.58E-04,RGMA,1.49,2.77E-06
TMEM125,-1.95,3.68E-04,PAPPA2,-1.77,3.04E-06
FABP7,1.01,3.69E-04,CTC-455F18.1,-3.07,3.05E-06
LRFN5,-1.30,3.77E-04,KCNC1,1.60,3.05E-06
LRRC2,-2.07,3.82E-04,SLC1A2,1.55,3.12E-06
SOX9,0.99,3.82E-04,ARPP21,2.83,3.12E-06
KCNJ10,1.83,3.90E-04,FCGBP,-2.02,3.43E-06
HTRA3,-1.35,3.94E-04,GFAP,2.50,3.82E-06
DSP,-1.02,4.03E-04,DSC3,-1.52,3.84E-06
ATHL1,-0.93,4.04E-04,CHD5,1.53,3.88E-06
SPP1,-1.22,4.04E-04,FAM123A,1.54,3.90E-06
RP11-733O18.1,1.84,4.11E-04,GNGT1,-1.64,3.92E-06
GPR50,1.95,4.18E-04,TFAP2A,-1.64,3.95E-06
PDGFA,-1.24,4.23E-04,NKAIN3,1.43,4.06E-06
MIR9-2,1.77,4.31E-04,RP11-102C16.3,-3.12,4.07E-06
FOXP2,1.10,4.39E-04,EFNA1,-1.50,4.58E-06
FST,-1.28,4.39E-04,ANXA4,-1.56,4.88E-06
CELF5,0.92,4.41E-04,C1orf116,-2.66,4.96E-06
TCF21,-2.16,4.41E-04,VTN,-1.61,4.96E-06
CPA1,-1.71,4.44E-04,S100A11,-1.46,4.96E-06
SLC14A2,1.93,4.45E-04,SLC32A1,2.59,5.02E-06
SCRT2,1.27,4.48E-04,RP11-54A4.2,-1.52,5.07E-06
CD1D,-1.98,4.63E-04,CDK5R1,1.59,5.16E-06
ITGA9,-0.98,4.65E-04,PDE2A,1.46,5.36E-06
FRZB,0.96,4.74E-04,AL591893.1,-1.46,5.48E-06
RP1-170O19.19,-1.79,4.88E-04,SLAIN1,1.49,5.65E-06
MOXD1,0.98,4.88E-04,GRIA2,1.54,5.65E-06
HSPB6,-1.81,5.07E-04,PTGS2,-2.45,5.83E-06
NOL4,1.58,5.15E-04,PLSCR1,-1.51,5.94E-06
ITGB8,1.09,5.15E-04,AP001092.4,1.69,6.10E-06
APC2,1.00,5.17E-04,C2CD4B,-2.46,6.17E-06
PKIA,0.92,5.35E-04,MYO5B,-1.45,6.23E-06
MYOF,-0.91,5.41E-04,HPGD,-1.52,6.23E-06
GALNT3,-1.79,5.50E-04,PPP2R2C,1.55,6.26E-06
COL21A1,-1.83,5.94E-04,EPSTI1,-2.39,6.40E-06
PCOLCE,-0.96,5.97E-04,SLC30A3,2.40,6.46E-06
MAT1A,-1.60,6.01E-04,SYNPR,1.75,6.69E-06
ATG10,0.91,6.08E-04,TNFRSF12A,-1.69,6.72E-06
RP3-486B10.1,-1.59,6.08E-04,NRSN1,1.88,6.80E-06
ADAM18,-1.58,6.18E-04,GAL3ST4,1.42,6.80E-06
KIF21B,0.97,6.34E-04,WDR17,1.47,6.85E-06
AC005152.2,0.97,6.34E-04,RP11-85O21.2,2.47,6.85E-06
RGS22,-1.79,6.34E-04,PPFIA2,1.47,6.85E-06
EPSTI1,-2.01,6.41E-04,RP11-21C4.1,2.70,6.99E-06
MIR483,-1.79,6.44E-04,GPRC5C,-1.39,7.03E-06
RP11-4N23.1,1.76,6.44E-04,ADAMTSL4,-1.56,7.10E-06
C6orf54,-1.64,6.44E-04,SLC40A1,-1.48,7.13E-06
CPZ,-1.40,6.52E-04,EMX1,2.27,7.38E-06
COPG2,0.99,6.52E-04,MET,-1.42,7.38E-06
FREM2,-0.93,6.63E-04,NOL4,1.78,7.53E-06
PTPRN2,1.03,6.77E-04,RP11-839D17.2,1.46,7.74E-06
BCL11A,1.01,6.95E-04,AC011738.4,2.44,7.87E-06
C22orf42,1.74,7.05E-04,HOXB9,-2.09,7.97E-06
RGS4,-1.20,7.17E-04,APOA4,-3.30,8.05E-06
ADAMTSL4,-1.01,7.19E-04,GATA6,-1.43,8.40E-06
MFAP4,-1.28,7.19E-04,AL353597.1,1.53,8.40E-06
AL589765.1,1.14,7.79E-04,EHF,-2.79,8.40E-06
RIIAD1,1.13,7.92E-04,UNC93A,-2.55,8.51E-06
CTB-118N6.3,-0.92,7.94E-04,ADM,-1.86,8.97E-06
FLNC,-0.93,7.97E-04,2-Sep,1.71,9.34E-06
AC023469.1,-2.00,8.04E-04,DGKB,1.67,9.56E-06
RP5-1011O1.2,-1.79,9.02E-04,LRTM2,2.28,9.97E-06
CTB-99A3.1,1.28,9.02E-04,DSCAM,2.27,9.97E-06
TMEM196,1.72,9.02E-04,GLB1L2,1.38,1.02E-05
C7orf58,-1.05,9.02E-04,RP11-219G10.3,-2.47,1.04E-05
HEY1,-0.99,9.02E-04,EREG,-2.84,1.05E-05
SPOCK1,0.93,9.04E-04,CXCL16,-1.77,1.09E-05
KRT8,-0.96,9.19E-04,GRIN1,1.58,1.09E-05
ABCG2,-1.60,9.52E-04,HSPB6,-1.85,1.10E-05
CTD-2337A12.1,1.20,9.57E-04,ACE2,-2.86,1.11E-05
ITGA8,-0.93,9.70E-04,TMC4,-1.71,1.13E-05
RP11-357H14.11,-1.89,9.70E-04,PRLR,-1.55,1.13E-05
UGP2,-0.91,9.70E-04,GJB1,-2.88,1.15E-05
