Symbol,GeneName,ProbeName,RefSeq,FC,RP rank
AY172962,,A_24_P605563,b,0.72,134
PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",A_24_P111096,NM_004566,1.24,135
GIMAP5,"GTPase, IMAP family member 5",A_23_P42588,NM_018384,1.35,136
BC012876,,A_24_P318990,b,0.72,137
X57802,,A_24_P519504,b,0.71,138
TP73L,tumor protein p73-like,A_23_P327380,NM_003722,1.30,139
HRASLS2,HRAS-like suppressor 2,A_23_P105012,NM_017878,1.31,140
PTK2,PTK2 protein tyrosine kinase 2,A_23_P22096,NM_153831,NA,141
TMEM2,transmembrane protein 2,A_23_P94552,NM_013390,0.69,142
LARGE,like-glycosyltransferase,A_23_P91697,NM_004737,1.35,143
NID67,putative small membrane protein NID67,A_23_P414273,NM_032947,1.31,144
SLAC2-B,SLAC2-B,A_23_P403335,NM_015065,1.34,145
THC2368742,,A_32_P144599,hc,0.74,146
TBC1D8,"TBC1 domain family, member 8 (with GRAM domain)",A_23_P253281,NM_007063,1.32,147
RASSF4,Ras association (RalGDS/AF-6) domain family 4,A_23_P75260,NM_032023,1.30,148
ROBO1,"roundabout, axon guidance receptor, homolog 1 (Drosophila)",A_24_P77432,NM_133631,NA,149
SETBP1,SET binding protein 1,A_23_P4551,NM_015559,1.34,150
AW136683,,A_32_P43664,b,0.71,151
HBD,"hemoglobin, delta",A_23_P87346,NM_000519,0.72,152
KIAA1913,KIAA1913,A_23_P391906,b,1.32,153
FAM46A,"family with sequence similarity 46, member A",A_23_P70660,NM_017633,0.71,154
A_23_P435390,,A_23_P435390,0,0.72,155
BC068588,,A_32_P94199,b,NA,156
U21252,,A_24_P608268,b,0.69,157
ARG99,ARG99 protein,A_32_P2452,b,0.70,158
SASH1,SAM and SH3 domain containing 1,A_23_P93442,NM_015278,0.69,159
AF275804,,A_32_P104063,b,1.27,160
STEAP1,six transmembrane epithelial antigen of the prostate 1,A_24_P406334,NM_012449,0.70,161
LRRK2,leucine-rich repeat kinase 2,A_23_P128447,b,0.70,162
RIMS2,regulating synaptic membrane exocytosis 2,A_23_P147786,NM_014677,0.73,163
IL17RB,interleukin 17 receptor B,A_24_P157370,NM_172234,0.72,164
MAN2A1,"mannosidase, alpha, class 2A, member 1",A_23_P360769,NM_002372,0.74,165
TRBV5-4,T cell receptor beta variable 5-4,A_23_P352861,b,1.32,166
G2,G2 protein,A_24_P727884,b,1.32,167
C1orf96,chromosome 1 open reading frame 96,A_32_P83776,NM_145257,0.73,168
TSPAN5,tetraspanin 5,A_23_P61886,b,0.73,169
IGLL1,immunoglobulin lambda-like polypeptide 1,A_24_P83102,NM_020070,0.74,170
RAB31,"RAB31, member RAS oncogene family",A_24_P236799,NM_006868,1.33,171
CR595522,,A_24_P879740,b,0.70,172
ADCY1,adenylate cyclase 1 (brain),A_24_P577694,NM_021116,1.33,173
KIF1B,kinesin family member 1B,A_24_P145066,NM_183416,NA,174
AK123972,,A_32_P32413,b,1.33,175
CR613944,,A_24_P867201,b,0.74,176
LOC440370,similar to immunoglobulin M chain,A_24_P341126,XM_496158,0.72,177
CYP2J2,"cytochrome P450, family 2, subfamily J, polypeptide 2",A_23_P103486,NM_000775,0.73,178
DLGAP1,"discs, large (Drosophila) homolog-associated protein 1",A_24_P62367,NM_004746,NA,179
IMP-1,IGF-II mRNA-binding protein 1,A_23_P83498,NM_006546,0.74,180
FA2H,fatty acid 2-hydroxylase,A_23_P49448,NM_024306,1.27,181
FAM59A,"family with sequence similarity 59, member A",A_24_P370042,NM_022751,NA,182
IGLV6-57,immunoglobulin lambda variable 6-57,A_24_P361816,b,0.74,183
CHL1,cell adhesion molecule with homology to L1CAM (close homolog of L1),A_23_P212241,NM_006614,0.71,184
SASH1,SAM and SH3 domain containing 1,A_24_P658584,NM_015278,0.71,185
BAG3,BCL2-associated athanogene 3,A_23_P52552,NM_004281,1.32,186
AF131834,,A_32_P83049,b,1.31,187
MT1X,metallothionein 1X,A_23_P303242,NM_005952,0.73,188
HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",A_24_P852756,NM_020056,1.28,189
CYB5R2,cytochrome b5 reductase 2,A_23_P2181,NM_001001336,1.31,190
NCR3,natural cytotoxicity triggering receptor 3,A_23_P251881,NM_147130,1.30,191
MT1H,metallothionein 1H,A_23_P414343,NM_005951,0.73,192
HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",A_24_P393230,NM_002122,NA,193
FAM82A,"family with sequence similarity 82, member A",A_24_P131392,NM_144713,1.29,194
A_23_P256973,,A_23_P256973,0,0.74,195
EPDR1,ependymin related protein 1 (zebrafish),A_24_P166613,NM_017549,0.71,196
SEMA6A,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",A_23_P7752,NM_020796,1.27,197
LOC131076,hypothetical LOC131076,A_32_P215113,NM_001017928,0.76,198
MT1X,metallothionein 1X,A_24_P125096,NM_005952,0.73,199
ALDH7A1,"aldehyde dehydrogenase 7 family, member A1",A_23_P70231,NM_001182,0.76,200
PITX2,paired-like homeodomain transcription factor 2,A_23_P167367,NM_153426,0.73,201
PRKCH,"protein kinase C, eta",A_23_P205567,NM_006255,1.29,202
OLIG1,oligodendrocyte transcription factor 1,A_23_P154849,NM_138983,NA,203
ENST00000358800,,A_24_P101226,ns,NA,204
D4S234E,DNA segment on chromosome 4 (unique) 234 expressed sequence,A_23_P371107,NM_014392,0.72,205
ENST00000359488,,A_23_P21260,ns,0.76,206
DMN,desmuslin,A_24_P104407,NM_145728,0.74,207
TIAM2,T-cell lymphoma invasion and metastasis 2,A_24_P303454,NM_012454,1.28,208
LAD1,ladinin 1,A_23_P415510,NM_005558,0.75,209
AY003763,,A_23_P73328,b,0.72,210
EPS8,epidermal growth factor receptor pathway substrate 8,A_23_P136347,NM_004447,0.71,211
SFRS6,"splicing factor, arginine/serine-rich 6",A_23_P109017,NM_006275,0.76,212
PCNXL3,pecanex-like 3 (Drosophila),A_24_P333123,b,1.30,213
C14orf105,chromosome 14 open reading frame 105,A_23_P3065,NM_018168,NA,214
THC2341615,,A_32_P200970,hc,0.73,215
GHSR,growth hormone secretagogue receptor,A_23_P109864,NM_004122,1.29,216
DKFZP434F0318,hypothetical protein DKFZp434F0318,A_23_P48217,NM_030817,1.29,217
JAZF1,juxtaposed with another zinc finger gene 1,A_32_P36694,NM_175061,NA,218
PPIC,peptidylprolyl isomerase C (cyclophilin C),A_23_P84018,NM_000943,0.73,219
SPINT2,"serine protease inhibitor, Kunitz type, 2",A_23_P27795,NM_021102,1.27,220
A_24_P345290,,A_24_P345290,0,1.28,221
TNFSF11,"tumor necrosis factor (ligand) superfamily, member 11",A_23_P99386,NM_003701,1.29,222
BC032451,,A_23_P21800,b,0.75,223
CLIC6,chloride intracellular channel 6,A_23_P385067,NM_053277,1.27,224
GIMAP1,"GTPase, IMAP family member 1",A_23_P427023,NM_130759,1.30,225
ADD3,adducin 3 (gamma),A_23_P202435,NM_016824,0.77,226
ENST00000259219,,A_24_P212024,ns,0.76,227
PRTFDC1,phosphoribosyl transferase domain containing 1,A_23_P202004,NM_020200,0.75,228
CHL1,cell adhesion molecule with homology to L1CAM (close homolog of L1),A_24_P63178,NM_006614,NA,229
HLA-DPB2,"major histocompatibility complex, class II, DP beta 2 (pseudogene)",A_32_P505730,b,1.28,230
ENST00000216649,,A_24_P315854,ns,0.74,231
ADAM23,a disintegrin and metalloproteinase domain 23,A_23_P351667,NM_003812,NA,232
BC030813,,A_32_P39440,b,0.75,233
FAM59A,"family with sequence similarity 59, member A",A_23_P66948,NM_022751,0.74,234
PTPNS1,"protein tyrosine phosphatase, non-receptor type substrate 1",A_23_P210708,NM_080792,1.30,235
FAM46C,"family with sequence similarity 46, member C",A_23_P137751,NM_017709,NA,236
AK131023,,A_24_P467073,b,0.71,237
KIAA1913,KIAA1913,A_32_P40288,NM_052913,1.29,238
MAP1B,microtubule-associated protein 1B,A_24_P123385,NM_005909,0.71,239
ENST00000359714,,A_24_P298805,ns,0.74,240
PBX4,pre-B-cell leukemia transcription factor 4,A_23_P90419,NM_025245,1.27,241
KLF7,Kruppel-like factor 7 (ubiquitous),A_23_P67980,NM_003709,1.26,242
AF086442,,A_23_P156996,b,0.78,243
AREG,amphiregulin (schwannoma-derived growth factor),A_23_P259071,NM_001657,0.77,244
G0S2,putative lymphocyte G0/G1 switch gene,A_23_P74609,NM_015714,1.28,245
MT1L,metallothionein 1L,A_23_P427703,b,0.74,246
ENST00000310579,,A_24_P66578,ns,0.76,247
MGC27165,hypothetical protein MGC27165,A_23_P124632,b,0.74,248
ADORA2B,adenosine A2b receptor,A_23_P55477,NM_000676,0.76,249
GPR18,G protein-coupled receptor 18,A_23_P14165,NM_005292,0.75,250
NR4A3,"nuclear receptor subfamily 4, group A, member 3",A_23_P398566,NM_173198,1.28,251
THC2283605,,A_32_P227921,hc,0.75,252
DAPK2,death-associated protein kinase 2,A_24_P10233,NM_014326,1.28,253
PHACTR1,phosphatase and actin regulator 1,A_32_P52018,NM_030948,1.26,254
ENST00000216649,,A_24_P813550,ns,0.75,255
TGFBI,"transforming growth factor, beta-induced, 68kDa",A_23_P156327,NM_000358,0.75,256
THC2371729,,A_24_P414376,hc,1.27,257
CRIM1,cysteine rich transmembrane BMP regulator 1 (chordin-like),A_23_P51105,NM_016441,0.76,258
BC022881,,A_24_P910030,b,1.23,259
C2orf12,chromosome 2 open reading frame 12,A_23_P431410,b,0.76,260
MT2A,metallothionein 2A,A_24_P361896,NM_005953,0.75,261
TIMD4,T-cell immunoglobulin and mucin domain containing 4,A_23_P7503,NM_138379,0.73,262
BEX2,brain expressed X-linked 2,A_23_P22735,NM_032621,1.28,263
ENST00000238875,,A_23_P210330,ns,1.28,264
SPRY2,sprouty homolog 2 (Drosophila),A_23_P128698,NM_005842,0.74,265
EPHB1,EPH receptor B1,A_23_P166993,NM_004441,0.75,266
KIAA1666,KIAA1666 protein,A_23_P154962,b,0.76,267
AK097976,,A_24_P944253,b,1.28,268
SCAM-1,vinexin beta (SH3-containing adaptor molecule-1),A_23_P300714,NM_005775,0.76,269
PECAM1,platelet/endothelial cell adhesion molecule (CD31 antigen),A_23_P252471,NM_000442,0.75,270
CD96,CD96 antigen,A_23_P44155,NM_198196,0.73,271
MT2A,metallothionein 2A,A_23_P106844,NM_005953,0.75,272
CRTAM,class-I MHC-restricted T cell associated molecule,A_23_P305092,NM_019604,NA,273
ENST00000253720,,A_23_P90125,ns,1.28,274
TSC,hypothetical protein FLJ20607,A_23_P76538,NM_017899,1.26,275
CSRP2,cysteine and glycine-rich protein 2,A_23_P44724,NM_001321,0.74,276
BC030813,,A_24_P357847,b,0.79,277
CEBPD,"CCAAT/enhancer binding protein (C/EBP), delta",A_23_P31810,NM_005195,0.76,278
APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",A_24_P372613,NM_001164,1.26,279
RGS20,regulator of G-protein signalling 20,A_23_P73097,NM_170587,0.78,280
RAB6IP1,RAB6 interacting protein 1,A_23_P321201,NM_015213,1.27,281
IGF1,insulin-like growth factor 1 (somatomedin C),A_24_P398572,NM_000618,NA,282
ID2,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein",A_23_P143143,NM_002166,0.77,283
A_24_P780319,,A_24_P780319,0,0.77,284
RASSF4,Ras association (RalGDS/AF-6) domain family 4,A_24_P295590,NM_032023,1.25,285
LRRC1,leucine rich repeat containing 1,A_23_P215024,NM_018214,0.75,286
HIST2H3C,"histone 2, H3c",A_23_P435029,b,0.77,287
HIST1H3D,"histone 1, H3d",A_23_P219045,NM_003530,0.78,288
GLIS3,GLIS family zinc finger 3,A_32_P39394,b,NA,289
ENST00000245185,,A_23_P252413,ns,0.76,290
THC2336549,,A_24_P707530,hc,1.19,291
CDKL5,cyclin-dependent kinase-like 5,A_24_P282343,NM_003159,1.29,292
IL1B,"interleukin 1, beta",A_23_P79518,NM_000576,1.27,293
PIP3-E,phosphoinositide-binding protein PIP3-E,A_24_P940059,NM_015553,0.73,294
LRAP,leukocyte-derived arginine aminopeptidase,A_23_P30243,NM_022350,1.23,295
SLC23A2,"solute carrier family 23 (nucleobase transporters), member 2",A_24_P254278,NM_203327,1.25,296
APOL6,"apolipoprotein L, 6",A_24_P941167,b,0.79,297
AF111801,,A_24_P217904,b,1.29,298
KIAA0992,palladin,A_23_P213102,NM_016081,0.77,299
SCARB2,"scavenger receptor class B, member 2",A_24_P54879,NM_005506,0.78,300
LOC91353,similar to omega protein,A_24_P239076,NM_001013618,0.77,301
GAS2,growth arrest-specific 2,A_32_P24140,NM_005256,0.75,302
PRDM1,"PR domain containing 1, with ZNF domain",A_23_P350451,NM_001198,0.77,303
CST3,cystatin C (amyloid angiopathy and cerebral hemorrhage),A_24_P216294,NM_000099,0.78,304
LFNG,lunatic fringe homolog (Drosophila),A_23_P8452,NM_002304,0.76,305
ARHGAP6,Rho GTPase activating protein 6,A_23_P217428,NM_001174,0.75,306
LOC339263,hypothetical protein LOC339263,A_24_P59607,b,1.24,307
AF267875,,A_24_P179107,b,0.78,308
SBF1,SET binding factor 1,A_23_P109606,NM_002972,0.79,309
HIG2,hypoxia-inducible protein 2,A_23_P20022,NM_013332,1.24,310
SERPINB10,"serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 10",A_23_P313981,NM_005024,1.24,311
TNN,tenascin N,A_32_P480177,NM_022093,0.78,312
IFI27,"interferon, alpha-inducible protein 27",A_23_P48513,NM_005532,0.76,313
IRF5,interferon regulatory factor 5,A_24_P363609,NM_002200,1.22,314
THC2411433,,A_24_P820302,hc,0.76,315
AA665072,,A_32_P177685,b,1.25,316
IGJ,"immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides",A_23_P167168,NM_144646,0.76,317
MARVELD1,MARVEL domain containing 1,A_23_P138725,NM_031484,0.75,318
KIAA0746,KIAA0746 protein,A_23_P426021,NM_015187,1.25,319
AMPD3,adenosine monophosphate deaminase (isoform E),A_23_P116286,NM_000480,1.25,320
MT1G,metallothionein 1G,A_23_P60933,NM_005950,0.77,321
C1orf153,chromosome 1 open reading frame 153,A_24_P418408,NM_198552,1.23,322
SLC2A14,"solute carrier family 2 (facilitated glucose transporter), member 14",A_32_P47754,b,1.24,323
AJ245002,,A_24_P750327,b,0.78,324
TACSTD2,tumor-associated calcium signal transducer 2,A_23_P149529,NM_002353,NA,325
ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),A_23_P36745,NM_000690,0.77,326
EGR2,"early growth response 2 (Krox-20 homolog, Drosophila)",A_23_P46936,NM_000399,1.27,327
UGT2B15,"UDP glucuronosyltransferase 2 family, polypeptide B15",A_23_P58407,NM_001076,0.76,328
MGC15476,thymus expressed gene 3-like,A_23_P360964,NM_145056,1.28,329
IGSF3,"immunoglobulin superfamily, member 3",A_24_P182461,NM_001542,1.25,330
IFNG,"interferon, gamma",A_23_P151294,NM_000619,NA,331
BC017937,,A_24_P350708,b,0.78,332
RSNL2,restin-like 2,A_23_P417363,b,1.23,333
HSPC159,HSPC159 protein,A_23_P430818,NM_014181,1.25,334
A_23_P61068,,A_23_P61068,0,0.81,335
UGT2B17,"UDP glucuronosyltransferase 2 family, polypeptide B17",A_23_P501624,NM_001077,0.75,336
THC2308165,,A_32_P46171,hc,1.20,337
AK130644,,A_23_P106412,b,NA,338
C20orf103,chromosome 20 open reading frame 103,A_23_P40295,NM_012261,0.78,339
UGT2B10,"UDP glucuronosyltransferase 2 family, polypeptide B10",A_24_P521559,NM_001075,0.78,340
LGALS3,"lectin, galactoside-binding, soluble, 3 (galectin 3)",A_23_P128919,NM_002306,0.78,341
HIST1H1D,"histone 1, H1d",A_24_P260639,NM_005320,0.78,342
HIST1H1E,"histone 1, H1e",A_23_P7976,NM_005321,0.78,343
IFI27,"interferon, alpha-inducible protein 27",A_24_P270460,NM_005532,0.77,344
AK125077,,A_24_P817209,b,NA,345
AMPD3,adenosine monophosphate deaminase (isoform E),A_24_P304154,NM_000480,1.25,346
STEAP2,six transmembrane epithelial antigen of the prostate 2,A_23_P428260,NM_152999,0.77,347
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_23_P66473,NM_181671,1.23,348
CD44,CD44 antigen (homing function and Indian blood group system),A_23_P24870,NM_000610,1.24,349
MT1F,metallothionein 1F (functional),A_23_P15174,NM_005949,0.79,350
A_32_P135450,,A_32_P135450,0,1.19,351
TSPAN5,tetraspanin 5,A_23_P323930,NM_005723,0.78,352
ENST00000295410,,A_24_P626951,ns,0.79,353
MGC24125,hypothetical protein MGC24125,A_23_P379111,b,1.24,354
LOC200030,hypothetical protein LOC200030,A_24_P135061,NM_183372,1.23,355
AE2,hypothetical protein AE2,A_24_P345081,NM_032264,1.23,356
CREB5,cAMP responsive element binding protein 5,A_23_P157117,NM_182898,1.25,357
HDAC7A,histone deacetylase 7A,A_24_P647146,NM_015401,1.25,358
LILRB3,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3",A_32_P70158,NM_006864,1.27,359
C13orf18,chromosome 13 open reading frame 18,A_23_P53763,NM_025113,1.26,360
FLJ35773,hypothetical protein FLJ35773,A_23_P340218,NM_152599,1.23,361
BEX1,"brain expressed, X-linked 1",A_23_P159952,NM_018476,NA,362
LOC401967,similar to KIAA1693 protein,A_24_P625683,XM_496406,1.23,363
ITGB8,"integrin, beta 8",A_32_P117322,b,0.78,364
BC014452,,A_23_P345445,b,NA,365
ZNF114,zinc finger protein 114,A_23_P368779,NM_153608,NA,366
CLDN23,claudin 23,A_23_P134854,NM_194284,0.79,367
A_23_P170713,,A_23_P170713,0,0.78,368
LEF1,lymphoid enhancer-binding factor 1,A_24_P20630,NM_016269,1.23,369
UCP2,"uncoupling protein 2 (mitochondrial, proton carrier)",A_23_P47704,NM_003355,0.80,370
CCND2,cyclin D2,A_24_P270235,NM_001759,0.78,371
APOC1,apolipoprotein C-I,A_23_P4649,NM_001645,1.25,372
RP11-450P7.3,hypothetical protein FLJ34960,A_23_P428887,NM_153270,0.80,373
BTBD14A,BTB (POZ) domain containing 14A,A_23_P113825,NM_144653,0.79,374
CTRB1,chymotrypsinogen B1,A_23_P431139,NM_001906,NA,375
CXCL10,chemokine (C-X-C motif) ligand 10,A_24_P303091,NM_001565,0.84,376
