symbol,GeneName,ProbeName,RefSeq,FC,RP rank
IGKC,immunoglobulin kappa constant,A_24_P272146,b,0.7,106
WFDC2,WAP four-disulfide core domain 2,A_24_P14464,NM_080736,0.6771,107
THC2428956,,A_24_P169713,hc,0.6951,108
ADAM23,a disintegrin and metalloproteinase domain 23,A_23_P351667,NM_003812,NA,109
MAL,"mal, T-cell differentiation protein",A_23_P17134,NM_002371,1.406,110
BX640947,,A_24_P852001,b,0.7052,111
FYN,"FYN oncogene related to SRC, FGR, YES",A_23_P502142,NM_002037,1.3643,112
FLJ14167,hypothetical protein FLJ14167,A_24_P339429,b,0.723,113
FABP6,"fatty acid binding protein 6, ileal (gastrotropin)",A_23_P43846,NM_001445,1.3889,114
MYO1B,myosin IB,A_23_P361049,NM_012223,NA,115
CDKL5,cyclin-dependent kinase-like 5,A_24_P282343,NM_003159,1.3787,116
CTNNA2,"catenin (cadherin-associated protein), alpha 2",A_23_P84736,NM_004389,NA,117
UBD,ubiquitin D,A_23_P81898,NM_006398,1.3456,118
DLG3,"discs, large homolog 3 (neuroendocrine-dlg, Drosophila)",A_24_P945283,b,0.7236,119
NP102468,,A_24_P16004,hc,0.7129,120
ENST00000358800,,A_24_P101226,ns,NA,121
BAMBI,BMP and activin membrane-bound inhibitor homolog (Xenopus laevis),A_23_P52207,NM_012342,0.7003,122
IRS1,insulin receptor substrate 1,A_24_P225679,NM_005544,NA,123
ROBO1,"roundabout, axon guidance receptor, homolog 1 (Drosophila)",A_24_P77432,NM_133631,NA,124
MGC27165,hypothetical protein MGC27165,A_23_P124632,b,0.7186,125
AK026984,,A_32_P72758,b,0.6702,126
ADCY1,adenylate cyclase 1 (brain),A_24_P577694,NM_021116,1.3583,127
THC2363099,,A_24_P920207,hc,0.7391,128
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_24_P772103,b,NA,129
GLUL,glutamate-ammonia ligase (glutamine synthase),A_24_P53976,NM_002065,1.3464,130
GIMAP1,"GTPase, IMAP family member 1",A_23_P427023,NM_130759,1.3471,131
RHOU,"ras homolog gene family, member U",A_24_P62530,NM_021205,NA,132
ENST00000361286,,A_24_P315862,ns,0.7353,133
GAS2,growth arrest-specific 2,A_32_P24140,NM_005256,0.6555,134
ENST00000359714,,A_24_P298805,ns,0.716,135
RNF130,ring finger protein 130,A_23_P41734,NM_018434,NA,136
FLJ31978,hypothetical protein FLJ31978,A_32_P19294,NM_144669,1.358,137
TRBV5-4,T cell receptor beta variable 5-4,A_23_P352861,b,1.3357,138
IGHM,immunoglobulin heavy constant mu,A_24_P417352,b,0.711,139
PBX4,pre-B-cell leukemia transcription factor 4,A_23_P90419,NM_025245,1.3085,140
D4S234E,DNA segment on chromosome 4 (unique) 234 expressed sequence,A_23_P371107,NM_014392,0.7121,141
A_23_P158868,,A_23_P158868,0,0.7104,142
PITX2,paired-like homeodomain transcription factor 2,A_23_P167367,NM_153426,0.7356,143
AF035035,,A_24_P93523,b,0.7173,144
DZIP1,DAZ interacting protein 1,A_23_P14157,NM_198968,1.2856,145
TNFAIP2,"tumor necrosis factor, alpha-induced protein 2",A_23_P421423,NM_006291,1.3125,146
THC2298931,,A_32_P137826,hc,0.7315,147
PPIC,peptidylprolyl isomerase C (cyclophilin C),A_23_P84018,NM_000943,0.6876,148
CXCL14,chemokine (C-X-C motif) ligand 14,A_23_P213745,NM_004887,NA,149
D83692,,A_24_P315941,b,NA,150
AY003763,,A_23_P73328,b,0.7313,151
NALP2,"NACHT, leucine rich repeat and PYD containing 2",A_24_P213161,NM_017852,0.7369,152
ARG99,ARG99 protein,A_32_P2452,b,0.6961,153
SIGLEC5,sialic acid binding Ig-like lectin 5,A_23_P15995,NM_003830,1.3013,154
SUCNR1,succinate receptor 1,A_23_P69171,NM_033050,NA,155
OLIG1,oligodendrocyte transcription factor 1,A_23_P154849,NM_138983,NA,156
C10orf10,chromosome 10 open reading frame 10,A_24_P329795,NM_007021,1.2925,157
THC2374165,,A_32_P221429,hc,0.6728,158
SLCO4C1,"solute carrier organic anion transporter family, member 4C1",A_32_P154342,NM_180991,0.6923,159
MAP1B,microtubule-associated protein 1B,A_24_P123385,NM_005909,0.6826,160
NOTCH2,Notch homolog 2 (Drosophila),A_23_P200792,NM_024408,1.3195,161
LRRK2,leucine-rich repeat kinase 2,A_23_P128447,b,0.7005,162
MIA,melanoma inhibitory activity,A_23_P4714,NM_006533,1.2864,163
HOXB2,homeo box B2,A_23_P107283,NM_002145,0.6401,164
AK097976,,A_24_P944253,b,1.3313,165
GALNT14,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14),A_23_P67847,NM_024572,0.799,166
AK124953,,A_24_P649327,b,1.305,167
FXYD2,FXYD domain containing ion transport regulator 2,A_23_P161769,NM_021603,0.7064,168
LOC440370,similar to immunoglobulin M chain,A_24_P341126,XM_496158,0.7499,169
PRKCZ,"protein kinase C, zeta",A_23_P51187,NM_002744,0.7269,170
A_24_P490109,,A_24_P490109,0,0.7379,171
DDX43,DEAD (Asp-Glu-Ala-Asp) box polypeptide 43,A_23_P156445,NM_018665,1.275,172
DERP6,S-phase 2 protein,A_23_P164289,NM_203414,1.3024,173
A_23_P207049,,A_23_P207049,0,1.2925,174
LOC124220,similar to common salivary protein 1,A_23_P118203,NM_145252,1.3166,175
ZBP1,Z-DNA binding protein 1,A_23_P259141,NM_030776,0.7543,176
HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",A_24_P326084,b,1.1747,177
CD96,CD96 antigen,A_23_P44155,NM_198196,0.702,178
BE004814,,A_32_P226525,b,1.282,179
ACPP,"acid phosphatase, prostate",A_24_P46130,NM_001099,NA,180
UCHL1,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase),A_23_P132956,NM_004181,0.6962,181
CR617033,,A_32_P29618,b,NA,182
A_24_P413286,,A_24_P413286,0,0.8134,183
KLHL13,kelch-like 13 (Drosophila),A_23_P159974,NM_033495,1.277,184
ENST00000360102,,A_32_P51988,ns,0.7351,185
BCAT1,"branched chain aminotransferase 1, cytosolic",A_24_P935986,NM_005504,1.3063,186
BC030813,,A_32_P39440,b,0.7664,187
VIM,vimentin,A_23_P161194,NM_003380,0.748,188
VIM,vimentin,A_23_P161190,NM_003380,0.7501,189
LAMB3,"laminin, beta 3",A_23_P86012,NM_001017402,1.3111,190
DKFZp434E2321,hypothetical protein DKFZp434E2321,A_23_P401718,NM_207310,1.284,191
DUSP6,dual specificity phosphatase 6,A_23_P139704,NM_001946,0.7402,192
COL5A1,"collagen, type V, alpha 1",A_23_P158593,NM_000093,0.7259,193
RIMS3,regulating synaptic membrane exocytosis 3,A_23_P319583,NM_014747,0.7522,194
CRIM1,cysteine rich transmembrane BMP regulator 1 (chordin-like),A_24_P11575,NM_016441,NA,195
OGDHL,oxoglutarate dehydrogenase-like,A_23_P161297,NM_018245,1.2692,196
AF131834,,A_32_P83049,b,1.2187,197
TBC1D8,"TBC1 domain family, member 8 (with GRAM domain)",A_23_P253281,NM_007063,1.3048,198
EGLN3,egl nine homolog 3 (C. elegans),A_23_P360379,NM_022073,0.6955,199
DACT1,"dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)",A_23_P65518,NM_016651,0.7059,200
ENST00000331696,,A_32_P148118,ns,0.7647,201
A_24_P596251,,A_24_P596251,0,0.7561,202
FHOD3,formin homology 2 domain containing 3,A_32_P34444,NM_025135,1.2146,203
TNFRSF8,"tumor necrosis factor receptor superfamily, member 8",A_23_P500614,NM_001243,1.2656,204
THC2275252,,A_23_P136753,hc,0.7685,205
TTMP,TPA-induced transmembrane protein,A_23_P58009,NM_024616,NA,206
JAZF1,juxtaposed with another zinc finger gene 1,A_32_P36694,NM_175061,NA,207
MTP,"microsomal triglyceride transfer protein (large polypeptide, 88kDa)",A_23_P213171,NM_000253,0.7326,208
STAG3,stromal antigen 3,A_23_P145657,NM_012447,1.2653,209
C1orf165,chromosome 1 open reading frame 165,A_23_P904,NM_024603,NA,210
PERP,"PERP, TP53 apoptosis effector",A_23_P214950,NM_022121,1.3377,211
ENST00000360329,,A_23_P140190,ns,0.709,212
FAM59A,"family with sequence similarity 59, member A",A_23_P66948,NM_022751,0.7401,213
PTPLA,"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a",A_23_P161352,NM_014241,0.741,214
IFI27,"interferon, alpha-inducible protein 27",A_23_P48513,NM_005532,0.7589,215
MGC34725,hypothetical protein MGC34725,A_23_P313550,NM_173637,1.2782,216
RASSF6,Ras association (RalGDS/AF-6) domain family 6,A_23_P302404,NM_201431,NA,217
FOXP1,forkhead box P1,A_23_P155257,NM_032682,0.7219,218
C2orf12,chromosome 2 open reading frame 12,A_23_P431410,b,0.7641,219
ZNF608,zinc finger protein 608,A_23_P169978,NM_020747,NA,220
RGS2,"regulator of G-protein signalling 2, 24kDa",A_23_P114947,NM_002923,0.732,221
BC030813,,A_24_P357847,b,0.7916,222
DKFZp434E2321,hypothetical protein DKFZp434E2321,A_23_P381102,NM_207310,1.27,223
HLXB9,homeo box HB9,A_32_P6015,NM_005515,0.7138,224
IFI27,"interferon, alpha-inducible protein 27",A_24_P270460,NM_005532,0.762,225
A_23_P9997,,A_23_P9997,0,0.7676,226
FHL2,four and a half LIM domains 2,A_23_P108751,NM_201555,1.3066,227
CA2,carbonic anhydrase II,A_23_P8913,NM_000067,0.7594,228
ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",A_23_P301530,NM_020987,NA,229
SYNPO2L,synaptopodin 2-like,A_23_P355517,NM_024875,1.247,230
ENST00000358998,,A_24_P759647,ns,0.763,231
BC073935,,A_32_P221305,b,0.743,232
HRASLS3,HRAS-like suppressor 3,A_23_P116414,NM_007069,1.2695,233
THC2394165,,A_32_P49764,hc,0.7441,234
THC2371729,,A_24_P414376,hc,1.153,235
FCRL5,Fc receptor-like 5,A_23_P201211,NM_031281,0.7439,236
FEZ1,fasciculation and elongation protein zeta 1 (zygin I),A_23_P202881,NM_005103,1.283,237
THC2429043,,A_23_P159435,hc,0.726,238
ETV7,ets variant gene 7 (TEL2 oncogene),A_23_P42353,NM_016135,1.308,239
MYO10,myosin X,A_23_P7596,NM_012334,NA,240
A_24_P323298,,A_24_P323298,0,0.7605,241
PSCD3,"pleckstrin homology, Sec7 and coiled-coil domains 3",A_23_P111593,NM_004227,1.2678,242
ACTN1,"actinin, alpha 1",A_24_P107695,NM_001102,0.7613,243
HNRPLL,heterogeneous nuclear ribonucleoprotein L-like,A_24_P916378,b,1.2613,244
THC2374066,,A_32_P126733,hc,1.2237,245
THC2435579,,A_24_P686247,hc,1.2713,246
IL12RB2,"interleukin 12 receptor, beta 2",A_23_P72077,NM_001559,NA,247
CEBPD,"CCAAT/enhancer binding protein (C/EBP), delta",A_23_P31810,NM_005195,0.7618,248
BAG3,BCL2-associated athanogene 3,A_23_P52552,NM_004281,1.2845,249
GHSR,growth hormone secretagogue receptor,A_23_P109864,NM_004122,1.2575,250
HOOK1,hook homolog 1 (Drosophila),A_23_P114879,NM_015888,0.7289,251
AW136683,,A_32_P43664,b,0.7565,252
CHL1,cell adhesion molecule with homology to L1CAM (close homolog of L1),A_23_P212241,NM_006614,NA,253
AJ294733,,A_24_P24371,b,0.7756,254
NEXN,nexilin (F actin binding protein),A_24_P409971,NM_144573,1.2812,255
NEFH,"neurofilament, heavy polypeptide 200kDa",A_23_P300600,NM_021076,0.7449,256
TMEM22,transmembrane protein 22,A_23_P109655,NM_025246,1.3032,257
IMP-1,IGF-II mRNA-binding protein 1,A_23_P83498,NM_006546,0.7643,258
THC2368742,,A_32_P144599,hc,0.7739,259
CLIC2,chloride intracellular channel 2,A_23_P45456,NM_001289,1.2478,260
CHST6,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6,A_23_P106922,NM_021615,NA,261
ENST00000319234,,A_23_P41476,ns,1.238,262
PTPNS1,"protein tyrosine phosphatase, non-receptor type substrate 1",A_23_P210708,NM_080792,1.267,263
BX095305,,A_32_P158019,b,1.2708,264
SETBP1,SET binding protein 1,A_23_P4551,NM_015559,1.2806,265
CLIC6,chloride intracellular channel 6,A_23_P385067,NM_053277,1.2787,266
PFN2,profilin 2,A_23_P253301,NM_053024,1.2704,267
TNFRSF19,"tumor necrosis factor receptor superfamily, member 19",A_24_P56310,NM_148957,NA,268
THC2385388,,A_32_P178746,hc,1.2775,269
MICAL2,"microtubule associated monoxygenase, calponin and LIM domain containing 2",A_23_P24843,NM_014632,0.7621,270
HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",A_23_P42302,NM_020056,1.1153,271
IGJ,"immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides",A_23_P167168,NM_144646,0.7636,272
C15orf27,chromosome 15 open reading frame 27,A_23_P88678,NM_152335,1.2795,273
PLAG1,pleiomorphic adenoma gene 1,A_23_P411723,NM_002655,1.2534,274
OACT2,O-acyltransferase (membrane bound) domain containing 2,A_23_P370635,NM_138799,1.1889,275
A_32_P82293,,A_32_P82293,0,1.2501,276
TANC,"TPR domain, ankyrin-repeat and coiled-coil-containing",A_23_P388400,NM_033394,1.2564,277
AK124946,,A_24_P270424,b,1.2662,278
RGS13,regulator of G-protein signalling 13,A_23_P500093,NM_002927,NA,279
CKAP4,cytoskeleton-associated protein 4,A_23_P48056,NM_006825,0.7772,280
STEAP1,six transmembrane epithelial antigen of the prostate 1,A_23_P31453,NM_012449,0.7261,281
AMICA1,"adhesion molecule, interacts with CXADR antigen 1",A_24_P192914,NM_153206,0.7318,282
ASPA,"aspartoacylase (aminoacylase 2, Canavan disease)",A_23_P164436,NM_000049,1.2977,283
SNTB1,"syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)",A_23_P95029,NM_021021,0.7664,284
ACTN1,"actinin, alpha 1",A_23_P105957,NM_001102,0.7728,285
THC2376817,,A_32_P172578,hc,0.7477,286
MGC34830,hypothetical protein MGC34830,A_23_P64121,NM_152314,NA,287
ENST00000307840,,A_23_P350782,ns,0.7726,288
CR603982,,A_32_P146635,b,1.2352,289
BC022881,,A_24_P910030,b,1.221,290
FAM59A,"family with sequence similarity 59, member A",A_24_P370042,NM_022751,NA,291
THC2283605,,A_32_P227921,hc,0.7541,292
STEAP1,six transmembrane epithelial antigen of the prostate 1,A_32_P69149,NM_012449,0.7266,293
IL13,interleukin 13,A_23_P251031,NM_002188,1.2334,294
SASH1,SAM and SH3 domain containing 1,A_24_P658584,NM_015278,NA,295
ENST00000238875,,A_23_P210330,ns,1.2693,296
ENST00000252804,,A_23_P257144,ns,NA,297
HRASLS2,HRAS-like suppressor 2,A_24_P364263,NM_017878,1.2452,298
CLEC2D,"C-type lectin superfamily 2, member D",A_24_P241183,NM_013269,0.7818,299
AL832717,,A_24_P944154,b,0.7597,300
ZAP70,zeta-chain (TCR) associated protein kinase 70kDa,A_23_P39682,NM_001079,0.7893,301
HTR2B,5-hydroxytryptamine (serotonin) receptor 2B,A_23_P16953,NM_000867,NA,302
ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),A_23_P36745,NM_000690,0.7571,303
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_23_P84189,NM_181671,1.2536,304
AF035040,,A_24_P110618,b,NA,305
NOL4,nucleolar protein 4,A_23_P416766,NM_003787,1.2161,306
CDCP1,CUB domain containing protein 1,A_23_P113613,NM_022842,NA,307
TFPI2,tissue factor pathway inhibitor 2,A_23_P393620,NM_006528,1.2924,308
CCR1,chemokine (C-C motif) receptor 1,A_24_P148717,NM_001295,0.7511,309
FZD1,frizzled homolog 1 (Drosophila),A_24_P38276,NM_003505,0.7702,310
CX3CL1,chemokine (C-X3-C motif) ligand 1,A_23_P37727,NM_002996,1.2696,311
ENST00000322032,,A_23_P61042,ns,0.783,312
THC2375353,,A_32_P224449,hc,0.7739,313
PECAM1,platelet/endothelial cell adhesion molecule (CD31 antigen),A_23_P252471,NM_000442,0.8083,314
SELL,selectin L (lymphocyte adhesion molecule 1),A_23_P103522,NM_000655,0.7866,315
HBD,"hemoglobin, delta",A_23_P87346,NM_000519,0.785,316
RASSF4,Ras association (RalGDS/AF-6) domain family 4,A_23_P75260,NM_032023,1.2623,317
TSC,hypothetical protein FLJ20607,A_23_P76538,NM_017899,1.2469,318
HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",A_24_P852756,NM_020056,1.2383,319
ZFHX2,zinc finger homeobox 2,A_32_P226205,NM_033400,1.2136,320
CK819477,,A_32_P49854,b,0.7941,321
NRCAM,neuronal cell adhesion molecule,A_24_P252364,NM_005010,1.2306,322
THC2310280,,A_23_P63547,hc,1.2279,323
SSTR2,somatostatin receptor 2,A_23_P38630,NM_001050,1.2615,324
LZTFL1,leucine zipper transcription factor-like 1,A_23_P41049,NM_020347,1.2338,325
THC2429019,,A_24_P267814,hc,0.754,326
CYFIP1,cytoplasmic FMR1 interacting protein 1,A_23_P140648,NM_014608,1.2293,327
A_32_P32315,,A_32_P32315,0,1.2448,328
IGLV6-57,immunoglobulin lambda variable 6-57,A_24_P361816,b,0.7968,329
GPR171,G protein-coupled receptor 171,A_23_P253317,NM_013308,0.7825,330
ARTS-1,type 1 tumor necrosis factor receptor shedding aminopeptidase regulator,A_24_P63537,NM_016442,0.7727,331
BC024289,,A_23_P218126,b,0.8073,332
ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),A_23_P36753,NM_000690,0.7653,333
AK027294,,A_24_P372189,b,NA,334
APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",A_24_P372613,NM_001164,1.2339,335
ARG99,ARG99 protein,A_23_P371495,b,NA,336
FLJ32942,hypothetical protein FLJ32942,A_23_P47950,NM_144594,0.8259,337
LRRC1,leucine rich repeat containing 1,A_23_P215024,NM_018214,0.7455,338
SERPINB10,"serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 10",A_23_P313981,NM_005024,1.2486,339
ADARB1,"adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)",A_23_P211207,NM_015833,NA,340
RAB15,"RAB15, member RAS onocogene family",A_24_P193295,NM_198686,1.2227,341
GPR109B,G protein-coupled receptor 109B,A_23_P64721,NM_006018,1.2515,342
CR593388,,A_24_P576191,b,0.7798,343
FAM79B,"family with sequence similarity 79, member B",A_24_P586712,NM_198485,1.226,344
GBP3,guanylate binding protein 3,A_24_P370702,NM_018284,0.81,345
A_24_P50057,,A_24_P50057,0,1.2511,346
PHACTR1,phosphatase and actin regulator 1,A_32_P52018,NM_030948,1.2298,347
FLJ39553,hypothetical protein FLJ39553,A_23_P333029,NM_173549,0.7096,348
CYP1B1,"cytochrome P450, family 1, subfamily B, polypeptide 1",A_23_P209625,NM_000104,1.2393,349
TACSTD2,tumor-associated calcium signal transducer 2,A_23_P149529,NM_002353,1.2702,350
FUCA1,"fucosidase, alpha-L- 1, tissue",A_23_P11543,NM_000147,1.2521,351
CREB5,cAMP responsive element binding protein 5,A_23_P157117,NM_182898,1.2674,352
DDR1,"discoidin domain receptor family, member 1",A_24_P123601,NM_013994,1.237,353
CYB5R2,cytochrome b5 reductase 2,A_23_P2181,NM_001001336,1.241,354
CRIM1,cysteine rich transmembrane BMP regulator 1 (chordin-like),A_23_P51105,NM_016441,NA,355
GRM8,"glutamate receptor, metabotropic 8",A_32_P8221,NM_000845,0.769,356
TANC,"TPR domain, ankyrin-repeat and coiled-coil-containing",A_32_P135348,NM_033394,1.2385,357
BC032451,,A_23_P21800,b,0.8255,358
ATP2B4,"ATPase, Ca++ transporting, plasma membrane 4",A_24_P405205,NM_001001396,1.2346,359
A_23_P360114,,A_23_P360114,0,0.7878,360
LOC283666,hypothetical protein LOC283666,A_32_P7721,b,1.2495,361
CD1C,"CD1C antigen, c polypeptide",A_23_P51767,NM_001765,1.1593,362
PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",A_24_P111096,NM_004566,0.8131,363
IGSF3,"immunoglobulin superfamily, member 3",A_24_P182461,NM_001542,1.25,364
RNF125,ring finger protein 125,A_23_P101141,NM_017831,0.7917,365
AF035034,,A_24_P15550,b,0.8313,366
AK027250,,A_24_P921897,b,NA,367
RP11-450P7.3,hypothetical protein FLJ34960,A_23_P428887,NM_153270,0.8247,368
MOSC2,MOCO sulphurase C-terminal domain containing 2,A_23_P200685,NM_017898,1.2296,369
IGH@,immunoglobulin heavy locus,A_23_P158817,b,0.7957,370
LOC151963,similar to BcDNA:GH11415 gene product,A_32_P117464,NM_178496,1.2389,371
CR613944,,A_24_P867201,b,0.7531,372
HLA-DPB2,"major histocompatibility complex, class II, DP beta 2 (pseudogene)",A_23_P59167,b,NA,373
MGC24125,hypothetical protein MGC24125,A_23_P379111,b,1.2411,374
