Symbol,GeneName,ProbeName,RefSeq,SAM rank
BID,BH3 interacting domain death agonist,A_23_P154929,NM_197966,172
THC2352042,,A_23_P108394,hc,173
DKFZP566M114,hypothetical protein DKFZp566M114,A_23_P213085,b,174
THC2437757,,A_32_P158181,hc,175
KIAA1005,KIAA1005 protein,A_32_P123966,NM_015272,176
CAMLG,calcium modulating ligand,A_23_P213728,NM_001745,177
ENTPD4,ectonucleoside triphosphate diphosphohydrolase 4,A_24_P269598,b,178
WFDC2,WAP four-disulfide core domain 2,A_24_P14464,NM_080736,179
ATP2A2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",A_24_P141786,NM_001681,180
RNF41,ring finger protein 41,A_23_P98884,NM_194358,181
BX648200,,A_23_P111525,b,182
SAV1,salvador homolog 1 (Drosophila),A_24_P287473,NM_021818,183
VWF,von Willebrand factor,A_23_P105562,NM_000552,184
AK001503,,A_23_P78429,b,185
SLC10A3,"solute carrier family 10 (sodium/bile acid cotransporter family), member 3",A_23_P366254,NM_019848,186
A_24_P609932,,A_24_P609932,,187
TNFRSF8,"tumor necrosis factor receptor superfamily, member 8",A_23_P500614,NM_001243,188
JDP2,jun dimerization protein 2,A_32_P17484,b,189
MBTPS1,"membrane-bound transcription factor protease, site 1",A_23_P14946,NM_003791,190
RAB3-GAP150,"rab3 GTPase-activating protein, non-catalytic subunit (150kD)",A_24_P127928,NM_012414,191
CBX7,chromobox homolog 7,A_24_P19410,NM_175709,192
A_24_P780319,,A_24_P780319,,193
BC041913,,A_32_P63086,b,194
NCR3,natural cytotoxicity triggering receptor 3,A_23_P251881,NM_147130,195
CXCL5,chemokine (C-X-C motif) ligand 5,A_23_P110204,NM_002994,196
LOC201229,hypothetical protein LOC201229,A_23_P392126,b,197
FLJ33674,hypothetical protein FLJ33674,A_23_P80626,NM_207351,198
CRYZL1,"crystallin, zeta (quinone reductase)-like 1",A_23_P218731,NM_005111,199
G1P2,"interferon, alpha-inducible protein (clone IFI-15K)",A_23_P819,NM_005101,200
AK096715,,A_24_P135628,b,201
AMPD3,adenosine monophosphate deaminase (isoform E),A_23_P116286,NM_000480,202
PPM1A,"protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform",A_24_P688133,b,203
THC2309459,,A_24_P779605,hc,204
BRMS1L,breast cancer metastasis-suppressor 1-like,A_24_P56484,NM_032352,205
LOC392557,similar to hypothetical protein,A_24_P75469,XM_498399,206
RASSF4,Ras association (RalGDS/AF-6) domain family 4,A_24_P295590,NM_032023,207
TTTY15,"testis-specific transcript, Y-linked 15",A_24_P348861,NR_001545,208
A_24_P41250,,A_24_P41250,,209
LZTFL1,leucine zipper transcription factor-like 1,A_23_P41049,NM_020347,210
FXYD2,FXYD domain containing ion transport regulator 2,A_24_P196562,NM_021603,211
MAN2A1,"mannosidase, alpha, class 2A, member 1",A_23_P18931,NM_002372,212
STK38L,serine/threonine kinase 38 like,A_23_P64743,NM_015000,213
RIMS2,regulating synaptic membrane exocytosis 2,A_23_P147786,NM_014677,214
ZNF160,zinc finger protein 160,A_24_P241792,NM_198893,215
DKFZP434F0318,hypothetical protein DKFZp434F0318,A_23_P48217,NM_030817,216
ENST00000284483,,A_24_P350576,ns,217
BLR1,"Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)",A_24_P252945,NM_032966,218
THC2432207,,A_32_P9057,hc,219
APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",A_24_P372613,NM_001164,220
EPLIN,epithelial protein lost in neoplasm beta,A_23_P151267,NM_016357,221
YEATS2,YEATS domain containing 2,A_23_P69437,NM_018023,222
LOC392793,similar to eukaryotic translation elongation factor 1 beta 2; eukaryotic translation elongation factor 1 beta 1,A_24_P109821,XM_374526,223
TNRC4,trinucleotide repeat containing 4,A_23_P337849,NM_007185,224
LAT,linker for activation of T cells,A_23_P44105,NM_014387,225
C1orf2,chromosome 1 open reading frame 2,A_23_P63101,NM_006589,226
C1orf160,chromosome 1 open reading frame 160,A_23_P97442,NM_032125,227
RBL2,retinoblastoma-like 2 (p130),A_24_P416159,NM_005611,228
AMPD3,adenosine monophosphate deaminase (isoform E),A_24_P304154,NM_000480,229
AK123297,,A_32_P179239,b,230
ZCCHC4,"zinc finger, CCHC domain containing 4",A_24_P248863,b,231
GGA2,"golgi associated, gamma adaptin ear containing, ARF binding protein 2",A_32_P106117,NM_015044,232
BC064610,,A_24_P90022,b,233
MYO18A,myosin XVIIIA,A_23_P78122,NM_078471,234
NMT1,N-myristoyltransferase 1,A_23_P107373,NM_021079,235
IL4R,interleukin 4 receptor,A_23_P129556,NM_000418,236
ENST00000246024,,A_24_P942517,ns,237
DCST2,DC-STAMP domain containing 2,A_23_P314798,NM_144622,238
RERE,arginine-glutamic acid dipeptide (RE) repeats,A_24_P342591,NM_012102,239
MARVELD2,MARVEL domain containing 2,A_23_P401675,NM_144724,240
MYL6,"myosin, light polypeptide 6, alkali, smooth muscle and non-muscle",A_23_P344973,NM_079423,241
GCET2,germinal center expressed transcript 2,A_23_P253250,NM_001008756,242
XM_208554,,A_24_P650562,XM_208554,243
BAK1,BCL2-antagonist/killer 1,A_23_P145357,NM_001188,244
EEF1G,eukaryotic translation elongation factor 1 gamma,A_24_P287198,NM_001404,245
MRPL51,mitochondrial ribosomal protein L51,A_23_P99138,NM_016497,246
RIPK4,receptor-interacting serine-threonine kinase 4,A_23_P211267,NM_020639,247
TNK2,"tyrosine kinase, non-receptor, 2",A_23_P61633,NM_005781,248
BAMBI,BMP and activin membrane-bound inhibitor homolog (Xenopus laevis),A_23_P52207,NM_012342,249
A_23_P112957,,A_23_P112957,,250
GHSR,growth hormone secretagogue receptor,A_23_P109864,NM_004122,251
PMM2,phosphomannomutase 2,A_23_P432360,NM_000303,252
PC4,activated RNA polymerase II transcription cofactor 4,A_23_P59921,NM_006713,253
ACO2,"aconitase 2, mitochondrial",A_23_P305481,NM_001098,254
WNT6,"wingless-type MMTV integration site family, member 6",A_23_P119916,NM_006522,255
PLEKHF2,"pleckstrin homology domain containing, family F (with FYVE domain) member 2",A_23_P20275,NM_024613,256
FLJ20366,hypothetical protein FLJ20366,A_23_P134734,NM_017786,257
SLC16A6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",A_23_P152791,NM_004694,258
FLJ20203,hypothetical protein FLJ20203,A_24_P212457,NM_032292,259
BCAP29,B-cell receptor-associated protein 29,A_23_P412526,b,260
AASDH,2-aminoadipic 6-semialdehyde dehydrogenase,A_24_P307195,NM_181806,261
RSN,restin (Reed-Steinberg cell-expressed intermediate filament-associated protein),A_23_P25003,NM_002956,262
CR598503,,A_24_P79631,b,263
C1orf96,chromosome 1 open reading frame 96,A_32_P83776,NM_145257,264
ZNF197,zinc finger protein 197,A_24_P385148,NM_006991,265
DHX8,DEAH (Asp-Glu-Ala-His) box polypeptide 8,A_23_P124224,NM_004941,266
HIST1H2AJ,"histone 1, H2aj",A_23_P168014,NM_021066,267
LOC442421,"similar to prostaglandin E receptor 4, subtype EP4; PGE receptor, EP4 subtype; prostaglandin E2 receptor",A_23_P43549,b,268
RAD9A,RAD9 homolog A (S. pombe),A_24_P21715,NM_004584,269
PARP12,"poly (ADP-ribose) polymerase family, member 12",A_23_P111804,NM_022750,270
BC084557,,A_23_P335190,b,271
MGC13138,hypothetical protein MGC13138,A_24_P121631,NM_033410,272
SPAG9,sperm associated antigen 9,A_24_P365025,NM_003971,273
BX089701,,A_32_P137382,b,274
HMGN2,high-mobility group nucleosomal binding domain 2,A_32_P29507,NM_005517,275
FAM46C,"family with sequence similarity 46, member C",A_23_P137751,NM_017709,276
CR603184,,A_24_P873414,b,277
ELL3,elongation factor RNA polymerase II-like 3,A_23_P3237,NM_025165,278
ASB2,ankyrin repeat and SOCS box-containing 2,A_23_P205370,NM_016150,279
HIST1H2AM,"histone 1, H2am",A_24_P86389,NM_003514,280
LOC339263,hypothetical protein LOC339263,A_24_P59607,b,281
EGLN1,egl nine homolog 1 (C. elegans),A_23_P343935,NM_022051,282
RNF10,ring finger protein 10,A_23_P53630,NM_014868,283
THC2409354,,A_32_P232237,hc,284
SWAP70,SWAP-70 protein,A_23_P116533,NM_015055,285
A_32_P9924,,A_32_P9924,,286
C1orf153,chromosome 1 open reading frame 153,A_24_P418408,NM_198552,287
CLIC2,chloride intracellular channel 2,A_23_P45456,NM_001289,288
PAQR8,progestin and adipoQ receptor family member VIII,A_24_P334640,NM_133367,289
FANCC,"Fanconi anemia, complementation group C",A_23_P32021,NM_000136,290
RRM2,ribonucleotide reductase M2 polypeptide,A_24_P225616,NM_001034,291
FADS3,fatty acid desaturase 3,A_23_P64404,NM_021727,292
SPTAN1,"spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)",A_23_P20832,NM_003127,293
THC2437881,,A_24_P555510,hc,294
TLN2,talin 2,A_24_P347566,NM_015059,295
A_23_P256973,,A_23_P256973,,296
ENST00000260303,,A_23_P1761,ns,297
PCYOX1,prenylcysteine oxidase 1,A_24_P940517,NM_016297,298
PWWP2,PWWP domain containing 2,A_23_P374389,NM_138499,299
CD44,CD44 antigen (homing function and Indian blood group system),A_23_P24870,NM_000610,300
PDIA4,"protein disulfide isomerase family A, member 4",A_23_P42802,NM_004911,301
CCL22,chemokine (C-C motif) ligand 22,A_24_P313418,NM_002990,302
BC073935,,A_32_P221305,b,303
PNPLA4,patatin-like phospholipase domain containing 4,A_24_P943815,NM_004650,304
TSPAN5,tetraspanin 5,A_23_P61886,b,305
HSPC152,hypothetical protein HSPC152,A_23_P12992,NM_016404,306
TXNDC11,thioredoxin domain containing 11,A_24_P107897,NM_015914,307
SLC35C1,"solute carrier family 35, member C1",A_23_P202720,NM_018389,308
CDK2AP2,CDK2-associated protein 2,A_23_P104579,NM_005851,309
THC2401540,,A_32_P180958,hc,310
ZNF594,zinc finger protein 594,A_23_P321160,b,311
SORT1,sortilin 1,A_24_P325520,NM_002959,312
C20orf31,chromosome 20 open reading frame 31,A_24_P627306,NM_018217,313
MR-1,myofibrillogenesis regulator 1,A_23_P90732,b,314
BCNP1,B-cell novel protein 1,A_24_P940348,NM_173544,315
THC2437122,,A_32_P13371,hc,316
C2orf12,chromosome 2 open reading frame 12,A_23_P431410,b,317
OLIG1,oligodendrocyte transcription factor 1,A_23_P154849,NM_138983,318
CR611166,,A_24_P921933,b,319
TAF1L,"TAF1-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa",A_23_P419850,NM_153809,320
C1RL,"complement component 1, r subcomponent-like",A_23_P363968,NM_016546,321
A_23_P170713,,A_23_P170713,,322
C20orf24,chromosome 20 open reading frame 24,A_24_P194184,NM_199484,323
FZD2,frizzled homolog 2 (Drosophila),A_23_P141362,NM_001466,324
THC2314371,,A_24_P713312,hc,325
BX115350,,A_32_P228886,b,326
MCTP1,multiple C2-domains with two transmembrane regions 1,A_23_P133293,b,327
RPL7A,ribosomal protein L7a,A_32_P88892,NM_000972,328
MT1G,metallothionein 1G,A_23_P206707,NM_005950,329
RASA4,RAS p21 protein activator 4,A_24_P943263,NM_006989,330
FLJ35119,hypothetical protein FLJ35119,A_23_P353085,NM_175871,331
KIAA0280,KIAA0280 protein,A_24_P188105,b,332
AK025056,,A_23_P426140,b,333
LOC285216,hypothetical protein LOC285216,A_24_P272389,b,334
BM989848,,A_32_P3021,b,335
SPAR,surfactant protein A binding protein,A_24_P63397,b,336
ATP2A3,"ATPase, Ca++ transporting, ubiquitous",A_23_P207632,NM_174953,337
RPN1,ribophorin I,A_23_P254340,NM_002950,338
C21orf91,chromosome 21 open reading frame 91,A_23_P211015,NM_017447,339
PMS2L3,postmeiotic segregation increased 2-like 3,A_23_P59630,NM_005395,340
ENST00000344010,,A_24_P375932,ns,341
HIST1H2AB,"histone 1, H2ab",A_24_P223384,NM_003513,342
BX956036,,A_32_P69333,b,343
LGP1,homolog of mouse LGP1,A_24_P258800,NM_032484,344
TLE4,"transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)",A_23_P94494,NM_007005,345
SAMHD1,SAM domain and HD domain 1,A_24_P267592,NM_015474,346
NDFIP1,Nedd4 family interacting protein 1,A_24_P209109,NM_030571,347
KIF13B,kinesin family member 13B,A_32_P165611,NM_015254,348
FAM46A,"family with sequence similarity 46, member A",A_23_P70660,NM_017633,349
OASL,2'-5'-oligoadenylate synthetase-like,A_23_P139786,NM_003733,350
KIAA1913,KIAA1913,A_23_P391906,b,351
A_24_P332326,,A_24_P332326,,352
BTBD14A,BTB (POZ) domain containing 14A,A_23_P113825,NM_144653,353
HIST3H2BB,"histone 3, H2bb",A_23_P332992,NM_175055,354
NDFIP1,Nedd4 family interacting protein 1,A_23_P81241,NM_030571,355
PSTPIP1,proline-serine-threonine phosphatase interacting protein 1,A_23_P48997,NM_003978,356
PAG1,phosphoprotein associated with glycosphingolipid microdomains 1,A_32_P61684,NM_018440,357
BM664367,,A_32_P158433,b,358
MT1H,metallothionein 1H,A_23_P414343,NM_005951,359
A_23_P360114,,A_23_P360114,,360
ATP6V0C,"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c",A_23_P54816,NM_001694,361
GBA,"glucosidase, beta; acid (includes glucosylceramidase)",A_23_P201035,NM_001005749,362
BC017937,,A_24_P477549,b,363
A_24_P212611,,A_24_P212611,,364
HIST1H2BD,"histone 1, H2bd",A_24_P146211,NM_021063,365
HSU79274,protein predicted by clone 23733,A_23_P65000,NM_013300,366
ZFHX2,zinc finger homeobox 2,A_32_P226205,NM_033400,367
HIST1H2BH,"histone 1, H2bh",A_23_P366216,NM_003524,368
TMEM15,transmembrane protein 15,A_23_P10870,NM_014908,369
THC2335259,,A_32_P178099,hc,370
SP140,SP140 nuclear body protein,A_24_P328504,NM_007237,371
HIST1H2AJ,"histone 1, H2aj",A_24_P394510,NM_021066,372
C9orf94,chromosome 9 open reading frame 94,A_23_P342138,NM_152702,373
MGC45840,hypothetical protein MGC45840,A_23_P432545,NM_173584,374
SUI1,putative translation initiation factor,A_23_P45945,NM_005801,375
HIST1H3D,"histone 1, H3d",A_24_P217834,NM_003530,376
ADD1,adducin 1 (alpha),A_23_P212768,NM_176801,377
SLC2A14,"solute carrier family 2 (facilitated glucose transporter), member 14",A_32_P47754,b,378
ANXA2,annexin A2,A_32_P94798,NM_001002857,379
MT1B,metallothionein 1B (functional),A_23_P37983,NM_005947,380
FUBP3,far upstream element (FUSE) binding protein 3,A_24_P203710,b,381
CMKOR1,chemokine orphan receptor 1,A_23_P131676,NM_020311,382
TSPYL4,TSPY-like 4,A_23_P110882,NM_021648,383
UBC,ubiquitin C,A_24_P266880,NM_021009,384
ZNF673,zinc finger protein 673,A_23_P217151,NM_017776,385
KIAA0992,palladin,A_23_P213102,NM_016081,386
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_24_P772103,b,387
AK097700,,A_32_P37089,b,388
CNN3,"calponin 3, acidic",A_23_P138168,NM_001839,389
EML4,echinoderm microtubule associated protein like 4,A_23_P143127,NM_019063,390
ACAS2,acetyl-Coenzyme A synthetase 2 (ADP forming),A_24_P156295,NM_018677,391
DNAJB9,"DnaJ (Hsp40) homolog, subfamily B, member 9",A_23_P258944,NM_012328,392
LMAN2,"lectin, mannose-binding 2",A_23_P9591,NM_006816,393
FLJ38663,hypothetical protein FLJ38663,A_32_P11894,NM_152269,394
AK024516,,A_32_P127542,b,395
AK123972,,A_32_P32413,b,396
RABGEF1,RAB guanine nucleotide exchange factor (GEF) 1,A_24_P337746,NM_014504,397
A_32_P95067,,A_32_P95067,,398
H3F3A,"H3 histone, family 3A",A_24_P590537,NM_002107,399
SCAM-1,vinexin beta (SH3-containing adaptor molecule-1),A_23_P300714,NM_005775,400
FGD6,"FYVE, RhoGEF and PH domain containing 6",A_23_P73220,NM_018351,401
