Probe,Symbol,Gene Name,Chromo-some,Log Ratio,p-value,Brain Expressed
ILMN_1681242,BLOC1S3," biogenesis of lysosome-related organelles complex-1, subunit 3 ",19,-0.1,0.00446,_
ILMN_1810131,FAM123A, family with sequence similarity 123A ,13,-0.1,0.00273,_
ILMN_2078995,CSRNP3, cysteine-serine-rich nuclear protein 3 ,2,-0.1,0.00385,
ILMN_2091978,FREM2, FRAS1 related extracellular matrix protein 2 ,13,-0.1,0.00276,_
ILMN_1667933,LOC646428,PREDICTED:  hypothetical protein LOC646428 ,9,-0.1,0.00226,
ILMN_2140191,OR2M3," olfactory receptor, family 2, subfamily M, member 3 ",1,-0.1,0.00471,
ILMN_1728894,OR4A5," olfactory receptor, family 4, subfamily A, member 5 ",11,-0.1,0.00397,
ILMN_1707957,LOC644738,PREDICTED:  hypothetical protein LOC644738,3,-0.09,0.00104,
ILMN_1662824,MADCAM1, mucosal vascular addressin cell adhesion molecule 1 ,19,-0.09,0.00187,_
ILMN_1812256,GANC," glucosidase, alpha; neutral C",15,-0.09,0.00336,
ILMN_1779488,RFX3," regulatory factor X, 3 (influences HLA class II expression) ",9,-0.09,0.00291,_
ILMN_1678627,RUFY4, RUN and FYVE domain containing 4 ,2,-0.08,0.00377,_
ILMN_1786654,LOC644251,PREDICTED:  similar to splicing coactivator subunit SRm300 ,10,0.087,0.00437,
ILMN_2058570,XGPY2," Xg pseudogene, Y-linked 2 ",Y,0.091,0.00328,
ILMN_1741168,SPRY4, sprouty homolog 4 ,5,0.093,0.00441,_
ILMN_1759708,LOC643959,PREDICTED:  hypothetical protein LOC643959,15,0.097,0.00252,
ILMN_1888330,,"wf30f02.x1 Soares_NFL_T_GBC_S1  cDNA clone IMAGE:2357115 3, mRNA sequence",11,0.098,0.00351,
ILMN_1731349,HOXA13, homeobox A13 ,,0.099,0.00212,
ILMN_1824196,,"UI-H-BI4-apj-b-11-0-UI.s1 NCI_CGAP_Sub8  cDNA clone IMAGE:3087333 3, mRNA sequence",X,0.105,0.00287,
ILMN_1656865,LOC645602,PREDICTED:  hypothetical LOC645602 ,,0.106,0.00252,
ILMN_2205622,MUC2," mucin 2, oligomeric mucus/gel-forming ",11,0.106,0.00426,
ILMN_1777608,LOC646145,PREDICTED:  similar to cis-Golgi matrix protein GM130,15,0.107,0.00493,
ILMN_2355004,HMGN3, high mobility group nucleosomal binding domain 3 ,6,0.108,0.00353,_
ILMN_1745529,KCNH1," potassium voltage-gated channel, subfamily H (eag-related), member 1 ",1,0.11,0.00226,_
ILMN_1683849,LOC644567,"PREDICTED:  similar to Glutamate dehydrogenase 1, mitochondrial precursor (GDH) ",10,0.11,0.00115,
ILMN_1850240,,"xq93b01.x1 NCI_CGAP_Brn53  cDNA clone IMAGE:2758153 3, mRNA sequence",14,0.11,0.00074,
ILMN_1682831,NEB, nebulin ,2,0.111,0.00393,_
ILMN_1889884,LOC730118,PREDICTED:  hypothetical LOC730118 ,14,0.113,0.0043,
ILMN_1752415,LOC644714,PREDICTED:  hypothetical protein LOC644714,,0.114,0.00308,
ILMN_1727916,FLJ46380, FLJ46380 protein ,1,0.116,0.00173,
ILMN_1717706,PLK2, polo-like kinase 2,5,0.116,0.00167,_
ILMN_1682724,FANCF," Fanconi anemia, complementation group F ",11,0.117,0.00325,_
ILMN_1734550,SLC9A3," solute carrier family 9 (sodium/hydrogen exchanger), member 3 ",5,0.117,0.00359,_
ILMN_1789410,ZSCAN21, zinc finger and SCAN domain containing 21,7,0.117,0.00466,_
ILMN_2077160,C9orf41, chromosome 9 open reading frame 41 ,9,0.118,0.00499,
ILMN_1652602,C11orf35, chromosome 11 open reading frame 35 ,11,0.119,0.002,
ILMN_1734234,LILRB2," leukocyte immunoglobulin-like receptor, subfamily B",,0.119,0.00298,_
ILMN_1794452,LOC652331,PREDICTED:  similar to complement factor H-related 1 ,,0.119,0.00346,
ILMN_1678459,VAPB, VAMP (vesicle-associated membrane protein)-associated protein B and C ,20,0.12,0.00284,_
ILMN_1916311,,"DB069547 TESTI4  cDNA clone TESTI4011813 5, mRNA sequence",1,0.121,0.00197,
ILMN_1685446,NARG1L, NMDA receptor regulated 1-like ,13,0.124,0.00195,
ILMN_2314140,PAX6, paired box 6 ,11,0.124,0.00337,_
ILMN_1653670,CUL3, cullin 3 ,2,0.125,0.00085,_
ILMN_1743301,MSR1, macrophage scavenger receptor 1 ,8,0.125,0.0046,
ILMN_1810166,SERPINA2,"PREDICTED:  serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 2 ",14,0.126,0.00202,
ILMN_1703973,LOC654002,"PREDICTED:  similar to BMS1-like, ribosome assembly protein, transcript variant 3 ",,0.127,0.00256,
ILMN_1710329,MYEF2, myelin expression factor 2 ,15,0.128,0.00232,_
ILMN_1769580,PRSS35," protease, serine, 35",6,0.128,0.00117,
ILMN_1850892,,"BX102680 Soares infant brain 1NIB  cDNA clone IMAGp998H0374, mRNA sequence",19,0.128,0.0007,
ILMN_1662766,LOC647439,PREDICTED:  hypothetical protein LOC647439 ,,0.13,0.00292,
ILMN_1818562,, cDNA clone IMAGE:5267453,8,0.13,0.00218,
ILMN_1683296,LOC650836,PREDICTED:  similar to T-cell receptor alpha chain V region PHDS58 precursor ,,0.131,0.00042,
ILMN_1791067,TESK1, testis-specific kinase 1,9,0.133,0.00458,_
ILMN_1675671,ICOSLG, inducible T-cell co-stimulator ligand ,21,0.134,0.00406,_
ILMN_1751280,LOC651905,PREDICTED:  hypothetical protein LOC651905 ,,0.134,0.00043,
ILMN_1676689,PPT2, palmitoyl-protein thioesterase 2,6,0.135,0.00061,_
ILMN_1889669,,"DB160069 THYMU3  cDNA clone THYMU3040068 5, mRNA sequence",17,0.135,0.00064,
ILMN_1884015,,"603183417F1 NIH_MGC_121  cDNA clone IMAGE:5247269 5, mRNA sequence",6,0.137,0.00079,
ILMN_1846799,,"zo26g12.x5 Stratagene colon (#937204)  cDNA clone IMAGE:588070 3, mRNA sequence",11,0.137,0.0046,
ILMN_1765082,RBM10, RNA binding motif protein 10 ,X,0.139,0.0009,_
ILMN_1795564,C11orf84, chromosome 11 open reading frame 84 ,11,0.14,0.00484,_
ILMN_1783676,CCDC15, coiled-coil domain containing 15 ,11,0.14,0.0046,
ILMN_1787366,ZNF335, zinc finger protein 335 ,20,0.141,0.00404,_
ILMN_2388539,C17orf101, chromosome 17 open reading frame 101,17,0.143,0.00047,
ILMN_1739779,LOC652742,PREDICTED:  similar to Low affinity immunoglobulin gamma Fc region receptor II-c precursor (Fc-gamma RII-c) (FcRII-c) (IgG Fc receptor II-c) (Fc-gamma-RIIc) (CD32 antigen) (CDw32) ,,0.143,0.00001,
ILMN_1838667,,"ws92f09.x1 NCI_CGAP_Co3  cDNA clone IMAGE:2505449 3, mRNA sequence",1,0.15,0.00011,
ILMN_1814661,PHLPP1, PH domain and leucine rich repeat protein phosphatase 1 ,18,0.156,0.00412,_
ILMN_2218002,LIPC," lipase, hepatic ",15,0.163,0.00102,
ILMN_2211790,ADAMTS7," ADAM metallopeptidase with thrombospondin type 1 motif, 7 ",15,0.169,0.00005,_
ILMN_1891109,,"BX118761 Soares_testis_NHT  cDNA clone IMAGp998O061863, mRNA sequence",20,0.17,0.00001,
ILMN_2203768,PRR15, proline rich 15 ,7,0.173,0.00186,_
ILMN_1782861,C10orf82, chromosome 10 open reading frame 82 ,10,0.175,0.0009,_
ILMN_1720513,SETBP1, SET binding protein 1,18,0.18,0.00051,_
ILMN_1898723,, cDNA clone IMAGE:3079901,X,0.19,0.00388,
ILMN_1676003,PNOC, prepronociceptin,8,0.23,0.00469,_
ILMN_1742544,MEF2C, myocyte enhancer factor 2C ,5,0.25,0.00244,_
ILMN_1773567,LAMA5," laminin, alpha 5",20,0.262,0.00127,_
ILMN_2414762,TLR10, toll-like receptor 10,4,0.265,0.00024,
ILMN_1719905,TLR10, toll-like receptor 10,4,0.27,0.00112,
ILMN_1724295,LOC643007,PREDICTED: similar to large subunit ribosomal protein L36a,,0.277,0.0023,
ILMN_2374352,DBNDD1, dysbindin (dystrobrevin binding protein 1) domain containing 1 ,16,0.278,0.00434,_
ILMN_1723004,CD72, CD72 molecule ,9,0.32,0.00112,
ILMN_1794927,LOC90925, hypothetical protein LOC90925 ,,0.363,0.00377,
ILMN_2337928,CXCR5, chemokine (C-X-C motif) receptor 5 ,11,0.374,0.00201,
ILMN_1700428,HLA-DOB," major histocompatibility complex, class II, DO beta ",6,0.398,0.00097,
ILMN_2366212,CD79B," CD79b molecule, immunoglobulin-associated beta ",17,0.407,0.00483,_
ILMN_1710017,CD79B," CD79B antigen, immunoglobulin-associated beta",17,0.439,0.00228,_
ILMN_1691071,FCRLA, Fc receptor-like A,1,0.439,0.00211,_
ILMN_1662451,FCER2," Fc fragment of IgE, low affinity II, receptor for (CD23)",19,0.452,0.00097,
