Num,ProbeID,p-Value,Gene,Cytoband,Fold-Change
91,ILMN_2311089,0.0407431,BRCA1,17q21.31a,-1.603892207
15,ILMN_2106874,0.0079741,CACNG8,19q13.42a,-1.607977761
8,ILMN_2377980,0.004787,PPP1CA,11q13.1f,-1.621301223
79,ILMN_1710312,0.0351176,TMEM31,Xq22.2a,-1.632386858
101,ILMN_1688646,0.0484697,LCN10,9q34.3e,-1.659630008
29,ILMN_1810092,0.0156641,TMEM179,14q32.33b,-1.659998524
62,ILMN_1667840,0.0277708,CMTM3,16q21e-q22.1a,-1.661106161
,,,,,
,,,,,
42,ILMN_1739805,0.0194196,NDE1,16p13.11Bp13.11a,-1.669673154
80,ILMN_1759585,0.0359602,CHEK2,22q12.1c,-1.670873753
46,ILMN_1698252,0.0203824,FANCB,Xp22.2,-1.697438213
23,ILMN_2370588,0.0133007,TRIOBP,22q13.1a,-1.697645607
99,ILMN_1727045,0.047567,RASGRP3,2p22.3d,-1.699373189
27,ILMN_1722070,0.0153361,APOC3,11q23.3b,-1.73837072
71,ILMN_1671362,0.0321787,UBE2J2,1p36.33a,-1.754267722
45,ILMN_1684576,0.0203819,CLN8,8p23.3a,-1.755853888
48,ILMN_1677108,0.0214474,CAPN13,2p23.1Bp23.1a,-1.78376345
93,ILMN_2128931,0.0442292,FAT2,5q33.1d,-1.79130078
30,ILMN_2238795,0.0156762,NEK3,13q14.3d,-1.802075509
40,ILMN_2111932,0.0190218,SERINC2,1p35.2a,-1.819803173
78,ILMN_1698060,0.0349873,FLJ43860,8q24.3d,-1.832144494
28,ILMN_2293131,0.0155328,ARHGEF1,19q13.2c,-1.838419525
83,ILMN_2349982,0.0378258,FGF1,5q31.3d,-1.873113689
26,ILMN_1772370,0.0152546,ARHGEF1,19q13.2c,-1.879996133
89,ILMN_1661875,0.0400691,ANK3,10q21.2a,-1.92792007
53,ILMN_1750941,0.0232784,DLX4,17q21.33a,-1.93072079
100,ILMN_1761965,0.0476763,ZNF200,16p13.3c,-1.940928777
70,ILMN_1775348,0.0308159,KCNH8,3p24.3c,-2.014486404
68,ILMN_1790106,0.0303653,PLP1,Xq22.2a,-2.017485029
4,ILMN_1776936,0.0026995,ANKRD38,1p31.3d,-2.023986121
73,ILMN_1803850,0.0333949,TSPAN15,10q21.3e,-2.068264427
25,ILMN_2208777,0.014313,NHLH2,1p13.1d,-2.068656311
47,ILMN_1795300,0.0208269,FLJ41603,5q33.1b,-2.070391027
6,ILMN_2238389,0.004419,LDB3,10q23.2a,-2.09188599
58,ILMN_1672443,0.026461,QDPR,4p15.32b,-2.13894527
51,ILMN_2175715,0.0229608,KIR2DS3,19q13.4,-2.295779916
13,ILMN_2124585,0.007413,GREM1,15q13.3c-q13.3d,-2.305262746
92,ILMN_1756807,0.0429335,GPR62,3p21.1e,-2.435674441
72,ILMN_1751785,0.0326038,DMRT2,9p24.3b,-2.586787043
21,ILMN_1746646,0.0121327,CHRM5,15q14a,-2.656677881
16,ILMN_1720727,0.0084141,SLCO1A2,12p12.1e,-2.765890212
19,ILMN_1777342,0.0105735,PREX1,20q13.13b,-2.770779816
11,ILMN_1781356,0.005856,TSC22D3,Xq22.3b,-2.993190062
20,ILMN_1717381,0.0116866,HOXD1,2q31.1h,-3.063724889
43,ILMN_1676384,0.0196882,PCSK6,15q26.3d,-3.094558732
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
