GeneId,Gene Symbol,Chromosome,C1,A,C2, %inc Difference
ENSG00000101294,HM13,20,29617674-29617759,29619542-29619744,29620584-29621029,0.392443848
ENSG00000148660,CAMK2G,10,75271933-75271975,75269303-75269365,75267232-75267275,0.39195074
ENSG00000077380,DYNC1I2,2,172272043-172272133,172277523-172277582,172280084-172280199,0.391616059
ENSG00000143776,CDC42BPA,1,225270404-225270521,225265202-225265387,225259318-225259435,0.387451985
ENSG00000139793,MBNL2,13,96807737-96807890,96815391-96815426,96841577-96842242,0.383982684
ENSG00000170390,DCLK2,4,151338604-151338705,151339630-151339680,151344397-151344491,0.383640277
ENSG00000110514,MADD,11,47268737-47268943,47270670-47270723,47272010-47272110,0.379312443
ENSG00000091129,NRCAM,7,107653888-107654058,107653325-107653381,107651405-107651516,0.376803474
ENSG00000137216,TMEM63B,6,44210732-44210811,44211043-44211081,44212064-44212154,0.370207417
ENSG00000131018,SYNE1,6,152510873-152511206,152508315-152508383,152506451-152506593,0.368735292
ENSG00000142949,PTPRF,1,43847641-43847756,43851026-43851058,43851876-43851973,0.365857383
ENSG00000170525,PFKFB3,10,6308161-6308334,6310165-6310187,6314864-6317500,0.364001235
ENSG00000160310,PRMT2,21,46879722-46880103,46880779-46880887,46881236-46881330,0.352930198
ENSG00000176884,GRIN1,9,139159999-139160175,139162425-139162487,139163282-139163382,0.350805726
ENSG00000198363,ASPH,8,62759152-62759301,62757552-62757596,62756081-62756149,0.349652597
ENSG00000173482,PTPRM,18,8360931-8361004,8361758-8361808,8366044-8366198,0.347526526
ENSG00000184381,PLA2G6,22,36855407-36855515,36854222-36854383,36852324-36852402,0.345148969
ENSG00000166140,ZFYVE19,15,38890139-38890247,38892189-38892392,38892828-38892907,0.341350947
ENSG00000013561,RNF14,5,141333332-141333491,141334553-141334704,141338052-141338579,0.339565113
ENSG00000167491,GATAD2A,19,19472927-19473225,19473778-19473852,19474140-19474335,0.337749455
ENSG00000105755,ETHE1,19,48722507-48722651,48722193-48722341,48707429-48707558,0.337708588
ENSG00000172785,CBWD1,9,69713257-69713294,69712392-69712479,69707304-69707350,0.337466307
ENSG00000204790,CBWD6,9,68535761-68535798,68534896-68534983,68529833-68529879,0.337466307
ENSG00000143537,ADAM15,1,153300515-153300589,153301004-153301075,153301345-153301469,0.336981595
ENSG00000095637,SORBS1,10,97125720-97125803,97121073-97121174,97117397-97117446,0.336666667
ENSG00000150471,LPHN3,4,62592766-62592862,62616479-62616530,62618422-62620022,0.336236194
ENSG00000160818,GPATCH4,1,154834643-154834735,154834451-154834537,154832803-154832894,0.334832193
ENSG00000119844,AFTPH,2,64660124-64660184,64661828-64661911,64666060-64666183,0.331094527
ENSG00000126214,C14orf153,14,103215474-103215608,103223171-103223301,103228449-103228515,0.330396856
ENSG00000128581,RABL5,7,100751672-100751736,100748957-100749033,100746341-100746543,0.324655944
ENSG00000180900,SCRIB,8,144946034-144946071,144945824-144945898,144945547-144945598,0.324399178
ENSG00000163754,GYG1,3,150224530-150224749,150226929-150226979,150227237-150228074,0.324110672
ENSG00000091129,NRCAM,7,107604111-107604287,107603003-107603038,107588042-107588173,0.319607843
ENSG00000182985,CADM1,11,114574336-114574368,114566818-114566871,114554574-114554705,0.312477845
ENSG00000094631,HDAC6,23,48561392-48561460,48561571-48561763,48563457-48563606,0.311111111
ENSG00000104613,INTS10,8,19747495-19747588,19750953-19751030,19753440-19753768,0.310961006
ENSG00000204842,ATXN2,12,110392295-110392427,110386849-110386902,110379401-110379546,0.310278902
ENSG00000141503,MINK1,17,4737050-4737138,4737357-4737380,4737505-4737668,0.308774881
ENSG00000064042,LIMCH1,4,41382484-41382604,41384614-41384691,41386301-41386409,0.307469974
ENSG00000102710,FAM48A,13,36484329-36484434,36482689-36482792,36481914-36481946,0.306480921
ENSG00000111790,FGFR1OP2,12,27001801-27001943,27004715-27004828,27007542-27007655,0.30299667
ENSG00000162600,OMA1,1,58765521-58765595,58744320-58744469,58718980-58719434,0.300958582
ENSG00000134121,CHL1,3,411376-411555,414910-415068,415700-415831,0.299872123
ENSG00000163875,C1orf149,1,37739992-37740184,37734895-37734924,37734073-37734106,0.29880618
ENSG00000135778,C1orf57,1,231152991-231153113,231157926-231158088,231158716-231158812,0.296929693
ENSG00000165801,AL161668.6-1,14,20625000-20625104,20625319-20625462,20625967-20626097,0.294804112
ENSG00000188157,AGRN,1,976971-977058,977236-977259,978996-979220,0.294122288
ENSG00000164604,GPR85,7,112513613-112513665,112513283-112513400,112509573-112512182,0.291128085
ENSG00000175416,CLTB,5,175757214-175757325,175756086-175756139,175752344-175752552,0.290910536
ENSG00000162910,MRPL55,1,226363473-226363580,226363279-226363345,226362559-226362642,0.287066036
ENSG00000026297,RNASET2,6,167285966-167286026,167282048-167282103,167280160-167280217,0.284087504
ENSG00000141376,BCAS3,17,56447894-56448044,56459009-56459053,56466809-56466933,0.282835821
ENSG00000134313,KIDINS220,2,8807693-8807916,8805468-8805581,8794449-8794580,0.282236842
ENSG00000084234,APLP2,11,129510668-129510820,129512361-129512396,129515503-129515588,0.281807928
ENSG00000072518,MARK2,11,63428839-63429091,63432308-63432352,63432925-63433431,0.280097632
ENSG00000177410,C20orf199,20,47330429-47330514,47330847-47330908,47338989-47339194,0.278551876
ENSG00000075413,MARK3,14,103027867-103028124,103034592-103034618,103036246-103036290,0.278067999
ENSG00000119929,CUTC,10,101497004-101497137,101500116-101500143,101504276-101504381,0.277777778
ENSG00000102024,PLS3,23,114777404-114777546,114780678-114780704,114780976-114781071,0.277472527
ENSG00000139197,PEX5,12,7245614-7245704,7246104-7246214,7246475-7246567,0.272025272
ENSG00000196586,MYO6,6,76633483-76633542,76633868-76633960,76637084-76637122,0.271780303
ENSG00000007341,ST7L,1,112963054-112963552,112960958-112961040,112954986-112955148,0.271604938
ENSG00000110514,MADD,11,47286718-47286826,47287107-47287169,47287408-47287528,0.270728291
ENSG00000102317,RBM3,23,48318893-48318999,48319147-48319415,48319646-48319751,0.27047619
ENSG00000143549,TPM3,1,152409500-152409577,152408405-152408483,152396009-152396821,0.27004284
ENSG00000010219,DYRK4,12,4584341-4584513,4586754-4586814,4589582-4589711,0.269415808
ENSG00000022267,FHL1,23,135118280-135118466,135119068-135119267,135119696-135119767,0.269388483
ENSG00000197694,SPTAN1,9,130393577-130393725,130395083-130395142,130396275-130396473,0.269267205
ENSG00000133315,MACROD1,11,63523003-63523084,63522886-63522920,63522603-63522735,0.266776905
ENSG00000104177,MYEF2,15,46233281-46233382,46231723-46231773,46231363-46231431,0.265339012
ENSG00000158062,UBXN11,1,26505670-26505782,26500772-26500800,26497040-26497140,0.262732919
ENSG00000196586,MYO6,6,76674933-76675064,76678109-76678135,76680500-76680718,0.261416757
ENSG00000168936,TMEM129,4,1689677-1690151,1689041-1689200,1688032-1688953,0.261066879
ENSG00000154265,ABCA5,17,64761309-64761403,64759483-64759602,64758208-64758357,0.259352121
ENSG00000010295,IFFO1,12,6534684-6534727,6530825-6530930,6530368-6530428,0.259191176
ENSG00000175387,SMAD2,18,43676890-43677184,43650844-43650933,43649612-43649805,0.257334184
ENSG00000162869,KLRAQ1,2,48579136-48579378,48586207-48586239,48587912-48588028,0.256009615
ENSG00000138279,ANXA7,10,74826283-74826347,74825808-74825873,74818076-74818178,0.252108104
ENSG00000124214,STAU1,20,47238060-47238112,47224139-47224213,47203877-47204015,0.251453986
ENSG00000130294,KIF1A,2,241361204-241361346,241360660-241360686,241359061-241359194,0.251194883
ENSG00000163975,MFI2,3,198215762-198216012,198215365-198215627,198214870-198215238,0.250401284
ENSG00000157827,FMNL2,2,153205551-153205674,153208179-153208304,153212556-153213059,0.249895549
ENSG00000171055,FEZ2,2,36659244-36659292,36641432-36641512,36639085-36639160,0.248138958
ENSG00000124222,STX16,20,56676449-56676589,56677753-56677915,56678974-56679065,0.248082754
ENSG00000137841,PLCB2,15,38370070-38370165,38369518-38369575,38368765-38368851,0.24759242
ENSG00000090565,RAB11FIP3,16,478852-479001,481135-481269,486825-486860,0.247159982
ENSG00000108262,GIT1,17,24932482-24932524,24930106-24930132,24929875-24929923,0.246678514
ENSG00000136717,BIN1,2,127542970-127543077,127542209-127542301,127537979-127538064,0.246488428
ENSG00000102606,ARHGEF7,13,110738709-110738791,110742466-110742642,110751096-110751172,0.245704004
ENSG00000145730,PAM,5,102324761-102324832,102337719-102338039,102353875-102354004,0.243691315
ENSG00000182473,EXOC7,17,71595330-71595396,71594530-71594568,71593756-71593821,0.243584437
ENSG00000186453,AC009228.1,2,24223304-24223460,24237880-24237987,24240572-24240708,0.243478261
ENSG00000047849,MAP4,3,47887307-47887599,47885708-47885821,47883740-47883832,0.239165253
ENSG00000017373,AC115090.8,17,33958319-33958471,33957521-33957643,33953584-33953730,0.238988291
ENSG00000196776,CD47,3,109253476-109253507,109252115-109252139,109247107-109248829,0.237664686
ENSG00000136754,SSH3BP,10,27094153-27094253,27092815-27092895,27087997-27088173,0.237483294
ENSG00000126777,KTN1,14,55186799-55186889,55187040-55187108,55188361-55188398,0.236194642
ENSG00000162735,PEX19,1,158521469-158521555,158519944-158520053,158519358-158519523,0.233199679
ENSG00000115934,AC008686.8-1,2,201458666-201458740,201455310-201455403,201454389-201454456,0.232613909
ENSG00000137497,NUMA1,11,71401589-71404954,71401095-71401136,71399480-71399548,0.232483179
ENSG00000141837,CACNA1A,19,13183917-13184030,13182431-13182466,13181126-13181312,0.231639227
ENSG00000143590,EFNA4,1,153324977-153325042,153325228-153325305,153325513-153326306,0.230408774
ENSG00000177879,AP3S1,5,115266481-115266588,115270417-115270457,115276958-115277134,0.229949875
ENSG00000111666,CHPT1,12,100634637-100634721,100637399-100637425,100638032-100638163,0.229398148
ENSG00000077549,CAPZB,1,19543439-19543515,19541833-19541945,19538316-19538698,0.228024566
ENSG00000170409,RP11-163E9.1,7,72111480-72111596,72108817-72108940,72108220-72108318,0.226405174
ENSG00000174353,STAG3L3,7,74829178-74829294,74831838-74831961,74832460-74832558,0.226405174
ENSG00000099622,CIRBP,19,1222980-1223050,1224493-1224714,1225306-1225443,0.224810716
ENSG00000144283,PK4P,2,159097938-159098074,159098196-159098292,159142029-159142141,0.224392168
ENSG00000165795,NDRG2,14,20556762-20556813,20556456-20556503,20556203-20556238,0.221615117
ENSG00000198818,SFT2D1,6,166675897-166676027,166664863-166664885,166663639-166663725,0.221225442
ENSG00000124226,RNF114,20,47986321-47986496,47991505-47991655,47995326-47995432,0.221088435
ENSG00000136754,SSH3BP,10,27094153-27094253,27087997-27088173,27084590-27084676,0.220202438
ENSG00000010244,ZNF207,17,27712024-27712099,27712600-27712647,27714046-27714116,0.21902439
ENSG00000143727,ACP1,2,261866-261939,262037-262065,262192-262305,0.218498112
ENSG00000104067,TJP1,15,27799854-27800204,27799273-27799512,27797762-27798634,0.217764667
ENSG00000100239,SAPS2,22,49221662-49221747,49222283-49222363,49222801-49222898,0.217281476
ENSG00000125952,MAX,14,64638775-64638847,64638017-64638043,64630179-64630286,0.216246499
ENSG00000176884,GRIN1,9,139178032-139178177,139179459-139179569,139182047-139182336,0.216033735
ENSG00000203485,INF2,14,104251585-104252238,104252666-104252722,104256177-104256992,0.215188375
ENSG00000137817,PARP6,15,70329415-70329487,70328640-70328709,70322015-70322094,0.214974736
ENSG00000121753,BAI2,1,31982836-31982919,31982381-31982545,31981026-31981190,0.214872855
ENSG00000100461,RBM23,14,22445244-22445417,22444655-22444708,22444385-22444502,0.214460119
ENSG00000165055,METTL2B,7,127904019-127904165,127904372-127904463,127906448-127906803,0.213592233
ENSG00000097033,SH3GLB1,1,86943165-86943242,86953995-86954136,86957778-86957906,0.213333333
ENSG00000008294,SPAG9,17,46409468-46409581,46408223-46408261,46407131-46407307,0.211197791
ENSG00000135905,DOCK10,2,225343172-225343310,225341833-225341908,225338052-225338798,0.211111111
ENSG00000175224,KIAA0652,11,46637518-46637611,46642975-46643085,46643509-46643645,0.210473482
ENSG00000141551,CSNK1D,17,77800040-77800159,77797141-77797204,77795486-77795996,0.208901325
ENSG00000149294,NCAM1,11,112590301-112590443,112597228-112597257,112607577-112607727,0.208230305
ENSG00000071054,MAP4K4,2,101842630-101842758,101843719-101843880,101847824-101847930,0.204885737
ENSG00000147687,TATDN1,8,125604359-125604424,125603573-125603622,125600240-125600303,0.20463782
ENSG00000127990,SGCE,7,94067894-94068105,94066945-94066971,94066023-94066211,0.204232804
ENSG00000184922,FMNL1,17,40679360-40679480,40679655-40679754,40680017-40680464,0.201630781
ENSG00000116254,CHD5,1,6089263-6089426,6089042-6089156,6088881-6088934,0.200980694
ENSG00000102309,PIN4,23,71318340-71318403,71323036-71323109,71333360-71333479,0.198347107
ENSG00000138698,RAP1GDS1,4,99492650-99492775,99519191-99519337,99532126-99532254,0.195733855
ENSG00000179364,PACS2,14,104922261-104922369,104923067-104923099,104927343-104927385,0.195551989
ENSG00000145362,ANK2,4,114510119-114510410,114513138-114513230,114513695-114513778,0.193677215
ENSG00000100241,SBF1,22,49244550-49244687,49242329-49242406,49241787-49241968,0.193283917
ENSG00000127616,SMARCA4,19,11004966-11005193,11005443-11005541,11005799-11005876,0.189383716
ENSG00000023191,RNH1,11,496609-496821,494824-494996,492062-492249,0.18875
ENSG00000073921,PICALM,11,85385517-85385620,85378941-85379090,85372557-85372664,0.188350692
ENSG00000052126,PLEKHA5,12,19410217-19410310,19413894-19413999,19419732-19419920,0.187012987
ENSG00000168958,MFF,2,227913252-227913340,227920186-227920344,227928637-227928721,0.186642815
ENSG00000186868,MAPT,17,41395523-41395672,41405061-41405147,41411577-41411642,0.186474356
ENSG00000138757,G3BP2,4,76799274-76799454,76798191-76798289,76792847-76792949,0.186025408
ENSG00000149657,LSM14B,20,60134755-60134890,60136036-60136152,60138236-60138403,0.182964095
ENSG00000122705,CLTA,9,36199264-36199317,36200622-36200657,36201600-36202055,0.181852194
ENSG00000100711,ZFYVE21,14,103265181-103265272,103265883-103265936,103268710-103268852,0.179392441
ENSG00000134905,CARS2,13,110094733-110094954,110094413-110094530,110092663-110092869,0.178752719
ENSG00000110514,MADD,11,47302598-47302704,47304865-47304934,47306785-47306831,0.178315586
ENSG00000182578,CSF1R,5,149420618-149420728,149419456-149419618,149417260-149417348,0.177028796
ENSG00000141837,CACNA1A,19,13201896-13202023,13199245-13199341,13196481-13196586,0.175438596
ENSG00000081189,MEF2C,5,88063302-88063474,88061784-88061807,88060791-88060920,0.174386198
ENSG00000176261,ZBTB8OS,1,32871833-32871915,32870015-32870067,32865696-32865732,0.172389381
ENSG00000205937,RNPS1,16,2258057-2258111,2257177-2257239,2254575-2254762,0.169230769
ENSG00000205937,RNPS1,16,2258057-2258111,2257177-2257239,2254575-2254762,0.169230769
ENSG00000182534,MXRA7,17,72192749-72192842,72191524-72191604,72187248-72188556,0.167559804
ENSG00000182534,MXRA7,17,72192749-72192842,72191524-72191604,72188488-72188556,0.167559804
ENSG00000105216,LSM14A,19,39404252-39404483,39409153-39409209,39410110-39410535,0.164632286
ENSG00000148700,ADD3,10,111880111-111880234,111882053-111882148,111883074-111884318,0.164147153
ENSG00000163875,C1orf149,1,37734895-37734924,37734735-37734792,37734073-37734106,0.161900801
ENSG00000196961,AP2A1,19,54997050-54997210,54997603-54997668,54998018-54998074,0.161671872
ENSG00000135506,OS9,12,56399043-56399232,56400149-56400313,56400456-56400568,0.161289377
ENSG00000131018,SYNE1,6,152494950-152495042,152493548-152493606,152485316-152485504,0.159522008
ENSG00000158019,MRPL33,2,27849045-27849063,27850795-27850901,27855804-27856083,0.159521891
ENSG00000132589,FLOT2,17,24240089-24240170,24235369-24235459,24234252-24234375,0.156450614
ENSG00000148180,GSN,9,123083569-123083661,123102155-123102225,123104062-123104266,0.156391934
ENSG00000139428,MMAB,12,108483608-108483705,108483431-108483517,108483228-108483292,0.155718053
ENSG00000172456,FGGY,1,59905543-59905663,59912299-59912393,59996191-59996252,0.155555556
ENSG00000136854,STXBP1,9,129484506-129484660,129486468-129486593,129492875-129494816,0.153672952
ENSG00000011485,PPP5C,19,51571550-51571671,51578508-51578573,51578877-51578975,0.151086168
ENSG00000099783,HNRNPM,19,8442210-8442311,8444548-8444592,8445051-8445128,0.150945979
ENSG00000099864,PALM,19,687019-687078,691352-691483,697285-697818,0.15080355
ENSG00000117054,ACADM,1,75962960-75963090,75966674-75966761,75970917-75971014,0.150442478
ENSG00000136819,C9orf78,9,131637239-131637393,131636807-131636866,131635758-131635809,0.15037594
