Gene,Locus,Log2 Fold Change,p value,q value
TNC,chr9:117781853-117880536,-1.24423,0.00005,0.00102997
PHYH,chr10:13319795-13342130,-1.24157,0.00005,0.00102997
GDF2,chr10:48413091-48416853,-1.23806,0.00275,0.02612
CFB,chr6_ssto_hap7:3246430-3252571,-1.23553,0.00005,0.00102997
IRF6,chr1:209958967-209979520,-1.2305,0.00005,0.00102997
SECTM1,chr17:80278899-80291921,-1.22387,0.0013,0.0146869
B3GALT2,chr1:193091087-193223942,-1.21688,0.0008,0.0100173
C10orf10,chr10:45455218-45490172,-1.21672,0.0055,0.0441759
NGFR,chr17:47572654-47592382,-1.2166,0.0006,0.00801227
MME,chr3:154797435-154901518,-1.20166,0.00005,0.00102997
NOTCH3,chr19:15270443-15311792,-1.19689,0.00005,0.00102997
FBLN5,chr14:92335754-92414046,-1.19179,0.00005,0.00102997
GNG10,chr9:114393631-114432526,-1.17916,0.00005,0.00102997
PLAC1,chrX:133699872-133792513,-1.16305,0.00055,0.00749009
THY1,chr11:119252487-119369944,-1.14334,0.00005,0.00102997
ABCA8,chr17:66863430-66951533,-1.13748,0.00005,0.00102997
ADAMTS12,chr5:33527286-33892124,-1.13728,0.00005,0.00102997
MOB1A,chr2:74383210-74405995,-1.13261,0.00005,0.00102997
ZFP36L2,chr2:43449540-43453745,-1.13019,0.00005,0.00102997
IRS1,chr2:227596032-227663506,-1.12107,0.00005,0.00102997
FAS,chr10:90694830-90775542,-1.11893,0.0008,0.0100173
PDIA6,chr2:10861774-10952960,-1.10192,0.00005,0.00102997
PRKG1,chr10:52750910-54073888,-1.09957,0.0009,0.010985
IFNAR1,chr21:34697213-34732128,-1.09929,0.00005,0.00102997
PDZRN3,chr3:73431651-73674072,-1.09362,0.00005,0.00102997
MYO5C,chr15:52484514-52587995,-1.09296,0.0001,0.00188184
SLC35D3,chr6:137243401-137246776,-1.09087,0.00005,0.00102997
IFITM3,chr11:319672-320914,-1.08859,0.00005,0.00102997
KAZN,chr1:14925212-15478960,-1.08661,0.0007,0.00908748
KIF26B,chr1:245318286-245866428,-1.08578,0.00005,0.00102997
PCDH7,chr4:30722029-31148423,-1.08376,0.00005,0.00102997
MRPL33,chr2:27994583-28002608,-1.0834,0.00005,0.00102997
LUM,chr12:91497231-91505542,-1.07734,0.00005,0.00102997
PLAT,chr8:42032235-42065194,-1.0755,0.00005,0.00102997
OLFML2A,chr9:127539436-127577159,-1.06933,0.00005,0.00102997
DSE,chr6:116601282-116759442,-1.05715,0.00005,0.00102997
SAMD3,chr6:130465446-130686570,-1.03538,0.00185,0.0193909
NOTCH1,chr9:139388895-139440238,-1.03311,0.00005,0.00102997
TNS3,chr7:47314751-47621742,-1.03143,0.00005,0.00102997
FST,chr5:52776263-52782304,-1.02947,0.00005,0.00102997
FAM115C,chr7:143318044-143427173,-1.02837,0.00005,0.00102997
KCNQ5,chr6:73331570-73908573,-1.02826,0.00005,0.00102997
EPHB2,chr1:23037330-23241823,-1.02425,0.00005,0.00102997
RIN2,chr20:19867164-19983103,-1.02047,0.00005,0.00102997
SAMD4A,chr14:55034329-55260033,-1.01951,0.00005,0.00102997
SERPINI1,chr3:167453431-167543357,-1.01677,0.00415,0.0357278
SEMA3F,chr3:50192847-50226508,-1.01633,0.00005,0.00102997
FAM129A,chr1:184760165-184943682,-1.0158,0.00005,0.00102997
ARMC1,chr8:66514690-66546452,-1.01498,0.00005,0.00102997
EHD2,chr19:48216600-48246391,-1.00142,0.00005,0.00102997
DPY19L1,chr7:34968492-35077653,-1.00125,0.00005,0.00102997
C5orf15,chr5:133291197-133304406,-0.998839,0.00005,0.00102997
MMP11,chr22:24115035-24126503,-0.998331,0.00005,0.00102997
MFAP5,chr12:8798539-8815433,-0.992511,0.00005,0.00102997
ESM1,chr5:54273694-54281414,-0.991467,0.00645,0.0494059
RNF212,chr4:1065265-1107352,-0.982765,0.00115,0.013374
TSPAN18,chr11:44785975-44972857,-0.978037,0.00005,0.00102997
LRRTM4,chr2:76974849-77749502,-0.972786,0.00005,0.00102997
2-Sep,chr2:242166681-242293441,-0.968952,0.0004,0.0058565
HSD3B7,chr16:30996518-31000473,-0.968303,0.0004,0.0058565
IFITM2,chr11:308106-309410,-0.962991,0.00005,0.00102997
PTK6,chr20:62159775-62168723,-0.962967,0.00085,0.0105223
BEND6,chr6:56819772-56892142,-0.962912,0.00005,0.00102997
MATN2,chr8:98881310-99048946,-0.961485,0.00005,0.00102997
POPDC2,chr3:119360907-119379404,-0.960993,0.00005,0.00102997
DNAJC22,chr12:49741040-49745685,-0.957279,0.0051,0.0417592
GALNT16,chr14:69726680-69821190,-0.953096,0.00015,0.002612
ANTXR1,chr2:69240275-69476459,-0.95179,0.00005,0.00102997
SLC38A1,chr12:46576840-46663208,-0.948156,0.00005,0.00102997
SLC38A4,chr12:47158543-47219780,-0.94041,0.00005,0.00102997
FLRT3,chr20:13976145-16033841,-0.940178,0.00005,0.00102997
TOM1L2,chr17:17746821-17875784,-0.939643,0.00005,0.00102997
SH3D19,chr4:152041432-152149182,-0.937475,0.00005,0.00102997
C1orf115,chr1:220863627-220872499,-0.935977,0.00085,0.0105223
BCL6,chr3:187416046-187463513,-0.93006,0.00025,0.00400613
MGARP,chr4:140187316-140201492,-0.928498,0.00005,0.00102997
PMP22,chr17:15133095-15168644,-0.927794,0.00005,0.00102997
ALK,chr2:29415639-30144477,-0.926999,0.00005,0.00102997
LIMS1,chr2:109150810-109303702,-0.926996,0.00005,0.00102997
S1PR3,chr9:91605777-91620069,-0.917907,0.00005,0.00102997
BNIP3L,chr8:26240522-26270644,-0.916968,0.00005,0.00102997
SORBS2,chr4:186506597-186877870,-0.913615,0.00005,0.00102997
ERGIC2,chr12:29493578-29534143,-0.912497,0.00005,0.00102997
ANK3,chr10:61786055-62493284,-0.911352,0.00005,0.00102997
CYB5A,chr18:71920526-71959251,-0.90808,0.00005,0.00102997
ARC,chr8:143692404-143695833,-0.907078,0.00005,0.00102997
ACBD5,chr10:27484142-27531068,-0.902007,0.00005,0.00102997
RASGRP3,chr2:33661415-33789798,-0.899578,0.00005,0.00102997
FILIP1L,chr3:99273152-99897476,-0.897944,0.00005,0.00102997
LRRC17,chr7:102453307-102715288,-0.897565,0.00005,0.00102997
ENOX1,chr13:43787665-44361116,-0.894578,0.00215,0.0216325
DLK1,chr14:101193201-101201467,-0.89217,0.00005,0.00102997
AHNAK2,chr14:105403590-105444694,-0.88862,0.00005,0.00102997
NEXN,chr1:78354199-78409578,-0.886276,0.00075,0.00960294
TLN2,chr15:62939509-63136829,-0.882993,0.00005,0.00102997
MEF2A,chr15:100106132-100256629,-0.882062,0.00005,0.00102997
VASH2,chr1:213123886-213164927,-0.881657,0.00005,0.00102997
FAM65C,chr20:49202646-49253426,-0.875239,0.0012,0.0137958
THSD4,chr15:71433787-72075722,-0.874577,0.00005,0.00102997
NR4A3,chr9:102584136-102629173,-0.872909,0.0021,0.0213266
CILP2,chr19:19649073-19657468,-0.871327,0.0025,0.0242031
RECK,chr9:36036909-36124452,-0.87066,0.00005,0.00102997
IL6ST,chr5:55230924-55290821,-0.870465,0.00005,0.00102997
KCNMA1,chr10:78629358-79397577,-0.869536,0.00005,0.00102997
CELF2,chr10:11047258-11378672,-0.867371,0.00005,0.00102997
TEX2,chr17:62224794-62340653,-0.866829,0.00005,0.00102997
PCDH18,chr4:138440073-138453629,-0.858404,0.00005,0.00102997
LTBP1,chr2:33172368-33624575,-0.855198,0.00005,0.00102997
ZFP36,chr19:39897486-39900052,-0.855127,0.00345,0.0308821
TCTN1,chr12:111051831-111127617,-0.854132,0.00005,0.00102997
SEMA5A,chr5:9035137-9546233,-0.852897,0.00005,0.00102997
4-Sep,chr17:56597610-56618179,-0.849978,0.0059,0.0464461
SGCB,chr4:52886860-52904485,-0.849361,0.00005,0.00102997
PHLDA1,chr12:76419226-76425556,-0.847817,0.00005,0.00102997
CORO1C,chr12:109038884-109125326,-0.847324,0.00005,0.00102997
REPS2,chrX:16964813-17171403,-0.846764,0.00015,0.002612
ICK,chr6:52866097-52926600,-0.845673,0.00005,0.00102997
CAMKK2,chr12:121675494-121736111,-0.84542,0.00005,0.00102997
MAML2,chr11:95711439-96076344,-0.84244,0.00005,0.00102997
KITLG,chr12:88886569-88974250,-0.842301,0.00005,0.00102997
SORL1,chr11:121322911-121504471,-0.838612,0.00005,0.00102997
MYC,chr8:128748314-128753680,-0.835863,0.00005,0.00102997
LATS2,chr13:21547175-21635722,-0.831956,0.00005,0.00102997
ATP2B4,chr1:203595914-203713209,-0.825708,0.00005,0.00102997
ANGPTL2,chr9:129677052-129985445,-0.825599,0.00005,0.00102997
NPR3,chr5:32710742-32791830,-0.82494,0.00005,0.00102997
LRRN1,chr3:3841120-3889387,-0.824091,0.0025,0.0242031
AK4,chr1:65613231-65697828,-0.822902,0.00005,0.00102997
DKK2,chr4:107842958-107957453,-0.822582,0.00005,0.00102997
PROSAPIP1,chr20:3143272-3149207,-0.817681,0.00005,0.00102997
NOVA2,chr19:46442770-46476657,-0.814467,0.0002,0.00334015
SUMO3,chr21:46225531-46238044,-0.814255,0.00005,0.00102997
OSMR,chr5:38845959-38935743,-0.813825,0.00005,0.00102997
NAGPA,chr16:5074844-5092972,-0.811502,0.00005,0.00102997
TP53INP1,chr8:95938199-95961615,-0.810615,0.00005,0.00102997
ARHGAP26,chr5:142150291-142608572,-0.808105,0.00005,0.00102997
KCNAB1,chr3:155838336-156256927,-0.807347,0.00005,0.00102997
FAM9C,chrX:13053735-13062917,-0.806525,0.00555,0.0444136
FBXL16,chr16:742499-755825,-0.803198,0.00005,0.00102997
ABTB2,chr11:34172533-34379555,-0.801979,0.00015,0.002612
GEM,chr8:95261484-95274547,-0.797094,0.00035,0.00530278
CCDC94,chr19:4247110-4269085,-0.796606,0.0002,0.00334015
KIAA1161,chr9:34368906-34376894,-0.795762,0.0005,0.00693943
NFAT5,chr16:69599868-69738569,-0.795758,0.00005,0.00102997
BMPR1B,chr4:95679127-96079601,-0.793022,0.00005,0.00102997
PTPLB,chr3:123213362-123303924,-0.792784,0.0002,0.00334015
HNRNPUL2,chr11:62457733-62494857,-0.791459,0.00015,0.002612
RCAN1,chr21:35888783-35987382,-0.790284,0.00005,0.00102997
CTHRC1,chr8:104383742-104395232,-0.789586,0.00005,0.00102997
RAB6B,chr3:133543079-133614691,-0.789248,0.00005,0.00102997
CANX,chr5:179125929-179158639,-0.787633,0.00005,0.00102997
MAGEA10,chrX:151282520-151307050,-0.786901,0.0004,0.0058565
PM20D2,chr6:89855768-89875288,-0.782589,0.00005,0.00102997
FHL1,chrX:135228860-135293518,-0.781746,0.00005,0.00102997
CSNK1G1,chr15:64457715-64648442,-0.780133,0.00005,0.00102997
PTPRU,chr1:29563027-29653325,-0.776633,0.00005,0.00102997
KIAA1462,chr10:30301728-30348488,-0.776475,0.00005,0.00102997
CAST,chr5:95997740-96149848,-0.776416,0.00005,0.00102997
FGFR4,chr5:176513920-176525126,-0.775443,0.0056,0.0446768
COBLL1,chr2:165541257-165697928,-0.774519,0.00005,0.00102997
SMAD1,chr4:146402950-146480325,-0.772354,0.00005,0.00102997
TMEM106C,chr12:48357329-48362661,-0.771263,0.00005,0.00102997
KHSRP,chr19:6413118-6424822,-0.770035,0.00005,0.00102997
RABL2B,chr22:51195513-51238065,-0.77001,0.00005,0.00102997
SERPINF1,chr17:1665258-1680859,-0.766375,0.00005,0.00102997
TLCD2,chr17:1606083-1613662,-0.764991,0.0008,0.0100173
PPFIBP1,chr12:27677044-27848497,-0.763851,0.00005,0.00102997
GLS,chr2:191745546-191830270,-0.761786,0.00005,0.00102997
DHCR7,chr11:71145456-71159477,-0.761398,0.00005,0.00102997
GUCY1A3,chr4:156587861-156658214,-0.760553,0.00005,0.00102997
PTPRG,chr3:61547242-62304622,-0.758296,0.00005,0.00102997
ALDH1A3,chr15:101420008-101456830,-0.756373,0.00005,0.00102997
CHGA,chr14:93389444-93401638,-0.756327,0.00005,0.00102997
KPNB1,chr17:45727203-45761004,-0.756067,0.00005,0.00102997
EGR1,chr5:137801180-137805004,-0.755416,0.00005,0.00102997
TCP11L2,chr12:106696580-106740792,-0.75514,0.00015,0.002612
ARNTL2,chr12:27485786-27578746,-0.7551,0.00005,0.00102997
KCNN1,chr19:18062110-18109930,-0.754816,0.00285,0.026855
HIATL1,chr9:97136832-97223202,-0.754044,0.00005,0.00102997
SEL1L,chr14:81937890-82000205,-0.753402,0.00005,0.00102997
TM7SF2,chr11:64879340-64883707,-0.750664,0.00005,0.00102997
DOCK11,chrX:117629871-117820123,-0.749781,0.00005,0.00102997
SERINC3,chr20:43124863-43150726,-0.749531,0.00005,0.00102997
TWSG1,chr18:9334764-9402418,-0.749077,0.00005,0.00102997
ABCB10,chr1:229652328-229694442,-0.748187,0.00005,0.00102997
S100A4,chr1:153516094-153518282,-0.747429,0.00125,0.0142328
FRAS1,chr4:78978723-79465423,-0.747219,0.00005,0.00102997
LBR,chr1:225589203-225616557,-0.74563,0.00005,0.00102997
NRP2,chr2:206547223-206662857,-0.744403,0.00005,0.00102997
TFB2M,chr1:246703862-246729565,-0.743653,0.00005,0.00102997
KIAA0125,chr14:106383837-106398502,-0.742091,0.00005,0.00102997
MPI,chr15:75182409-75190565,-0.741769,0.00005,0.00102997
ARSI,chr5:149675908-149682525,-0.741332,0.00005,0.00102997
VWA1,chr1:1370902-1378262,-0.740965,0.00305,0.0282504
LNPEP,chr5:96271345-96365115,-0.737917,0.00005,0.00102997
AP5S1,chr20:3801170-3805954,-0.737433,0.0035,0.0312654
PIP4K2A,chr10:22823765-23003503,-0.737066,0.00005,0.00102997
PFKFB3,chr10:6186842-6277507,-0.734783,0.00005,0.00102997
FGFR1,chr8:38268655-38326352,-0.731288,0.00005,0.00102997
SETBP1,chr18:42260137-42648475,-0.731191,0.0001,0.00188184
C11orf30,chr11:76156068-76262589,-0.730519,0.00005,0.00102997
SGK223,chr8:8175257-8239257,-0.730514,0.00165,0.0176631
MGAT5,chr2:135011829-135212192,-0.727732,0.00005,0.00102997
OXTR,chr3:8792094-8811300,-0.726882,0.0012,0.0137958
COL23A1,chr5:177664616-178017556,-0.72661,0.00475,0.0395631
MRPS28,chr8:80831094-80942506,-0.725927,0.00025,0.00400613
STYX,chr14:53196882-53241705,-0.724743,0.00005,0.00102997
NFIB,chr9:14081841-14398982,-0.724539,0.00005,0.00102997
CCDC86,chr11:60609428-60623444,-0.724184,0.0005,0.00693943
CHMP2B,chr3:87276412-87304698,-0.722662,0.0001,0.00188184
BTD,chr3:15643254-15687325,-0.721705,0.00005,0.00102997
PKP2,chr12:32943679-33049780,-0.721641,0.0012,0.0137958
NIPSNAP1,chr22:29950797-29977326,-0.719718,0.00005,0.00102997
LAYN,chr11:111411232-111432470,-0.717771,0.00005,0.00102997
GAL,chr11:68451982-68458643,-0.714984,0.00005,0.00102997
PDHB,chr3:58413356-58419579,-0.71406,0.00005,0.00102997
ZFP36L1,chr14:69254371-69262960,-0.713964,0.00005,0.00102997
ANPEP,chr15:90328125-90358072,-0.713081,0.00005,0.00102997
KIAA1549L,chr11:33563876-33695646,-0.712506,0.00005,0.00102997
SNCAIP,chr5:121647819-121814782,-0.711865,0.00035,0.00530278
FKTN,chr9:108320410-108403399,-0.711631,0.00005,0.00102997
KCNB1,chr20:47988504-48099181,-0.708949,0.00125,0.0142328
GPR124,chr8:37654400-37707431,-0.708417,0.00005,0.00102997
TIAM1,chr21:32490735-32931290,-0.708402,0.00005,0.00102997
HTR1E,chr6:87647023-87726397,-0.707895,0.0009,0.010985
CHCHD3,chr7:132469622-132766828,-0.707523,0.00005,0.00102997
HCFC1R1,chr16:3072625-3077756,-0.705664,0.0022,0.0220337
CHRNA7,chr15:32322685-32462384,-0.703226,0.0001,0.00188184
NRG1,chr8:31497267-32622558,-0.703109,0.00005,0.00102997
BFAR,chr16:14726667-14763093,-0.702696,0.00005,0.00102997
ETV1,chr7:13930855-14031050,-0.70129,0.00005,0.00102997
ADAM11,chr17:42836567-42859214,-0.700889,0.00205,0.0210645
ZBTB8B,chr1:32930657-32953459,-0.700837,0.0021,0.0213266
NREP,chr5:110834021-111353003,-0.69992,0.00005,0.00102997
INSIG1,chr7:155089485-155101945,-0.698001,0.00005,0.00102997
DCUN1D4,chr4:52709275-52783003,-0.697589,0.00005,0.00102997
MYOF,chr10:95066185-95242074,-0.697048,0.00005,0.00102997
BLOC1S2,chr10:102033034-102046469,-0.695938,0.00005,0.00102997
PPAP2B,chr1:56960418-57045257,-0.69481,0.00005,0.00102997
SPRY1,chr4:124317949-124324915,-0.69412,0.00005,0.00102997
NEBL,chr10:21068902-21463852,-0.692949,0.00005,0.00102997
MAGI1,chr3:65339905-66024509,-0.692931,0.00005,0.00102997
SEMA4F,chr2:74881354-74910981,-0.69225,0.00005,0.00102997
SIX4,chr14:61176255-61190852,-0.691671,0.0002,0.00334015
ARPC1A,chr7:98923495-98963885,-0.690606,0.00005,0.00102997
MTMR10,chr15:31196054-31283807,-0.689834,0.00035,0.00530278
PCYOX1L,chr5:148737569-148749221,-0.688146,0.00005,0.00102997
B3GNT1,chr11:66112842-66115161,-0.687895,0.00005,0.00102997
MYLK,chr3:123304402-123603149,-0.687484,0.00005,0.00102997
CPM,chr12:69244955-69357020,-0.687275,0.00045,0.00638804
LGMN,chr14:93170151-93215047,-0.687079,0.00005,0.00102997
ANXA2,chr15:60639349-60690185,-0.686789,0.00005,0.00102997
GRIN1,chr9:140033608-140064491,-0.686731,0.00045,0.00638804
ROR1,chr1:64239689-64647179,-0.686628,0.00005,0.00102997
PLXNA2,chr1:208195587-208417665,-0.686526,0.00005,0.00102997
THBS2,chr6:169615874-169654137,-0.685194,0.00005,0.00102997
SPTLC1,chr9:94793426-94877690,-0.684043,0.00005,0.00102997
PKIG,chr20:43160435-43247678,-0.683997,0.00005,0.00102997
FRMD5,chr15:44165729-44487429,-0.683116,0.00025,0.00400613
PIK3R1,chr5:67511583-67597649,-0.682763,0.00005,0.00102997
HIST1H1D,chr6:26234439-26235216,-0.681444,0.00005,0.00102997
USP11,chrX:47092313-47107727,-0.680776,0.00005,0.00102997
FAF2,chr5:175875355-175937075,-0.680587,0.00005,0.00102997
EHD4,chr15:42191638-42264755,-0.679857,0.00005,0.00102997
HMGCL,chr1:24128366-24151949,-0.679657,0.00085,0.0105223
MTRNR2L5,chr10:57358749-57360487,-0.676526,0.0047,0.0392719
CHRAC1,chr8:141521396-141527252,-0.675805,0.00015,0.002612
CA5B,chrX:15756411-15805748,-0.675255,0.002,0.0206319
SYT7,chr11:61281187-61348344,-0.674878,0.00005,0.00102997
ATG12,chr5:115163893-115177548,-0.674436,0.00005,0.00102997
SSR1,chr6:7281287-7313541,-0.673718,0.00005,0.00102997
ENY2,chr8:110346551-110358189,-0.672826,0.00005,0.00102997
REEP3,chr10:65281122-65384883,-0.672414,0.00005,0.00102997
GAB1,chr4:144257982-144395718,-0.669779,0.00005,0.00102997
ALAD,chr9:116148591-116163618,-0.668885,0.0003,0.00466429
RAB30,chr11:82692477-82782884,-0.666422,0.0025,0.0242031
NDRG4,chr16:58497548-58547523,-0.664507,0.00005,0.00102997
PGRMC1,chrX:118370210-118378429,-0.663345,0.00005,0.00102997
CPNE3,chr8:87526655-87573726,-0.661836,0.00005,0.00102997
MAN1A1,chr6:119498365-119670931,-0.660672,0.00005,0.00102997
SESN3,chr11:94898676-94965705,-0.660401,0.00005,0.00102997
DDAH1,chr1:85784167-86044046,-0.658467,0.00005,0.00102997
KLF15,chr3:126061477-126076236,-0.656967,0.0007,0.00908748
KCNH1,chr1:210851656-211307457,-0.656861,0.0001,0.00188184
CAV2,chr7:116139654-116148595,-0.654604,0.00005,0.00102997
ACTB,chr7:5566778-5570232,-0.651611,0.0002,0.00334015
DAND5,chr19:13080431-13085567,-0.650726,0.0014,0.0155081
TMEM51,chr1:15479027-15546974,-0.650237,0.0007,0.00908748
FZD7,chr2:202899309-202903160,-0.649901,0.00005,0.00102997
HRH1,chr3:11178778-11304939,-0.647904,0.00015,0.002612
FBXO36,chr2:230787206-230877825,-0.647845,0.0007,0.00908748
GXYLT2,chr3:72937384-73024522,-0.647436,0.00055,0.00749009
LRP4,chr11:46867961-46940173,-0.645334,0.00005,0.00102997
VCL,chr10:75757871-75879914,-0.645175,0.00005,0.00102997
MAP1B,chr5:71403117-71505397,-0.643736,0.00005,0.00102997
B3GNT5,chr3:182895830-183145855,-0.64239,0.00005,0.00102997
SCN2A,chr2:166095911-166248820,-0.638617,0.00005,0.00102997
SBDS,chr7:66452689-66460588,-0.638535,0.00005,0.00102997
SERINC1,chr6:122764492-122792952,-0.636318,0.00005,0.00102997
ATP11C,chrX:138808504-138914447,-0.635541,0.00005,0.00102997
PLXNA4,chr7:131808090-132333447,-0.634354,0.00035,0.00530278
SLC29A4,chr7:5322560-5343704,-0.632494,0.00005,0.00102997
LAMP5,chr20:9495004-9511171,-0.632364,0.0001,0.00188184
ST6GALNAC5,chr1:77333185-77529737,-0.630404,0.00025,0.00400613
STON1,chr2:48757063-49003656,-0.629404,0.00055,0.00749009
FBN2,chr5:127593600-127873735,-0.629191,0.00005,0.00102997
PEAK1,chr15:77400497-77712446,-0.626286,0.00005,0.00102997
FAHD1,chr16:1877224-1922179,-0.625057,0.0001,0.00188184
PRKAA2,chr1:57110989-57181008,-0.624844,0.00005,0.00102997
NOTCH2NL,chr1:145209110-145285912,-0.624835,0.0021,0.0213266
SPRY2,chr13:80910111-80915086,-0.624211,0.00005,0.00102997
SLC16A3,chr17:80186281-80197375,-0.623703,0.0013,0.0146869
TACC2,chr10:123748688-124014057,-0.621493,0.0004,0.0058565
NRP1,chr10:33466418-33623833,-0.620145,0.00005,0.00102997
TUBB4A,chr19:6494329-6502330,-0.619881,0.00515,0.0419844
DRD2,chr11:113280316-113346001,-0.618298,0.0013,0.0146869
RPS6KA5,chr14:91337166-91526993,-0.617463,0.0001,0.00188184
NRSN2,chr20:327369-335512,-0.616472,0.00005,0.00102997
CDK14,chr7:90338711-90839904,-0.614576,0.00005,0.00102997
STMN1,chr1:26210676-26233368,-0.614262,0.00005,0.00102997
FGF5,chr4:81187741-81212171,-0.613889,0.00005,0.00102997
POLD3,chr11:74303574-74354105,-0.613706,0.00015,0.002612
RBBP9,chr20:18467187-18477887,-0.611105,0.00005,0.00102997
B4GALT6,chr18:29202208-29264686,-0.609922,0.002,0.0206319
ARHGAP29,chr1:94634462-94703307,-0.609915,0.00005,0.00102997
SPCS3,chr4:177241089-177253396,-0.609812,0.00005,0.00102997
RAB11B,chr19:8439259-8469317,-0.60974,0.00105,0.0124212
CSF1,chr1:110453232-110473616,-0.609635,0.00555,0.0444136
ZNF546,chr19:40502942-40523514,-0.608278,0.0041,0.035414
AGGF1,chr5:76326209-76361058,-0.607358,0.00005,0.00102997
ADAM19,chr5:156904311-157002783,-0.606731,0.00005,0.00102997
TFDP1,chr13:114239002-114295788,-0.606425,0.00005,0.00102997
CNTN1,chr12:41086243-41466213,-0.606269,0.00005,0.00102997
IQSEC1,chr3:12938541-13114617,-0.606202,0.00005,0.00102997
FNDC3A,chr13:49550047-49783915,-0.606194,0.00005,0.00102997
RHOQ,chr2:46769866-46844251,-0.606121,0.00005,0.00102997
